string[64]	string[64]	dword	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	END
Code	CashCode	CsPrice	IsView	ItemPart	Discount	Event1	Event2	Event3	Event4	Event5	Event6	Event7	Event8	
cash001	ipwhp02	9999999	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash002	ipcsb19	9999999	1	ne/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash003	recsa01	2200	1	0/be/hi/0/0	-1	0	0	0	0	0	0	0	0	
cash004	ipwhp02	9999999	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash005	ipcsb19	9999999	1	ne/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash006	recsa01	2200	1	0/be/hi/0/0	-1	0	0	0	0	0	0	0	0	
cash007	ipwhp02	9999999	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash008	ipcsb19	9999999	1	ne/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash009	recsa01	2200	1	0/be/hi/0/0	-1	0	0	0	0	0	0	0	0	
cash010	iqcsa10	200	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash011	iqcsa11	200	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash012	iqcsa12	200	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash013	iqcsa13	200	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash014	iqcsa14	200	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash015	iqcsa15	200	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash016	iqcsa16	200	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash017	iqcsa17	200	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash018	iqcsa18	200	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash019	iqcsa19	200	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash020	iqcsa20	200	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash021	iqcsa21	200	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash022	iqcsa22	200	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash023	iqcsa23	200	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash024	iqcsa24	200	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash025	iqcsa25	200	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash026	iqcsa26	200	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash027	iqcsa27	200	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash028	iqcsa28	200	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash029	iqcsa29	200	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash030	iqcsa30	200	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
