dword	dword	qword	dword	dword	dword	dword	dword	dword	dword	dword	dword	byte	byte	word	byte	byte	byte	byte	dword	dword	dword	dword	byte	byte	byte	byte	dword	dword	float	byte	byte	byte	byte	float	dword	dword	dword	END
Level	none	NeedExp	MaxHP	MaxFP	HPRecUnit	HPRecDelay	FPRecUnit	FPRecDelay	AttFcStd	StdDefFc	ForceAttStd	255	none	none	none	DefSklUnit	none	none	none	none	none	none	WeakPart	fire	water	soil	wind	AttSpd	AttExt	MovSpd	MovSpd	Width	none	ScaleRate	AttEffType	DefEffType	none	
1	0	200	70	50	12	2000	4	2000	60	10	16	4	0	0	0	3	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
2	0	600	90	50	12	2000	4	2000	70	12	16	4	0	0	0	3	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
3	0	1200	120	50	14	2000	4	2000	84	16	16	4	0	0	0	3	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
4	0	2000	130	50	14	2000	4	2000	101	18	16	7	0	0	0	6	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
5	0	3000	170	50	16	2000	4	2000	122	22	16	11	0	0	0	9	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
6	0	4201	200	50	16	2000	4	2000	137	22	16	14	0	0	0	9	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
7	0	5602	210	50	18	2000	4	2000	156	26	16	14	0	0	0	12	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
8	0	7204	250	50	18	2000	4	2000	176	30	16	14	0	0	0	12	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
9	0	9008	280	50	20	2000	4	2000	201	38	16	18	0	0	0	12	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
10	0	11014	310	50	20	2000	4	2000	225	46	16	18	0	0	0	15	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
11	0	13223	330	50	22	2000	4	2000	251	58	16	21	0	0	0	15	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
12	0	15638	400	50	22	2000	4	2000	277	72	16	21	0	0	0	18	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
13	0	18261	430	50	24	2000	4	2000	304	88	16	25	0	0	0	18	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
14	0	21097	470	50	24	2000	4	2000	332	106	16	28	0	0	0	21	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
15	0	24154	510	50	26	2000	4	2000	360	124	16	28	0	0	0	21	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
16	0	27444	550	50	26	2000	4	2000	390	149	16	32	0	0	0	24	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
17	0	30986	600	50	28	2000	4	2000	419	171	16	35	0	0	0	24	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
18	0	34811	700	50	28	2000	4	2000	448	197	16	35	0	0	0	27	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
19	0	38967	760	50	30	2000	4	2000	479	225	16	39	0	0	0	27	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
20	0	43533	870	50	30	2000	4	2000	512	257	16	42	0	0	0	30	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
21	0	48635	950	50	32	2000	4	2000	964	289	16	52	0	0	0	50	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
22	0	54476	1020	50	32	2000	4	2000	1012	332	16	56	0	0	0	54	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
23	0	61384	1180	50	34	2000	4	2000	1062	378	16	60	0	0	0	54	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
24	0	69894	1440	50	34	2000	4	2000	1112	426	16	64	0	0	0	59	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
25	0	80874	1540	50	36	2000	4	2000	1164	479	16	68	0	0	0	63	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
26	0	95742	1780	50	36	2000	4	2000	1215	531	16	76	0	0	0	72	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
27	0	116819	2130	50	38	2000	4	2000	1266	587	16	80	0	0	0	77	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
28	0	147915	2270	50	38	2000	4	2000	1320	644	16	88	0	0	0	81	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
29	0	195306	2670	50	40	2000	4	2000	1373	704	16	96	0	0	0	90	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
30	0	269354	3130	50	40	2000	4	2000	1427	767	16	104	0	0	0	95	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
31	0	387224	3220	50	42	2000	4	2000	1514	833	16	112	0	0	0	104	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
32	0	577429	3820	50	42	2000	4	2000	1571	899	16	120	0	0	0	113	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
33	0	887473	4400	50	44	2000	4	2000	1629	972	16	132	0	0	0	122	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
34	0	1396732	4870	50	44	2000	4	2000	1688	1047	16	148	0	0	0	135	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
35	0	2238226	5650	50	46	2000	4	2000	1748	1123	16	160	0	0	0	144	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
36	0	3635531	6600	50	46	2000	4	2000	1808	1199	16	176	0	0	0	162	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
37	0	5965520	7220	50	48	2000	4	2000	1870	1280	16	196	0	0	0	176	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
38	0	9865347	8410	50	48	2000	4	2000	1932	1364	16	216	0	0	0	194	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
39	0	16415364	9840	50	50	2000	4	2000	1996	1453	16	244	0	0	0	216	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
40	0	27452782	10720	50	50	2000	4	2000	2060	1544	16	255	0	0	0	239	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
41	0	46111082	12540	50	52	2000	4	2000	2945	1634	16	255	0	0	0	354	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
42	0	77750319	14670	50	52	2000	4	2000	3032	1729	16	255	0	0	0	396	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
43	0	131566211	16020	50	52	2000	4	2000	3120	1829	16	255	0	0	0	444	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
44	0	223381318	18100	50	54	2000	4	2000	3206	1924	16	255	0	0	0	498	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
45	0	380500681	19890	50	54	2000	4	2000	3289	2017	16	255	0	0	0	564	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
46	0	650183261	20380	50	56	2000	4	2000	3414	2111	16	255	0	0	0	594	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
47	0	1114464409	21530	50	56	2000	4	2000	3499	2208	16	255	0	0	0	594	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
48	0	1916165673	23640	50	58	2000	4	2000	3586	2306	16	255	0	0	0	594	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
49	0	3304667570	24030	50	58	2000	4	2000	3673	2409	16	255	0	0	0	594	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
50	0	4000000000	26260	50	60	2000	4	2000	4761	2512	16	255	0	0	0	743	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
51	0	9200000000	28490	50	60	2000	4	2000	4915	2717	16	255	0	0	0	743	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
52	0	21160000000	30720	50	62	2000	4	2000	5161	3130	16	255	0	0	0	743	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
53	0	48668000000	32950	50	62	2000	4	2000	5312	3337	16	255	0	0	0	743	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
54	0	111936400000	35180	50	64	2000	4	2000	5464	3543	16	255	0	0	0	743	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
55	0	257453720000	37410	50	64	2000	4	2000	5614	3750	16	255	0	0	0	743	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
56	0	592143556000	39640	50	66	2000	4	2000	5764	3955	16	255	0	0	0	743	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
57	0	1361930178800	41870	50	66	2000	4	2000	5913	4162	16	255	0	0	0	743	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
58	0	3132439411240	44100	50	68	2000	4	2000	6062	4368	16	255	0	0	0	743	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
59	0	7204610645852	46330	50	68	2000	4	2000	6210	4575	16	255	0	0	0	743	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
60	0	16570604485459	48560	50	70	2000	4	2000	6358	4780	16	255	0	0	0	743	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
61	0	38112390316557	50790	50	70	2000	4	2000	6504	4988	16	255	0	0	0	743	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
62	0	87658497728081	53020	50	72	2000	4	2000	6652	5194	16	255	0	0	0	743	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
63	0	201614544774587	55250	50	72	2000	4	2000	6798	5400	16	255	0	0	0	743	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
64	0	463713452981550	57480	50	74	2000	4	2000	6943	5606	16	255	0	0	0	743	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
65	0	1066540941857560	59710	50	74	2000	4	2000	7088	5813	16	255	0	0	0	743	0	0	0	0	0	0	-1	10	10	10	10	900	225	6	6	20	0	1	10	273	0	
