dword	dword	qword	dword	dword	dword	dword	dword	dword	dword	dword	dword	byte	byte	word	byte	byte	byte	byte	dword	dword	dword	dword	byte	byte	byte	byte	dword	dword	float	byte	byte	byte	byte	float	dword	dword	dword	END
Level	none	NeedExp	MaxHP	MaxFP	HPRecUnit	HPRecDelay	FPRecUnit	FPRecDelay	AttFcStd	StdDefFc	ForceAttStd	255	none	none	none	DefSklUnit	none	none	none	none	none	none	WeakPart	fire	water	soil	wind	AttSpd	AttExt	MovSpd	MovSpd	Width	none	ScaleRate	AttEffType	DefEffType	none	
1	0	200	70	50	12	2000	4	2000	150	5	16	4	0	0	0	1	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
2	0	600	90	50	12	2000	4	2000	172	6	16	4	0	0	0	1	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
3	0	1200	120	50	14	2000	4	2000	199	8	16	4	0	0	0	1	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
4	0	2000	130	50	14	2000	4	2000	241	9	16	7	0	0	0	2	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
5	0	3000	170	50	16	2000	4	2000	298	11	16	11	0	0	0	3	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
6	0	4201	200	50	16	2000	4	2000	328	11	16	14	0	0	0	3	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
7	0	5602	210	50	18	2000	4	2000	378	13	16	14	0	0	0	4	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
8	0	7204	250	50	18	2000	4	2000	436	15	16	14	0	0	0	4	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
9	0	9008	280	50	20	2000	4	2000	516	19	16	18	0	0	0	4	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
10	0	11014	310	50	20	2000	4	2000	591	23	16	18	0	0	0	5	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
11	0	13223	330	50	22	2000	4	2000	683	29	16	21	0	0	0	5	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
12	0	15638	400	50	22	2000	4	2000	771	36	16	21	0	0	0	6	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
13	0	18261	430	50	24	2000	4	2000	871	44	16	25	0	0	0	6	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
14	0	21097	470	50	24	2000	4	2000	976	53	16	28	0	0	0	7	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
