dword	dword	qword	dword	dword	dword	dword	dword	dword	dword	dword	dword	byte	byte	word	byte	byte	byte	byte	dword	dword	dword	dword	byte	byte	byte	byte	dword	dword	float	byte	byte	byte	byte	float	dword	dword	dword	END
Level	none	NeedExp	MaxHP	MaxFP	HPRecUnit	HPRecDelay	FPRecUnit	FPRecDelay	AttFcStd	StdDefFc	ForceAttStd	255	none	none	none	DefSklUnit	none	none	none	none	none	none	WeakPart	fire	water	soil	wind	AttSpd	AttExt	MovSpd	MovSpd	Width	none	ScaleRate	AttEffType	DefEffType	none	
1	0	2160	70	50	12	2000	4	2000	27	10	16	1	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
2	0	4752	90	50	12	2000	4	2000	32	12	16	1	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
3	0	8682	120	50	14	2000	4	2000	39	16	16	1	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
4	0	14046	130	50	14	2000	4	2000	45	18	16	2	0	0	0	2	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
5	0	21606	170	50	16	2000	4	2000	54	22	16	3	0	0	0	3	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
6	0	31214	200	50	16	2000	4	2000	60	22	16	4	0	0	0	3	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
7	0	43102	210	50	18	2000	4	2000	66	26	16	4	0	0	0	4	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
8	0	58601	250	50	18	2000	4	2000	77	30	16	4	0	0	0	4	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
9	0	77188	280	50	20	2000	4	2000	84	38	16	5	0	0	0	4	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
10	0	100585	310	50	20	2000	4	2000	97	46	16	5	0	0	0	5	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
11	0	127918	330	50	22	2000	4	2000	105	58	16	6	0	0	0	5	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
12	0	161474	400	50	22	2000	4	2000	119	72	16	6	0	0	0	6	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
13	0	197137	430	50	24	2000	4	2000	127	88	16	7	0	0	0	6	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
14	0	240244	470	50	24	2000	4	2000	143	106	16	8	0	0	0	7	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
15	0	289354	510	50	26	2000	4	2000	151	124	16	8	0	0	0	7	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
16	0	344626	550	50	26	2000	4	2000	168	149	16	9	0	0	0	8	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
17	0	404184	600	50	28	2000	4	2000	177	171	16	10	0	0	0	8	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
18	0	471886	700	50	28	2000	4	2000	195	197	16	10	0	0	0	9	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
19	0	549343	760	50	30	2000	4	2000	213	225	16	11	0	0	0	9	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
20	0	638822	870	50	30	2000	4	2000	232	257	16	12	0	0	0	10	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
21	0	736785	950	50	32	2000	4	2000	242	289	16	13	0	0	0	11	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
22	0	848040	1020	50	32	2000	4	2000	262	332	16	14	0	0	0	12	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
23	0	976201	1180	50	34	2000	4	2000	282	378	16	15	0	0	0	12	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
24	0	1136743	1440	50	34	2000	4	2000	312	426	16	16	0	0	0	13	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
25	0	1334185	1540	50	36	2000	4	2000	333	479	16	17	0	0	0	14	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
26	0	1584602	1780	50	36	2000	4	2000	355	531	16	19	0	0	0	16	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
