dword	dword	qword	dword	dword	dword	dword	dword	dword	dword	dword	dword	byte	byte	word	byte	byte	byte	byte	dword	dword	dword	dword	byte	byte	byte	byte	dword	dword	float	byte	byte	byte	byte	float	dword	dword	dword	END
Level	none	NeedExp	MaxHP	MaxFP	HPRecUnit	HPRecDelay	FPRecUnit	FPRecDelay	AttFcStd	StdDefFc	ForceAttStd	255	none	none	none	DefSklUnit	none	none	none	none	none	none	WeakPart	fire	water	soil	wind	AttSpd	AttExt	MovSpd	MovSpd	Width	none	ScaleRate	AttEffType	DefEffType	none	
1	0	200	28	50	5	2000	4	2000	34	14	16	4	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	0,6	1	512	0	
2	0	600	36	50	5	2000	4	2000	35	21	16	4	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	0,61	1	512	0	
3	0	1200	48	50	6	2000	4	2000	37	23	16	4	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	0,62	1	512	0	
4	0	2000	52	50	6	2000	4	2000	42	23	16	7	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	0,63	1	512	0	
5	0	3000	68	50	6	2000	4	2000	50	28	16	11	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	0,64	1	512	0	
6	0	4201	80	50	6	2000	4	2000	53	31	16	14	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	0,66	1	512	0	
7	0	5602	84	50	7	2000	4	2000	59	35	16	14	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	0,67	1	512	0	
8	0	7204	100	50	7	2000	4	2000	66	43	16	14	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	0,68	1	512	0	
9	0	9008	112	50	8	2000	4	2000	76	50	16	18	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	0,69	1	512	0	
10	0	11014	124	50	8	2000	4	2000	86	61	16	18	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	0,7	1	512	0	
11	0	13223	132	50	9	2000	4	2000	97	70	16	21	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	0,72	1	512	0	
12	0	15638	160	50	9	2000	4	2000	108	84	16	21	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	0,73	1	512	0	
13	0	18261	172	50	10	2000	4	2000	120	95	16	25	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	0,74	1	512	0	
14	0	21097	188	50	10	2000	4	2000	133	113	16	28	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	0,75	1	512	0	
15	0	24154	204	50	10	2000	4	2000	145	127	16	28	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	0,76	1	512	0	
16	0	27444	220	50	10	2000	4	2000	159	148	16	32	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	0,78	1	512	0	
17	0	30986	240	50	11	2000	4	2000	172	166	16	35	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	0,79	1	512	0	
18	0	34811	280	50	11	2000	4	2000	186	192	16	35	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	0,8	1	512	0	
19	0	38967	304	50	12	2000	4	2000	202	220	16	39	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	0,81	1	512	0	
20	0	43533	348	50	12	2000	4	2000	218	257	16	42	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	0,82	1	512	0	
21	0	48635	760	50	26	2000	4	2000	279	298	16	52	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	0,84	1	512	0	
22	0	54476	816	50	26	2000	4	2000	295	345	16	56	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	0,85	1	512	0	
23	0	61384	944	50	27	2000	4	2000	313	397	16	60	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	0,86	1	512	0	
24	0	69894	1152	50	27	2000	4	2000	332	465	16	64	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	0,87	1	512	0	
25	0	80874	1232	50	29	2000	4	2000	352	533	16	68	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	0,88	1	512	0	
26	0	95742	1424	50	29	2000	4	2000	372	608	16	76	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	0,9	1	512	0	
27	0	116819	1704	50	30	2000	4	2000	393	704	16	80	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	0,91	1	512	0	
28	0	147915	1816	50	30	2000	4	2000	417	800	16	88	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	0,92	1	512	0	
29	0	195306	2136	50	32	2000	4	2000	441	925	16	96	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	0,93	1	512	0	
30	0	269354	2504	50	32	2000	4	2000	466	1060	16	104	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	0,94	1	512	0	
31	0	387224	2576	50	34	2000	4	2000	520	1222	16	112	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	0,96	1	512	0	
32	0	577429	3056	50	34	2000	4	2000	551	1378	16	120	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	0,97	1	512	0	
33	0	887473	3520	50	35	2000	4	2000	584	1557	16	132	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	0,98	1	512	0	
34	0	1396732	3896	50	35	2000	4	2000	620	1754	16	148	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	0,99	1	512	0	
35	0	2238226	4520	50	37	2000	4	2000	659	1980	16	160	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	1	1	512	0	
36	0	3635531	5280	50	37	2000	4	2000	700	2241	16	176	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	1,02	1	512	0	
37	0	5965520	5776	50	38	2000	4	2000	746	2566	16	196	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	1,03	1	512	0	
