string[64]	dword	dword	dword	dword	dword	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	dword	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	string[64]	dword	string[64]	dword	string[64]	dword	string[64]	dword	string[64]	dword	string[64]	dword	string[64]	dword	string[64]	dword	END
Code	Race	Class	Icon	Grade	UpGradeLv	Ch_Class1	Ch_Class2	Ch_Class3	Ch_Class4	Ch_Class5	Ch_Class6	Ch_Class7	Ch_Class8	Temp	KorName	EngName	ConLim	LinkSkill1	LinkSkill2	LinkSkill3	LinkSkill4	LinkSkill5	LinkSkill6	LinkSkill7	LinkSkill8	LinkSkill9	LinkSkill10	IsUnitUsable	IsAnimusUsable	IsLauncherUsable	IsWMKTUsable	IsDMKTUsable	IsBMKTUsable	TrapMaxNum	BnsHP	BnsFP	BnsSP	UpValueDefMastery	MeleMastery	RangeMastery2	SpecialMastery	DefMastery	ShieldMastery	MakeMastery1	MakeMastery2	MakeMastery3	MeleYchenik	MeleExpert	MeleElite	MeleMagistr	RangeYchenik	RangeExpert	RangeElite	RangeMagistr	DarkYch	DarkExp	DarkEl	DarkMag	HolyYch	HolyExp	HolyEl	HolyMag	Fire1	Fire2	Fire3	Fire4	Aqua1	Aqua2	Aqua3	Aqua4	Soil1	Soil2	Soil3	Soil4	Wind1	Wind2	Wind3	Wind4	IsSelectReward	Reward1	Amount1	Reward2	Amount2	Reward3	Amount3	Reward4	Amount4	Reward5	Amount5	Reward6	Amount6	Reward7	Amount7	Reward8	Amount8	Reward9	Amount9	
BWB0	0	0	1	0	30	BWF1	BWF2	BRF1	BRF2	BFF1	BFF2	BSF1	BSF2	º§¶óÅäÀü»ç	Âîèí	WARRIOR	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	20	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	iqbbb00	10	ipbhp00	50	ipbfp00	99	ipbsp00	50	ipbhx00	50	-1	-1	-1	-1	-1	-1	-1	-1	
BWF1	0	0	2	1	40	BWS1	BWS2	-1	-1	-1	-1	-1	-1	º§¶óÅäÀü»ç	Êîììàíäî	COMMANDO	0	7F018	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	40	5	5	0	91714	0	0	51589	0	0	0	0	15000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	iwswb30	1	iwaxb30	1	iwspb30	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BWF2	0	0	3	1	40	BWS2	BWS3	-1	-1	-1	-1	-1	-1	º§¶óÅäÀü»ç	Ìèëëåð	MILER	0	7F01B	7F01C	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	60	0	0	0	61143	0	0	34393	34393	0	0	0	15000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	idbcb29	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BWS1	0	0	4	2	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅäÀü»ç	Áåðñåðê	BERSERKER	0	7001E	7F01F	7F020	7F002	70008	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	40	5	5	0	826286	0	0	300467	0	0	0	0	78262	117393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ipbae01	99	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BWS2	0	0	5	2	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅäÀü»ç	Âàðâàð	ARMSMAN	0	70021	7F022	7F023	7F002	70008	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	60	10	5	0	550857	0	0	450701	0	0	0	0	78262	117393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	ipbae01	99	ipbde01	99	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BWS3	0	0	6	2	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅäÀü»ç	Çàùèòíèê	SHIELDMILER	0	7F024	7F025	7F026	7F002	70008	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	80	0	0	0	413143	0	0	300467	300467	0	0	0	78262	117393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ipbde01	99	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BWS4	0	0	7	2	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅäÀü»ç	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BWT1	0	0	8	3	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅäÀü»ç	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BWT2	0	0	9	3	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅäÀü»ç	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BWT3	0	0	10	3	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅäÀü»ç	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BWT4	0	0	11	3	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅäÀü»ç	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BWT5	0	0	12	3	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅäÀü»ç	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BWT6	0	0	13	3	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅäÀü»ç	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BWT7	0	0	14	3	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅäÀü»ç	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BWT8	0	0	15	3	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅäÀü»ç	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BRB0	0	1	8	0	30	BWF1	BWF2	BRF1	BRF2	BFF1	BFF2	BSF1	BSF2	º§¶óÅä·¹ÀÎÀú	Ñòðåëîê	RANGER	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	5	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	iqbbb00	10	ipbhp00	50	ipbfp00	99	ipbsp00	50	ipbhx00	50	-1	-1	-1	-1	-1	-1	-1	-1	
BRF1	0	1	9	1	40	BRS1	BRS2	-1	-1	-1	-1	-1	-1	º§¶óÅä·¹ÀÎÀú	Äèâåðñàíò	DESPERADO	0	7F096	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	5	0	10	0	0	122286	0	34393	0	0	0	0	0	0	0	0	15000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	iwfib30	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BRF2	0	1	10	1	40	BRS2	BRS3	-1	-1	-1	-1	-1	-1	º§¶óÅä·¹ÀÎÀú	Ñíàéïåð	SNIPER	0	7F099	7F09A	7F09B	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	10	0	0	15	0	0	91714	0	51589	0	0	0	0	0	0	0	0	15000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	iwbob30	1	tr00001	1	tr00001	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
