string[64]	dword	qword	dword	float	float	dword	dword	dword	dword	dword	dword	float	dword	float	float	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	dword	string[64]	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	END
Code	Level	NeedExp	UseFP	Penalty	AttGap	Attack_DP	AttFcStd	MinAfSelProb	MaxAFSelProb	AttDklUnit	DefSklUnit	WeakPart	StdDefFc	DefGap	DefFacing	fire	water	soil	wind	ForceLv	ForceMast	ForceAttStd	AttTechID1	AttTech1Prob	AttTech1MotionTime	PSecTechID	PSecTechMotionTime	MSecTechID	MSeacTechMotionTime	MaxHP	HPRecDelay	HPRecUnit	MaxFP	FPRecDelay	FPRecUnit	AttSpd	AttMoTime1	AttMoTime2	CrtMoTime	ViewExt	RefExt	AttExt	MovSpd	ScaleRate	Width	AttEffType	DefEffType	
0	1	200	0	0,02	1	0	60	37	50	4	3	-1	10	0,574999988	0,742550015	10	10	10	10	1	1	16	0	0	1000	0	1000	0	1000	70	2000	12	50	2000	4	900	900	900	0	340	340	225	6	100	20	10	273	
0	2	600	0	0,02	1	0	70	34	45	4	3	-1	12	0,574999988	0,791217983	10	10	10	10	1	1	16	0	0	1000	0	1000	0	1000	90	2000	12	50	2000	4	900	900	900	0	340	340	225	6	100	20	10	273	
0	3	1200	0	0,02	1	0	84	32	43	4	3	-1	16	0,574999988	0,773497999	10	10	10	10	1	1	16	0	0	1000	0	1000	0	1000	120	2000	14	50	2000	4	900	900	900	0	340	340	225	6	100	20	10	273	
0	4	2000	0	0,02	1	0	101	30	41	7	6	-1	18	0,574999988	0,809107006	10	10	10	10	1	1	16	0	0	1000	0	1000	0	1000	130	2000	14	50	2000	4	900	900	900	0	340	340	225	6	100	20	10	273	
0	5	3000	0	0,02	1	0	122	30	40	11	9	-1	22	0,574999988	0,818475008	10	10	10	10	1	1	16	0	0	1000	0	1000	0	1000	170	2000	16	50	2000	4	900	900	900	0	340	340	225	6	100	20	10	273	
0	6	4201	0	0,02	1	0	137	29	38	14	9	-1	22	0,574999988	0,850050986	10	10	10	10	1	1	16	0	0	1000	0	1000	0	1000	200	2000	16	50	2000	4	900	900	900	0	340	340	225	6	100	20	10	273	
0	7	5602	0	0,02	1	0	156	28	38	14	12	-1	26	0,574999988	0,848505974	10	10	10	10	1	1	16	0	0	1000	0	1000	0	1000	210	2000	18	50	2000	4	900	900	900	0	340	340	225	6	100	20	10	273	
0	8	7204	0	0,02	1	0	176	28	37	14	12	-1	30	0,574999988	0,849363029	10	10	10	10	1	1	16	0	0	1000	0	1000	0	1000	250	2000	18	50	2000	4	900	900	900	0	340	340	225	6	100	20	10	273	
0	9	9008	0	0,02	1	0	201	27	36	18	12	-1	38	0,574999988	0,835286021	10	10	10	10	1	1	16	0	0	1000	0	1000	0	1000	280	2000	20	50	2000	4	900	900	900	0	340	340	225	6	100	20	10	273	
