string[64]	dword	qword	dword	float	float	dword	dword	dword	dword	dword	dword	float	dword	float	float	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	dword	string[64]	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	END
Code	Level	NeedExp	UseFP	Penalty	AttGap	Attack_DP	AttFcStd	MinAfSelProb	MaxAFSelProb	AttDklUnit	DefSklUnit	WeakPart	StdDefFc	DefGap	DefFacing	fire	water	soil	wind	ForceLv	ForceMast	ForceAttStd	AttTechID1	AttTech1Prob	AttTech1MotionTime	PSecTechID	PSecTechMotionTime	MSecTechID	MSeacTechMotionTime	MaxHP	HPRecDelay	HPRecUnit	MaxFP	FPRecDelay	FPRecUnit	AttSpd	AttMoTime1	AttMoTime2	CrtMoTime	ViewExt	RefExt	AttExt	MovSpd	ScaleRate	Width	AttEffType	DefEffType	
0	1	200	0	0,02	0,5	0	150	40	60	4	1	-1	5	0,5	0,710280001	50	50	50	50	1	1	16	0	0	1000	0	1000	0	1000	70	2000	12	50	2000	4	1800	1575	1575	0	300	300	300	6	100	20	1	7	
0	2	600	0	0,02	0,5	0	172	40	60	4	1	-1	6	0,5	0,763103008	50	50	50	50	1	1	16	0	0	1000	0	1000	0	1000	90	2000	12	50	2000	4	1800	1575	1575	0	300	300	300	6	100	20	1	7	
0	3	1200	0	0,02	0,5	0	199	40	60	4	1	-1	8	0,5	0,74376899	50	50	50	50	1	1	16	0	0	1000	0	1000	0	1000	120	2000	14	50	2000	4	1800	1575	1575	0	300	300	300	6	100	20	1	7	
0	4	2000	0	0,02	0,5	0	241	40	60	7	2	-1	9	0,5	0,782738984	50	50	50	50	1	1	16	0	0	1000	0	1000	0	1000	130	2000	14	50	2000	4	1800	1575	1575	0	300	300	300	6	100	20	1	7	
0	5	3000	0	0,02	0,5	0	298	40	60	11	3	-1	11	0,5	0,793070018	50	50	50	50	1	1	16	0	0	1000	0	1000	0	1000	170	2000	16	50	2000	4	1800	1575	1575	0	300	300	300	6	100	20	1	7	
0	6	4201	0	0,02	0,5	0	328	40	60	14	3	-1	11	0,5	0,828136981	50	50	50	50	1	1	16	0	0	1000	0	1000	0	1000	200	2000	16	50	2000	4	1800	1575	1575	0	300	300	300	6	100	20	1	7	
0	7	5602	0	0,02	0,5	0	378	40	60	14	4	-1	13	0,5	0,826412976	50	50	50	50	1	1	16	0	0	1000	0	1000	0	1000	210	2000	18	50	2000	4	1800	1575	1575	0	300	300	300	6	100	20	1	7	
0	8	7204	0	0,02	0,5	0	436	40	60	14	4	-1	15	0,5	0,827368975	50	50	50	50	1	1	16	0	0	1000	0	1000	0	1000	250	2000	18	50	2000	4	1800	1575	1575	0	300	300	300	6	100	20	1	7	
0	9	9008	0	0,02	0,5	0	516	40	60	18	4	-1	19	0,5	0,811693013	50	50	50	50	1	1	16	0	0	1000	0	1000	0	1000	280	2000	20	50	2000	4	1800	1575	1575	0	300	300	300	6	100	20	1	7	
