string[64]	string[64]	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	dword	dword	float	dword	dword	dword	dword	dword	float	float	dword	dword	float	dword	dword	float	float	float	float	float	dword	float	float	float	dword	dword	float	float	float	float	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	float	float	float	string[64]	float	float	string[64]	float	float	string[64]	float	float	string[64]	float	string[64]	float	dword	float	float	float	float	float	float	float	dword	dword	dword	float	float	float	float	float	float	float	dword	float	float	dword	dword	dword	string[64]	dword	string[64]	dword	string[64]	dword	float	float	dword	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	dword	dword	string[64]	dword	dword	string[64]	dword	dword	string[64]	dword	dword	string[64]	dword	dword	string[64]	dword	dword	END
Code	Name	EffectCode	MobGrade	RaceCode	MobRace	KillPoint	ToCombatTime	PincerCnt	PreAttRange	MinMoveDist	MaxMoveDist	MobAlienation	MinMoveArea	MaxMoveArea	GuardRecallTimeMS	GuardingArea	TarDecType	APTime	APReset	UglierType	Level	bMonsterCond	CriticalTol	bExpDown	UpLooting	DnLooting	Ext	AttFcStd	Attack_DP	Property	AttGap	bAttRangeType	AttType	MinAFSelProb	MaxAFSelProb	AttSklUnit	SefSklUnit	WeakPart	bUseDefence	StdDefFc	DefGap	DefFacing	ShieldBlock	BlockPer	fire	water	soil	wind	SPCode_1	SPCode_2	SPCode_3	SPCode_4	SPCode_5	SPCode_6	SPCode_7	SPCode_8	SPCode_9	SPCode_10	SPCode_11	SPCode_12	SPCode_13	SPCode_14	SPCode_15	ForceLevel	ForceMastery	ForceAttStd	AttTechID_1	AttTechUseProb_1	AttTechMotionTime_1	AttTechID_2	AttTechUseProb_2	AttTechMotionTime_2	AttTechID_3	AttTechUseProb_3	AttTechMotionTime_3	PSecTechID	PSecTechIDMotionTime	MSecTechID	MSecTechIDMotionTime	InjuryLimit	MaxHP	HPRecDelay	HPRecUnit	AttSpd	AttMoTime1	AttMoTime2	CrtMoTime	ViewAngle	ViewAngleCap	CapacityValue	ViewExt	AttExt	MRefExt	CopTime	MovSpd	WarMovSpd	ScaleRate	bScaleChange	Width	WaitTime	AsitReqRate	AsitAptRate	AsitType	ChildMon_1	MonNum_1	ChildMon_2	MonNum_2	ChildMon_3	MonNum_3	EmoType	OffensiveRate	OffensiveType	DamHPStd	EmoImpStdTime	GoodToOrdHPPer	OrdToBadHPPer	BadToWorseHPPer	EspTFProb	TypeCompTerms	PSecTechChat	PAttTechChat	EmoChat_0	EmoChatProb_0	EmoChat_1	EmoChatProb_1	EmoChat_2	EmoChatProb_2	EmoChat_3	EmoChatProb_3	EmoChat_4	EmoChatProb_4	AsitReqSteEspChat	AsitReqSteEspChatProb	AsitReqSteHelpChat	AsitReqSteHelpChatProb	AsitReqSteCopChat	AsitReqSteCopChatProb	EmotionCon_1	EmotionClass_1	EmotionCode_1	EmotionCon_2	EmotionClass_2	EmotionCode_2	EmotionCon_3	EmotionClass_3	EmotionCode_3	EmotionCon_4	EmotionClass_4	EmotionCode_4	EmotionCon_5	EmotionClass_5	EmotionCode_5	AttEffType	DefEffType	
00000	Флем Детеныш 	000	0	-1	7	1	10000	1	50	30	100	1	0	0	0	0	0	5	10	-1	1	0	0	1	2	1	11	28	0	-1	1	0	0	30	65	2	2	-1	0	8	0,5	0,731544018	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	22	0	0	2034	2034	2034	608	270	4	30	100	25	100	5000	2	4	100	0	40	8000	0	0	0	-1	0	-1	0	-1	0	5	0	0	1	20000	50	30	10	50	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	7	1	1	9	0	7	0	-1	-1	0	-1	-1	21	1	
00001	Флем Детеныш 	000	0	-1	7	1	10000	1	50	30	100	1	0	0	0	0	0	5	10	-1	1	0	0	1	2	1	11	28	0	-1	1	0	0	30	65	2	2	-1	0	8	0,5	0,731544018	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	22	0	0	2034	2034	2034	608	270	4	30	100	25	100	5000	2	4	100	0	40	8000	0	0	0	-1	0	-1	0	-1	0	5	0	0	1	20000	50	30	10	50	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	7	1	1	9	0	7	0	-1	-1	0	-1	-1	21	1	
00002	Флем Детеныш 	000	0	-1	7	1	10000	1	50	30	100	1	0	0	0	0	0	5	10	-1	1	0	0	1	2	1	11	28	0	-1	1	0	0	30	65	2	2	-1	0	8	0,5	0,731544018	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	22	0	0	2034	2034	2034	608	270	4	30	100	25	100	5000	2	4	100	0	40	8000	0	0	0	-1	0	-1	0	-1	0	5	0	0	1	20000	50	30	10	50	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	7	1	1	9	0	7	0	-1	-1	0	-1	-1	21	1	
00100	Вертобот	080	0	-1	5	2	10000	1	50	30	100	1	0	0	0	0	0	5	10	-1	2	0	1	1	2	1	14	35	0	-1	1	0	0	30	65	5	4	-1	0	9	0,5	0,773868978	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	31	0	0	2034	2034	2034	1000	270	4	30	100	37,5	100	5000	4	6	150	0	60	8000	0	0	0	-1	0	-1	0	-1	0	5	0	0	1	20000	50	30	10	75	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	7	1	1	0	-1	-1	0	-1	-1	0	-1	-1	13	2	
00101	Вертобот	080	0	-1	5	2	10000	1	50	30	100	1	0	0	0	0	0	5	10	-1	2	0	1	1	2	1	14	35	0	-1	1	0	0	30	65	5	4	-1	0	9	0,5	0,773868978	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	31	0	0	2034	2034	2034	1000	270	4	30	100	37,5	100	5000	4	6	150	0	60	8000	0	0	0	-1	0	-1	0	-1	0	5	0	0	1	20000	50	30	10	75	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	7	1	1	0	-1	-1	0	-1	-1	0	-1	-1	13	2	
00102	Вертобот	080	0	-1	5	2	10000	1	50	30	100	1	0	0	0	0	0	5	10	-1	2	0	1	1	2	1	14	35	0	-1	1	0	0	30	65	5	4	-1	0	9	0,5	0,773868978	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	31	0	0	2034	2034	2034	1000	270	4	30	100	37,5	100	5000	4	6	150	0	60	8000	0	0	0	-1	0	-1	0	-1	0	5	0	0	1	20000	50	30	10	75	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	7	1	1	0	-1	-1	0	-1	-1	0	-1	-1	13	2	
00300	Клаан Детеныш 	082	0	-1	2	3	10000	1	50	30	100	1	0	0	0	0	0	5	10	-1	3	0	2	1	2	1	18	37	0	-1	1	0	0	30	65	7	6	-1	0	11	0,5	0,787234008	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	51	0	0	2034	2034	2034	1184	270	4	30	100	37,5	100	5000	3	5	150	0	60	8000	0	0	1	-1	0	-1	0	-1	0	5	0	0	1	20000	50	30	10	75	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	7	1	1	0	-1	-1	0	-1	-1	0	-1	-1	21	256	
00301	Клаан Детеныш 	082	0	-1	2	3	10000	1	50	30	100	1	0	0	0	0	0	5	10	-1	3	0	2	1	2	1	18	37	0	-1	1	0	0	30	65	7	6	-1	0	11	0,5	0,787234008	0	0	35	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	51	0	0	2034	2034	2034	1184	270	4	30	100	37,5	100	5000	3	5	150	0	60	8000	0	0	1	-1	0	-1	0	-1	0	5	0	0	1	20000	50	30	10	75	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	7	1	1	0	-1	-1	0	-1	-1	0	-1	-1	21	256	
00201	Флем	009	0	-1	7	3	10000	1	50	30	100	1	0	0	0	0	0	5	10	-1	3	0	2	1	2	1	18	37	0	-1	1	0	0	30	65	7	6	-1	0	11	0,5	0,787234008	0	0	0	0	35	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	51	0	0	2034	2034	2034	608	270	4	30	100	25	100	5000	2	4	100	0	40	8000	0	0	0	-1	0	-1	0	-1	0	5	0	0	1	20000	50	30	10	50	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	7	1	1	0	-1	-1	0	-1	-1	0	-1	-1	21	1	
00202	Флем	009	0	-1	7	3	10000	1	50	30	100	1	0	0	0	0	0	5	10	-1	3	0	2	1	2	1	18	37	0	-1	1	0	0	30	65	7	6	-1	0	11	0,5	0,787234008	0	0	0	0	35	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	51	0	0	2034	2034	2034	608	270	4	30	100	25	100	5000	2	4	100	0	40	8000	0	0	0	-1	0	-1	0	-1	0	5	0	0	1	20000	50	30	10	50	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	7	1	1	0	-1	-1	0	-1	-1	0	-1	-1	21	1	
00200	Флем	009	0	-1	7	4	10000	1	50	30	100	1	0	0	0	0	0	5	10	-1	4	0	3	1	2	1	22	37	0	-1	1	0	0	30	65	9	8	-1	0	11	0,5	0,823435009	0	0	0	0	35	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	77	0	0	2034	2034	2034	608	270	4	30	100	25	100	5000	2	4	100	0	40	8000	0	0	0	-1	0	-1	0	-1	0	5	0	0	1	20000	50	30	10	50	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	7	1	1	0	-1	-1	0	-1	-1	0	-1	-1	21	1	
00500	Вонючий Жук	003	0	-1	4	4	10000	1	50	30	100	1	0	0	0	0	0	5	10	-1	4	0	3	1	2	1	22	37	0	-1	1	0	0	30	65	9	8	-1	0	11	0,5	0,823435009	0	0	0	30	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	77	0	0	2034	2034	2034	608	270	4	30	100	25	100	5000	2	4	100	0	40	8000	0	0	1	-1	0	-1	0	-1	0	5	0	0	1	20000	50	30	10	25	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	7	1	1	0	-1	-1	0	-1	-1	0	-1	-1	21	2048	
00501	Вонючий Жук	003	0	-1	4	4	10000	1	50	30	100	1	0	0	0	0	0	5	10	-1	4	0	3	1	2	1	22	37	0	-1	1	0	0	30	65	9	8	-1	0	11	0,5	0,823435009	0	0	0	30	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	77	0	0	2034	2034	2034	608	270	4	30	100	25	100	5000	2	4	100	0	40	8000	0	0	1	-1	0	-1	0	-1	0	5	0	0	1	20000	50	30	10	25	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	7	1	1	0	-1	-1	0	-1	-1	0	-1	-1	21	2048	
00302	Клаан Детеныш	082	0	-1	2	4	10000	1	50	30	100	1	0	0	0	0	0	5	10	-1	4	0	3	1	2	1	22	37	0	-1	1	0	0	30	65	9	8	-1	0	11	0,5	0,823435009	0	0	35	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	77	0	0	2034	2034	2034	1184	270	4	30	100	37,5	100	5000	3	5	150	0	60	8000	0	0	1	-1	0	-1	0	-1	0	5	0	0	1	20000	50	30	10	75	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	7	1	1	0	-1	-1	0	-1	-1	0	-1	-1	21	256	
00600	Армированный Вертобот	083	0	-1	5	5	10000	1	50	30	100	1	0	0	0	0	0	5	10	-1	5	0	4	1	2	1	29	42	0	-1	1	0	0	30	65	11	9	-1	0	13	0,5	0,822404027	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	105	0	0	2034	2034	2034	768	270	4	30	100	50	100	5000	4	6	200	0	80	8000	0	0	0	-1	0	-1	0	-1	0	5	0	0	1	20000	50	30	10	25	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	7	1	1	0	-1	-1	0	-1	-1	0	-1	-1	9	2	
