string[64]	dword	string[64]	dword	float	dword	dword	dword	dword	dword	dword	dword	dword	END
Code	SpAttType	SpAttCode	AttLv	SpRange	MotiveCond	MotiveVal	MotExcepCond	MotExcepVal	MotiveTime	DstType	LimitCount	Probability	
00000	1	9401	1	-1	0	-1	-1	-1	10	0	15	100	
00001	1	7104	1	-1	1	20	-1	-1	20	1	15	100	
00002	1	9303	3	-1	0	-1	-1	-1	10	0	15	100	
00003	1	9502	1	-1	1	70	-1	-1	10	0	15	100	
00004	1	9500	1	-1	1	60	-1	-1	4	0	15	100	
00005	1	9302	5	-1	0	-1	-1	-1	10	0	15	100	
00006	1	9407	1	-1	0	-1	-1	-1	10	0	15	100	
00007	1	930A	3	-1	1	90	-1	-1	10	0	15	100	
00008	1	9401	1	-1	1	70	-1	-1	5	0	15	100	
00009	1	930B	4	-1	1	80	-1	-1	10	0	15	100	
00010	1	9302	1	-1	0	-1	-1	-1	10	0	15	100	
00011	1	9303	4	-1	0	-1	-1	-1	10	0	15	100	
00012	1	930B	5	-1	0	-1	-1	-1	10	0	15	100	
00013	1	7104	1	-1	2	20	-1	-1	10	2	15	100	
00014	1	9405	1	-1	1	60	-1	-1	5	0	15	100	
00015	1	9502	1	-1	0	-1	-1	-1	10	0	15	100	
00016	1	9401	1	-1	1	60	-1	-1	5	0	15	100	
00017	1	9501	3	-1	1	60	-1	-1	5	0	300	100	
00018	1	9502	1	-1	0	-1	-1	-1	10	0	300	100	
00019	1	9503	1	-1	1	30	-1	-1	5	0	300	100	
00020	1	9407	1	-1	0	-1	-1	-1	8	0	15	100	
00021	1	7104	4	-1	1	50	-1	-1	5	1	15	100	
00022	1	7104	4	-1	2	90	-1	-1	3	2	15	100	
00023	1	9501	4	-1	1	60	-1	-1	5	0	300	100	
00024	1	9201	4	-1	1	30	-1	-1	5	0	300	100	
00025	1	9505	3	-1	1	30	-1	-1	5	0	300	100	
00026	1	9401	4	-1	1	30	-1	-1	5	0	300	100	
00027	1	9303	3	-1	1	50	-1	-1	5	0	300	100	
00028	1	9201	4	-1	1	20	-1	-1	3	0	300	100	
00029	1	9307	1	-1	0	-1	-1	-1	6	0	15	100	
00030	1	9302	6	-1	1	60	-1	-1	10	0	15	100	
00031	1	7104	6	-1	1	40	-1	-1	5	1	15	100	
00032	1	9401	5	-1	1	40	-1	-1	5	0	300	100	
00033	1	9302	5	-1	1	50	-1	-1	10	0	300	100	
00034	1	9504	5	-1	1	30	-1	-1	5	0	300	100	
00035	1	9303	4	-1	1	30	-1	-1	5	0	300	100	
00036	1	9402	1	-1	0	-1	-1	-1	10	0	15	100	
00037	1	950B	1	-1	1	30	-1	-1	10	0	300	100	
00038	1	7104	4	-1	1	50	-1	-1	6	1	15	100	
00039	1	9301	7	-1	1	70	-1	-1	3	0	15	100	
00040	1	9406	1	-1	1	70	-1	-1	10	0	15	100	
00041	1	7104	2	-1	2	10	-1	-1	10	2	15	100	
00042	1	940A	1	-1	1	30	-1	-1	10	0	300	100	
00043	1	950A	1	-1	1	60	-1	-1	15	0	300	100	
00044	1	9307	5	-1	1	50	-1	-1	10	0	300	100	
00045	1	950B	1	-1	1	25	-1	-1	5	0	300	100	
00046	1	9309	5	-1	1	60	-1	-1	5	0	300	100	
00047	1	950A	1	-1	1	30	-1	-1	10	0	300	100	
00048	1	930B	5	-1	0	-1	-1	-1	6	0	15	100	
00049	1	9204	6	-1	0	-1	-1	-1	3	0	15	100	
00050	1	9304	6	-1	0	-1	-1	-1	3	0	15	100	
00051	1	9407	1	-1	0	-1	-1	-1	6	0	15	100	
00052	1	9502	1	-1	0	-1	-1	-1	6	0	15	100	
00053	1	9204	4	-1	1	60	-1	-1	3	0	15	100	
00054	1	9502	1	-1	0	-1	-1	-1	7	0	15	100	
00055	1	7104	5	-1	1	50	-1	-1	5	1	15	100	
00056	1	7104	7	-1	2	90	-1	-1	3	2	15	100	
00057	1	9209	7	-1	1	60	-1	-1	5	0	300	100	
00058	1	940B	1	-1	0	-1	-1	-1	10	0	15	100	
00059	1	9405	1	-1	0	-1	-1	-1	3	0	15	100	
00060	1	9206	1	-1	0	-1	-1	-1	3	0	15	100	
00061	1	9501	1	-1	0	-1	-1	-1	10	0	15	100	
00062	1	9401	1	-1	0	-1	-1	-1	3	0	15	100	
00063	1	7104	1	-1	1	15	-1	-1	15	1	15	100	
00064	1	9405	4	-1	0	-1	-1	-1	10	0	15	100	
00065	1	9401	3	-1	0	-1	-1	-1	10	0	300	100	
