string[64]	dword	qword	dword	float	float	dword	dword	dword	dword	dword	dword	float	dword	float	float	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	dword	string[64]	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	END
Code	Level	NeedExp	UseFP	Penalty	AttGap	Attack_DP	AttFcStd	MinAfSelProb	MaxAFSelProb	AttDklUnit	DefSklUnit	WeakPart	StdDefFc	DefGap	DefFacing	fire	water	soil	wind	ForceLv	ForceMast	ForceAttStd	AttTechID1	AttTech1Prob	AttTech1MotionTime	PSecTechID	PSecTechMotionTime	MSecTechID	MSeacTechMotionTime	MaxHP	HPRecDelay	HPRecUnit	MaxFP	FPRecDelay	FPRecUnit	AttSpd	AttMoTime1	AttMoTime2	CrtMoTime	ViewExt	RefExt	AttExt	MovSpd	ScaleRate	Width	AttEffType	DefEffType	
0	1	200	0	0,02	1	0	34	30	50	4	1	-1	14	0,699999988	0,078273997	0	0	0	0	1	1	16	0	0	1000	0	1000	0	1000	28	2000	5	50	2000	4	2000	1575	1575	0	340	340	45	6	60	20	1	512	
0	2	600	0	0,02	1	0	35	30	50	4	1	-1	21	0,699999988	0,079306997	0	0	0	0	1	1	16	0	0	1000	0	1000	0	1000	36	2000	5	50	2000	4	2000	1575	1575	0	340	340	45	6	61	20	1	512	
0	3	1200	0	0,02	1	0	37	30	50	4	1	-1	23	0,699999988	0,082814001	0	0	0	0	1	1	16	0	0	1000	0	1000	0	1000	48	2000	6	50	2000	4	2000	1575	1575	0	340	340	45	6	62	20	1	512	
0	4	2000	0	0,02	1	0	42	30	50	7	1	-1	23	0,699999988	0,082640998	0	0	0	0	1	1	16	0	0	1000	0	1000	0	1000	52	2000	6	50	2000	4	2000	1575	1575	0	340	340	45	6	63	20	1	512	
0	5	3000	0	0,02	1	0	50	30	50	11	1	-1	28	0,699999988	0,082736999	0	0	0	0	1	1	16	0	0	1000	0	1000	0	1000	68	2000	6	50	2000	4	2000	1575	1575	0	340	340	45	6	64	20	1	512	
0	6	4201	0	0,02	1	0	53	30	50	14	1	-1	31	0,699999988	0,081169002	0	0	0	0	1	1	16	0	0	1000	0	1000	0	1000	80	2000	6	50	2000	4	2000	1575	1575	0	340	340	45	6	66	20	1	512	
0	7	5602	0	0,02	1	0	59	30	50	14	1	-1	35	0,699999988	0,080023997	0	0	0	0	1	1	16	0	0	1000	0	1000	0	1000	84	2000	7	50	2000	4	2000	1575	1575	0	340	340	45	6	67	20	1	512	
0	8	7204	0	0,02	1	0	66	30	50	14	1	-1	43	0,699999988	0,07784	0	0	0	0	1	1	16	0	0	1000	0	1000	0	1000	100	2000	7	50	2000	4	2000	1575	1575	0	340	340	45	6	68	20	1	512	
0	9	9008	0	0,02	1	0	76	30	50	18	1	-1	50	0,699999988	0,075383998	0	0	0	0	1	1	16	0	0	1000	0	1000	0	1000	112	2000	8	50	2000	4	2000	1575	1575	0	340	340	45	6	69	20	1	512	
0	10	11014	0	0,02	1	0	86	30	50	18	1	-1	61	0,699999988	0,073120996	0	0	0	0	1	1	16	0	0	1000	0	1000	0	1000	124	2000	8	50	2000	4	2000	1575	1575	0	340	340	45	6	70	20	1	512	
0	11	13223	0	0,02	1	0	97	30	50	21	1	-1	70	0,699999988	0,070991002	0	0	0	0	1	1	16	0	0	1000	0	1000	0	1000	132	2000	9	50	2000	4	2000	1575	1575	0	340	340	45	6	72	20	1	512	
0	12	15638	0	0,02	1	0	108	30	50	21	1	-1	84	0,699999988	0,069271997	0	0	0	0	1	1	16	0	0	1000	0	1000	0	1000	160	2000	9	50	2000	4	2000	1575	1575	0	340	340	45	6	73	20	1	512	
0	13	18261	0	0,02	1	0	120	30	50	25	1	-1	95	0,699999988	0,066790998	0	0	0	0	1	1	16	0	0	1000	0	1000	0	1000	172	2000	10	50	2000	4	2000	1575	1575	0	340	340	45	6	74	20	1	512	
0	14	21097	0	0,02	1	0	133	30	50	28	1	-1	113	0,699999988	0,065168001	0	0	0	0	1	1	16	0	0	1000	0	1000	0	1000	188	2000	10	50	2000	4	2000	1575	1575	0	340	340	45	6	75	20	1	512	
0	15	24154	0	0,02	1	0	145	30	50	28	1	-1	127	0,699999988	0,063123003	0	0	0	0	1	1	16	0	0	1000	0	1000	0	1000	204	2000	10	50	2000	4	2000	1575	1575	0	340	340	45	6	76	20	1	512	
0	16	27444	0	0,02	1	0	159	30	50	32	1	-1	148	0,699999988	0,061291002	0	0	0	0	1	1	16	0	0	1000	0	1000	0	1000	220	2000	10	50	2000	4	2000	1575	1575	0	340	340	45	6	78	20	1	512	
0	17	30986	0	0,02	1	0	172	30	50	35	1	-1	166	0,699999988	0,059250001	0	0	0	0	1	1	16	0	0	1000	0	1000	0	1000	240	2000	11	50	2000	4	2000	1575	1575	0	340	340	45	6	79	20	1	512	
0	18	34811	0	0,02	1	0	186	30	50	35	1	-1	192	0,699999988	0,057617001	0	0	0	0	1	1	16	0	0	1000	0	1000	0	1000	280	2000	11	50	2000	4	2000	1575	1575	0	340	340	45	6	80	20	1	512	
0	19	38967	0	0,02	1	0	202	30	50	39	1	-1	220	0,699999988	0,054292001	0	0	0	0	1	1	16	0	0	1000	0	1000	0	1000	304	2000	12	50	2000	4	2000	1575	1575	0	340	340	45	6	81	20	1	512	
0	20	43533	0	0,02	1	0	218	30	50	42	1	-1	257	0,699999988	0,050974	0	0	0	0	1	1	16	0	0	1000	0	1000	0	1000	348	2000	12	50	2000	4	2000	1575	1575	0	340	340	45	6	82	20	1	512	
0	21	48635	0	0,02	1	0	279	30	50	52	1	-1	298	0,699999988	0,047915999	0	0	0	0	1	1	16	0	0	1000	0	1000	0	1000	760	2000	26	50	2000	4	2000	1575	1575	0	340	340	45	6	84	20	1	512	
0	22	54476	0	0,02	1	0	295	30	50	56	1	-1	345	0,699999988	0,044918001	0	0	0	0	1	1	16	0	0	1000	0	1000	0	1000	816	2000	26	50	2000	4	2000	1575	1575	0	340	340	45	6	85	20	1	512	
0	23	61384	0	0,02	1	0	313	30	50	60	1	-1	397	0,699999988	0,042273	0	0	0	0	1	1	16	0	0	1000	0	1000	0	1000	944	2000	27	50	2000	4	2000	1575	1575	0	340	340	45	6	86	20	1	512	
0	24	69894	0	0,02	1	0	332	30	50	64	1	-1	465	0,699999988	0,039556999	0	0	0	0	1	1	16	0	0	1000	0	1000	0	1000	1152	2000	27	50	2000	4	2000	1575	1575	0	340	340	45	6	87	20	1	512	
0	25	80874	0	0,02	1	0	352	30	50	68	1	-1	533	0,699999988	0,037317	0	0	0	0	1	1	16	0	0	1000	0	1000	0	1000	1232	2000	29	50	2000	4	2000	1575	1575	0	340	340	45	6	88	20	1	512	
