string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	END
Name	Lv	MelePT	RangePT	SpecialPT	DefPT	ShieldPT	CraftPt1	CraftPt2	CraftPt3	MeleYch	MeleExp	MeleElitr	MeleMagistr	RangeYch	RangeExp	RangeElite	RangeMagistr	Dark1	Dark2	Dark3	Dark4	Holy1	Holy2	Holy3	Holy4	Fire1	Fire2	Fire3	Fire4	Water1	Water2	Water3	Water4	Soil1	Soil2	Soil3	Soil4	Wind1	Wind2	Wind3	Wind4	
0	1	3	3	3	2	2	99	99	99	2	1	1	1	2	1	1	1	3	1	1	1	3	1	1	1	3	1	1	1	3	1	1	1	3	1	1	1	3	1	1	1	
0	2	4	4	4	3	3	99	99	99	4	1	1	1	4	1	1	1	4	1	1	1	4	1	1	1	4	1	1	1	4	1	1	1	4	1	1	1	4	1	1	1	
0	3	5	5	5	4	4	99	99	99	6	1	1	1	6	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	
0	4	6	6	6	5	5	99	99	99	8	1	1	1	8	1	1	1	6	1	1	1	6	1	1	1	6	1	1	1	6	1	1	1	6	1	1	1	6	1	1	1	
0	5	7	7	7	6	6	99	99	99	10	1	1	1	10	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	
0	6	8	8	8	7	7	99	99	99	12	1	1	1	12	1	1	1	8	1	1	1	8	1	1	1	8	1	1	1	8	1	1	1	8	1	1	1	8	1	1	1	
0	7	9	9	9	8	8	99	99	99	15	1	1	1	15	1	1	1	9	1	1	1	9	1	1	1	9	1	1	1	9	1	1	1	9	1	1	1	9	1	1	1	
0	8	10	10	10	9	9	99	99	99	17	1	1	1	17	1	1	1	10	1	1	1	10	1	1	1	10	1	1	1	10	1	1	1	10	1	1	1	10	1	1	1	
0	9	12	12	12	9	9	99	99	99	19	1	1	1	19	1	1	1	12	1	1	1	12	1	1	1	12	1	1	1	12	1	1	1	12	1	1	1	12	1	1	1	
0	10	13	13	13	10	10	99	99	99	21	1	1	1	21	1	1	1	13	1	1	1	13	1	1	1	13	1	1	1	13	1	1	1	13	1	1	1	13	1	1	1	
0	11	14	14	14	11	11	99	99	99	23	1	1	1	23	1	1	1	14	1	1	1	14	1	1	1	14	1	1	1	14	1	1	1	14	1	1	1	14	1	1	1	
0	12	15	15	15	12	12	99	99	99	25	1	1	1	25	1	1	1	15	1	1	1	15	1	1	1	15	1	1	1	15	1	1	1	15	1	1	1	15	1	1	1	
0	13	16	16	16	13	13	99	99	99	27	1	1	1	27	1	1	1	16	1	1	1	16	1	1	1	16	1	1	1	16	1	1	1	16	1	1	1	16	1	1	1	
0	14	17	17	17	14	14	99	99	99	29	1	1	1	29	1	1	1	17	1	1	1	17	1	1	1	17	1	1	1	17	1	1	1	17	1	1	1	17	1	1	1	
0	15	18	18	18	15	15	99	99	99	31	1	1	1	31	1	1	1	18	1	1	1	18	1	1	1	18	1	1	1	18	1	1	1	18	1	1	1	18	1	1	1	
0	16	19	19	19	16	16	99	99	99	33	1	1	1	33	1	1	1	19	1	1	1	19	1	1	1	19	1	1	1	19	1	1	1	19	1	1	1	19	1	1	1	
0	17	20	20	20	17	17	99	99	99	35	1	1	1	35	1	1	1	20	1	1	1	20	1	1	1	20	1	1	1	20	1	1	1	20	1	1	1	20	1	1	1	
0	18	21	21	21	18	18	99	99	99	37	1	1	1	37	1	1	1	21	1	1	1	21	1	1	1	21	1	1	1	21	1	1	1	21	1	1	1	21	1	1	1	
0	19	22	22	22	19	19	99	99	99	39	1	1	1	39	1	1	1	22	1	1	1	22	1	1	1	22	1	1	1	22	1	1	1	22	1	1	1	22	1	1	1	
0	20	23	23	23	20	20	99	99	99	41	1	1	1	41	1	1	1	23	1	1	1	23	1	1	1	23	1	1	1	23	1	1	1	23	1	1	1	23	1	1	1	
0	21	24	24	24	21	21	99	99	99	43	1	1	1	43	1	1	1	24	1	1	1	24	1	1	1	24	1	1	1	24	1	1	1	24	1	1	1	24	1	1	1	
0	22	25	25	25	22	22	99	99	99	45	1	1	1	45	1	1	1	25	1	1	1	25	1	1	1	25	1	1	1	25	1	1	1	25	1	1	1	25	1	1	1	
0	23	26	26	26	23	23	99	99	99	47	1	1	1	47	1	1	1	26	1	1	1	26	1	1	1	26	1	1	1	26	1	1	1	26	1	1	1	26	1	1	1	
0	24	28	28	28	23	23	99	99	99	49	1	1	1	49	1	1	1	28	1	1	1	28	1	1	1	28	1	1	1	28	1	1	1	28	1	1	1	28	1	1	1	
0	25	29	29	29	24	24	99	99	99	52	1	1	1	52	1	1	1	29	1	1	1	29	1	1	1	29	1	1	1	29	1	1	1	29	1	1	1	29	1	1	1	
0	26	30	30	30	25	25	99	99	99	54	1	1	1	54	1	1	1	30	1	1	1	30	1	1	1	30	1	1	1	30	1	1	1	30	1	1	1	30	1	1	1	
0	27	31	31	31	26	26	99	99	99	56	1	1	1	56	1	1	1	31	1	1	1	31	1	1	1	31	1	1	1	31	1	1	1	31	1	1	1	31	1	1	1	
0	28	32	32	32	27	27	99	99	99	58	1	1	1	58	1	1	1	32	1	1	1	32	1	1	1	32	1	1	1	32	1	1	1	32	1	1	1	32	1	1	1	
0	29	33	33	33	28	28	99	99	99	60	1	1	1	60	1	1	1	33	1	1	1	33	1	1	1	33	1	1	1	33	1	1	1	33	1	1	1	33	1	1	1	
0	30	35	35	35	30	30	99	99	99	65	1	1	1	65	1	1	1	35	1	1	1	35	1	1	1	35	1	1	1	35	1	1	1	35	1	1	1	35	1	1	1	
0	31	39	39	39	33	33	99	99	99	68	1	1	1	68	1	1	1	39	1	1	1	39	1	1	1	39	1	1	1	39	1	1	1	39	1	1	1	39	1	1	1	
