string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	END
Name	Lv	MelePT	RangePT	SpecialPT	DefPT	ShieldPT	CraftPt1	CraftPt2	CraftPt3	MeleYch	MeleExp	MeleElitr	MeleMagistr	RangeYch	RangeExp	RangeElite	RangeMagistr	Dark1	Dark2	Dark3	Dark4	Holy1	Holy2	Holy3	Holy4	Fire1	Fire2	Fire3	Fire4	Water1	Water2	Water3	Water4	Soil1	Soil2	Soil3	Soil4	Wind1	Wind2	Wind3	Wind4	
0	1	3	2	2	2	2	1	1	1	5	1	1	1	2	1	1	1	2	1	1	1	2	1	1	1	2	1	1	1	2	1	1	1	2	1	1	1	2	1	1	1	
0	2	4	3	3	3	3	1	1	1	5	1	1	1	3	1	1	1	3	1	1	1	3	1	1	1	3	1	1	1	3	1	1	1	3	1	1	1	3	1	1	1	
0	3	5	4	4	4	4	1	1	1	5	1	1	1	3	1	1	1	3	1	1	1	3	1	1	1	3	1	1	1	3	1	1	1	3	1	1	1	3	1	1	1	
0	4	6	4	5	5	5	1	1	1	6	1	1	1	4	1	1	1	4	1	1	1	4	1	1	1	4	1	1	1	4	1	1	1	4	1	1	1	4	1	1	1	
0	5	7	5	6	6	6	1	1	1	7	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	
0	6	8	6	7	7	7	1	1	1	8	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	
0	7	9	7	8	8	8	1	1	1	8	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	
0	8	10	7	9	9	9	1	1	1	9	1	1	1	6	1	1	1	6	1	1	1	6	1	1	1	6	1	1	1	6	1	1	1	6	1	1	1	6	1	1	1	
0	9	12	8	9	9	9	1	1	1	10	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	
0	10	13	9	10	10	10	1	1	1	11	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	
0	11	14	10	11	11	11	1	1	1	11	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	
0	12	15	10	12	12	12	1	1	1	12	1	1	1	8	1	1	1	8	1	1	1	8	1	1	1	8	1	1	1	8	1	1	1	8	1	1	1	8	1	1	1	
0	13	16	11	13	13	13	1	1	1	13	1	1	1	9	1	1	1	9	1	1	1	9	1	1	1	9	1	1	1	9	1	1	1	9	1	1	1	9	1	1	1	
