byte	byte	word	dword	ccode	string[32]	ccode	ccode	ccode	ccode	ccode	ccode	ccode	ccode	dword	string[32]	string[32]	string[32]	dword	xeh	xeh	xeh	xeh	xeh	xeh	xeh	xeh	xeh	xeh	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	hex	hex	hex	hex	hex	hex	hex	hex	hex	clcode	clcode	clcode	clcode	clcode	clcode	clcode	clcode	clcode	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	word	dword	string[1024]	END
Class	Grade	none	Count	Code	Code	Ch_Class1	Ch_Class2	Ch_Class3	Ch_Class4	Ch_Class5	Ch_Class6	Ch_Class7	Ch_Class8	Icon	some name	somename	EngName	Race	LinkSkill1	LinkSkill2	LinkSkill3	LinkSkill4	LinkSkill5	LinkSkill6	LinkSkill7	LinkSkill8	LinkSkill9	LinkSkill10	TrapMaxNum	BnsHP	BnsFP	BnsSP	MeleMastery	RangeMastery2	SpecialMastery	none	ShieldMastery	DefMastery	MakeMastery1	MakeMastery2	MakeMastery3	DarkYch	DarkExp	DarkEl	DarkMag	HolyYch	HolyExp	HolyEl	HolyMag	Fire1	Fire2	Fire3	Fire4	Aqua1	Aqua2	Aqua3	Aqua4	Soil1	Soil2	Soil3	Soil4	Wind1	Wind2	Wind3	Wind4	none	none	none	none	none	none	none	none	none	none	none	none	IsSelectReward	type1	type2	type3	type4	type5	type6	type7	type8	type9	Reward1	Reward2	Reward3	Reward4	Reward5	Reward6	Reward7	Reward8	Reward9	Amount1	Amount2	Amount3	Amount4	Amount5	Amount6	Amount7	Amount8	Amount9	nnone	none	ProfFeatures	desc
0	0	0	0	BWB0	BWB0	BWF1	BWF2	BRF1	BRF2	BFF1	BFF2	BSF1	BSF2	1	є§¶уЕдАь»з	Воин	WARRIOR	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16000000	0d000000	0d000000	0d000000	0d000000	ff000000	ff000000	ff000000	ff000000	iqbbb00	ipbhp00	ipbfp00	ipbsp00	ipbhx00	-1	-1	-1	-1	10	50	99	50	50	-1	-1	-1	-1	0	0	0	Воины обладают исключительными навыками ведения ближнего боя. Они физически сильнее, чем другие Классы. В битве Воины специализируются на двуручных мечах или одноручных мечах в сочетании со щитом. После первого продвижения игрок может выбрать один из Типов Класса Воинов. Тип Коммандо хорош в атаке, он использует Рев для устрашения противника. Тип Миллер хорошо держит оборону, он использует такие Умения как Оборона и Оскорбление.
0	1	0	1	BWF1	BWF1	BWS1	BWS2	-1	-1	-1	-1	-1	-1	2	є§¶уЕдАь»з	Коммандо	COMMANDO	0	7F018	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	40	5	5	91714	0	0	0	0	51589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	06000000	06000000	06000000	ff000000	ff000000	ff000000	ff000000	ff000000	ff000000	iwswb30	iwaxb30	iwspb30	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	Тип Коммандо - базовый Тип Воина. Коммандо специализируются на двуручном оружии, доминируя  в ближнем бою и нанося врагу большой урон. Коммандо - основная военная сила Федерации Беллато, превосходящая по численности другие Классы.
0	1	0	2	BWF2	BWF2	BWS2	BWS3	-1	-1	-1	-1	-1	-1	3	є§¶уЕдАь»з	Миллер	MILER	0	7F01B	7F01C	-1	-1	-1	-1	-1	-1	-1	-1	0	60	0	0	61143	0	0	0	34393	34393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07000000	ff000000	ff000000	ff000000	ff000000	ff000000	ff000000	ff000000	ff000000	idbcb29	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	Тип Воина Миллер специализируется на обороне. Двуручному мечу Миллер предпочитает одноручный меч и щит, так как большинство его Умений связаны со щитом. Миллеры играют важнейшую роль в обороне Федерации Беллато.
0	2	0	3	BWS1	BWS1	-1	-1	-1	-1	-1	-1	-1	-1	4	є§¶уЕдАь»з	Берсерк	BERSERKER	0	7001E	7F01F	7F020	7F002	70008	-1	-1	-1	-1	-1	0	40	5	5	826286	0	0	0	0	300467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0d000000	ff000000	ff000000	ff000000	ff000000	ff000000	ff000000	ff000000	ff000000	ipbae01	-1	-1	-1	-1	-1	-1	-1	-1	99	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	Берсерк - профессионал в ведении ближнего боя. Согласно древней легенде Берсерк - это скандинавский витязь, специализирующийся исключительно на наступлении. Особенностью Типа Берсерк является эффективная молниеносная атака.
0	2	0	4	BWS2	BWS2	-1	-1	-1	-1	-1	-1	-1	-1	5	є§¶уЕдАь»з	Варвар	ARMSMAN	0	70021	7F022	7F023	7F002	70008	-1	-1	-1	-1	-1	0	60	10	5	550857	0	0	0	0	450701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0d000000	0d000000	ff000000	ff000000	ff000000	ff000000	ff000000	ff000000	ff000000	ipbae01	ipbde01	-1	-1	-1	-1	-1	-1	-1	99	99	-1	-1	-1	-1	-1	-1	-1	0	0	0	Варвар специализируется на палице. Этот Тип Воина силен как в атаке, так и в обороне. Он так могуч, что даже один Варвар может серьезно повлиять на соотношение сил на поле боя.
0	2	0	5	BWS3	BWS3	-1	-1	-1	-1	-1	-1	-1	-1	6	є§¶уЕдАь»з	Защитник	SHIELDMILER	0	7F024	7F025	7F026	7F002	70008	-1	-1	-1	-1	-1	0	80	0	0	413143	0	0	0	300467	300467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0d000000	ff000000	ff000000	ff000000	ff000000	ff000000	ff000000	ff000000	ff000000	ipbde01	-1	-1	-1	-1	-1	-1	-1	-1	99	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	Защитник всегда на передовой, в каждом сражении и в любой битве. Этот Тип специализируется на щитах и непревзойден в обороне. Защитник помогает своим союзникам в обороне от врага, а также может поглощать HP противника.
0	2	0	6	BWS4	BWS4	-1	-1	-1	-1	-1	-1	-1	-1	7	є§¶уЕдАь»з	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ff000000	ff000000	ff000000	ff000000	ff000000	ff000000	ff000000	ff000000	ff000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	_
0	3	0	7	BWT1	BWT1	-1	-1	-1	-1	-1	-1	-1	-1	8	є§¶уЕдАь»з	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ff000000	ff000000	ff000000	ff000000	ff000000	ff000000	ff000000	ff000000	ff000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	_
0	3	0	8	BWT2	BWT2	-1	-1	-1	-1	-1	-1	-1	-1	9	є§¶уЕдАь»з	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ff000000	ff000000	ff000000	ff000000	ff000000	ff000000	ff000000	ff000000	ff000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	_
0	3	0	9	BWT3	BWT3	-1	-1	-1	-1	-1	-1	-1	-1	10	є§¶уЕдАь»з	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ff000000	ff000000	ff000000	ff000000	ff000000	ff000000	ff000000	ff000000	ff000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	_
