double	double	double	END
Bell	Cora	Accretia	
0	0	0	
232	232	232	
349	349	349	
526	526	526	
796	796	796	
1208	1208	1208	
1839	1839	1839	
2808	2808	2808	
4301	4301	4301	
6607	6607	6607	
10181	10181	10181	
15735	15735	15735	
24393	24393	24393	
37928	37928	37928	
59151	59151	59151	
92526	92526	92526	
145167	145167	145167	
228441	228441	228441	
360563	360563	360563	
570806	570806	570806	
906353	906353	906353	
1443468	1443468	1443468	
2305780	2305780	2305780	
3694278	3694278	3694278	
5936661	5936661	5936661	
9568765	9568765	9568765	
15469293	15469293	15469293	
25083375	25083375	25083375	
40794575	40794575	40794575	
66545669	66545669	66545669	
108877492	108877492	108877492	
178672353	178672353	178672353	
294088159	294088159	294088159	
485510530	485510530	485510530	
803934566	803934566	803934566	
1335191883	1335191883	1335191883	
2224168052	2224168052	2224168052	
3716143243	3716143243	3716143243	
6227564392	6227564392	6227564392	
10467547506	10467547506	10467547506	
17647069147	17647069147	17647069147	
29840161362	29840161362	29840161362	
50609340755	50609340755	50609340755	
86091668763	86091668763	86091668763	
146890092733	146890092733	146890092733	
251376582103	251376582103	251376582103	
559242902707	559242902707	559242902707	
1492991693713	1492991693713	1492991693713	
4782946773304	4782946773304	4782946773304	
18387172493401	18387172493401	18387172493401	
28274461609242	28274461609242	28274461609242	
86956836846928	86956836846928	86956836846928	
133715923205266	133715923205266	133715923205266	
205618658255834	205618658255834	205618658255834	
316185474470584	316185474470584	316185474470584	
790463686176460	790463686176460	790463686176460	
1285081075117470	1285081075117470	1285081075117470	
2088256747065880	2088256747065880	2088256747065880	
3257680525422780	3257680525422780	3257680525422780	
4940815463557880	4940815463557880	4940815463557880	
7340640117286010	7340640117286010	7340640117286010	
13121394209648700	13121394209648700	13121394209648700	
21709943146873400	21709943146873400	21709943146873400	
34270695967564400	34270695967564400	34270695967564400	
52414005597451500	52414005597451500	52414005597451500	
78358938368189900	78358938368189900	78358938368189900	
