xeh	string[32]	byte	byte	byte	byte	dword	dword	dword	float	ubyte	ubyte	ubyte	byte	float	dword	dword	xeh	dword	dword	dword	dword	spcode	spcode	spcode	spcode	spcode	spcode	spcode	spcode	spcode	spcode	spcode	spcode	spcode	spcode	spcode	dword	dword	END
Code	Name	RaceCode	MobGrade	Level	none	MaxHP	AttSpd	bAttRangeType	AttExt	MovSpd	WarMovSpd	Width	none	Size	hz	bMonsterCond	EffectCode	AttEffType	DefEffType	OffensiveRate	fire,water,soil,wind	SPCode_1	SPCode_2	SPCode_3	SPCode_4	SPCode_5	SPCode_6	SPCode_7	SPCode_8	SPCode_9	SPCode_10	SPCode_11	SPCode_12	SPCode_13	SPCode_14	SPCode_15	MobRace	KillPoint	
00000	Флем Детеныш 	-1	0	1	0	22	2034	0	25	2	4	40	0	1	0	0	000	21	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	1	
00001	Флем Детеныш 	-1	0	1	0	22	2034	0	25	2	4	40	0	1	0	0	000	21	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	1	
00002	Флем Детеныш 	-1	0	1	0	22	2034	0	25	2	4	40	0	1	0	0	000	21	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	1	
00100	Вертобот	-1	0	2	0	31	2034	0	37,5	4	6	60	0	1,5	0	0	080	13	2	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	2	
00101	Вертобот	-1	0	2	0	31	2034	0	37,5	4	6	60	0	1,5	0	0	080	13	2	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	2	
00102	Вертобот	-1	0	2	0	31	2034	0	37,5	4	6	60	0	1,5	0	0	080	13	2	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	2	
00300	Клаан Детеныш 	-1	0	3	0	51	2034	0	37,5	3	5	60	0	1,5	0	0	082	21	256	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	3	
00301	Клаан Детеныш 	-1	0	3	0	51	2034	0	37,5	3	5	60	0	1,5	0	0	082	21	256	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	3	
00201	Флем	-1	0	3	0	51	2034	0	25	2	4	40	0	1	0	0	009	21	1	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	3	
00202	Флем	-1	0	3	0	51	2034	0	25	2	4	40	0	1	0	0	009	21	1	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	3	
00200	Флем	-1	0	4	0	77	2034	0	25	2	4	40	0	1	0	0	009	21	1	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	4	
00500	Вонючий Жук	-1	0	4	0	77	2034	0	25	2	4	40	0	1	0	0	003	21	2048	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	
00501	Вонючий Жук	-1	0	4	0	77	2034	0	25	2	4	40	0	1	0	0	003	21	2048	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	
00302	Клаан Детеныш	-1	0	4	0	77	2034	0	37,5	3	5	60	0	1,5	0	0	082	21	256	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	4	
00600	Армированный Вертобот	-1	0	5	0	105	2034	0	50	4	6	80	0	2	0	0	083	9	2	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	5	
00400	Флем Страж	-1	0	5	0	105	2034	0	25	2	4	40	0	1	0	0	081	21	768	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	5	
