byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	END
Lv	MelePT	RangePT	SpecialPT	Force	ShieldPT	DefPT	CraftPt1	CraftPt2	CraftPt3	Dark1	Dark2	Dark3	Dark4	Holy1	Holy2	Holy3	Holy4	Fire1	Fire2	Fire3	Fire4	Water1	Water2	Water3	Water4	Soil1	Soil2	Soil3	Soil4	Wind1	Wind2	Wind3	Wind4	MeleYch	MeleExp	MeleElitr	MeleMagistr	RangeYch	RangeExp	RangeElite	RangeMagistr	hz	hz	hz	hz	
1	2	3	2	99	2	2	1	1	1	2	1	1	1	2	1	1	1	2	1	1	1	2	1	1	1	2	1	1	1	2	1	1	1	2	1	1	1	5	1	1	1	0	0	0	0	
2	3	4	3	99	3	3	1	1	1	3	1	1	1	3	1	1	1	3	1	1	1	3	1	1	1	3	1	1	1	3	1	1	1	3	1	1	1	5	1	1	1	0	0	0	0	
3	4	5	4	99	3	4	1	1	1	3	1	1	1	3	1	1	1	3	1	1	1	3	1	1	1	3	1	1	1	3	1	1	1	3	1	1	1	5	1	1	1	0	0	0	0	
4	4	6	5	99	4	5	1	1	1	4	1	1	1	4	1	1	1	4	1	1	1	4	1	1	1	4	1	1	1	4	1	1	1	4	1	1	1	6	1	1	1	0	0	0	0	
5	5	7	6	99	4	6	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	7	1	1	1	0	0	0	0	
6	6	8	7	99	5	7	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	8	1	1	1	0	0	0	0	
7	7	9	8	99	6	8	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	8	1	1	1	0	0	0	0	
8	7	10	9	99	6	9	1	1	1	6	1	1	1	6	1	1	1	6	1	1	1	6	1	1	1	6	1	1	1	6	1	1	1	6	1	1	1	9	1	1	1	0	0	0	0	
9	8	12	9	99	7	9	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	10	1	1	1	0	0	0	0	
10	9	13	10	99	7	10	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	11	1	1	1	0	0	0	0	
11	10	14	11	99	8	11	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	11	1	1	1	0	0	0	0	
12	10	15	12	99	9	12	1	1	1	8	1	1	1	8	1	1	1	8	1	1	1	8	1	1	1	8	1	1	1	8	1	1	1	8	1	1	1	12	1	1	1	0	0	0	0	
13	11	16	13	99	9	13	1	1	1	9	1	1	1	9	1	1	1	9	1	1	1	9	1	1	1	9	1	1	1	9	1	1	1	9	1	1	1	13	1	1	1	0	0	0	0	
14	12	17	14	99	10	14	1	1	1	9	1	1	1	9	1	1	1	9	1	1	1	9	1	1	1	9	1	1	1	9	1	1	1	9	1	1	1	14	1	1	1	0	0	0	0	
15	13	18	15	99	10	15	1	1	1	10	1	1	1	10	1	1	1	10	1	1	1	10	1	1	1	10	1	1	1	10	1	1	1	10	1	1	1	15	1	1	1	0	0	0	0	
16	14	19	16	99	11	16	1	1	1	11	1	1	1	11	1	1	1	11	1	1	1	11	1	1	1	11	1	1	1	11	1	1	1	11	1	1	1	16	1	1	1	0	0	0	0	
17	14	20	17	99	12	17	1	1	1	11	1	1	1	11	1	1	1	11	1	1	1	11	1	1	1	11	1	1	1	11	1	1	1	11	1	1	1	17	1	1	1	0	0	0	0	
18	15	21	18	99	12	18	1	1	1	12	1	1	1	12	1	1	1	12	1	1	1	12	1	1	1	12	1	1	1	12	1	1	1	12	1	1	1	18	1	1	1	0	0	0	0	
19	16	22	19	99	13	19	1	1	1	13	1	1	1	13	1	1	1	13	1	1	1	13	1	1	1	13	1	1	1	13	1	1	1	13	1	1	1	19	1	1	1	0	0	0	0	
20	17	23	20	99	13	20	1	1	1	13	1	1	1	13	1	1	1	13	1	1	1	13	1	1	1	13	1	1	1	13	1	1	1	13	1	1	1	20	1	1	1	0	0	0	0	
21	17	24	21	99	14	21	1	1	1	14	1	1	1	14	1	1	1	14	1	1	1	14	1	1	1	14	1	1	1	14	1	1	1	14	1	1	1	21	1	1	1	0	0	0	0	
22	18	25	22	99	15	22	1	1	1	15	1	1	1	15	1	1	1	15	1	1	1	15	1	1	1	15	1	1	1	15	1	1	1	15	1	1	1	22	1	1	1	0	0	0	0	
23	19	26	23	99	15	23	1	1	1	16	1	1	1	16	1	1	1	16	1	1	1	16	1	1	1	16	1	1	1	16	1	1	1	16	1	1	1	24	1	1	1	0	0	0	0	
