byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	END
Lv	MelePT	RangePT	SpecialPT	Force	ShieldPT	DefPT	CraftPt1	CraftPt2	CraftPt3	Dark1	Dark2	Dark3	Dark4	Holy1	Holy2	Holy3	Holy4	Fire1	Fire2	Fire3	Fire4	Water1	Water2	Water3	Water4	Soil1	Soil2	Soil3	Soil4	Wind1	Wind2	Wind3	Wind4	MeleYch	MeleExp	MeleElitr	MeleMagistr	RangeYch	RangeExp	RangeElite	RangeMagistr	hz	hz	hz	hz	
1	3	3	3	99	2	2	99	99	99	3	1	1	1	3	1	1	1	3	1	1	1	3	1	1	1	3	1	1	1	3	1	1	1	2	1	1	1	2	1	1	1	0	0	0	0	
2	4	4	4	99	3	3	99	99	99	4	1	1	1	4	1	1	1	4	1	1	1	4	1	1	1	4	1	1	1	4	1	1	1	4	1	1	1	4	1	1	1	0	0	0	0	
3	5	5	5	99	4	4	99	99	99	5	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	6	1	1	1	6	1	1	1	0	0	0	0	
4	6	6	6	99	5	5	99	99	99	6	1	1	1	6	1	1	1	6	1	1	1	6	1	1	1	6	1	1	1	6	1	1	1	8	1	1	1	8	1	1	1	0	0	0	0	
5	7	7	7	99	6	6	99	99	99	7	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	7	1	1	1	10	1	1	1	10	1	1	1	0	0	0	0	
6	8	8	8	99	7	7	99	99	99	8	1	1	1	8	1	1	1	8	1	1	1	8	1	1	1	8	1	1	1	8	1	1	1	12	1	1	1	12	1	1	1	0	0	0	0	
7	9	9	9	99	8	8	99	99	99	9	1	1	1	9	1	1	1	9	1	1	1	9	1	1	1	9	1	1	1	9	1	1	1	15	1	1	1	15	1	1	1	0	0	0	0	
8	10	10	10	99	9	9	99	99	99	10	1	1	1	10	1	1	1	10	1	1	1	10	1	1	1	10	1	1	1	10	1	1	1	17	1	1	1	17	1	1	1	0	0	0	0	
9	12	12	12	99	9	9	99	99	99	12	1	1	1	12	1	1	1	12	1	1	1	12	1	1	1	12	1	1	1	12	1	1	1	19	1	1	1	19	1	1	1	0	0	0	0	
10	13	13	13	99	10	10	99	99	99	13	1	1	1	13	1	1	1	13	1	1	1	13	1	1	1	13	1	1	1	13	1	1	1	21	1	1	1	21	1	1	1	0	0	0	0	
11	14	14	14	99	11	11	99	99	99	14	1	1	1	14	1	1	1	14	1	1	1	14	1	1	1	14	1	1	1	14	1	1	1	23	1	1	1	23	1	1	1	0	0	0	0	
12	15	15	15	99	12	12	99	99	99	15	1	1	1	15	1	1	1	15	1	1	1	15	1	1	1	15	1	1	1	15	1	1	1	25	1	1	1	25	1	1	1	0	0	0	0	
13	16	16	16	99	13	13	99	99	99	16	1	1	1	16	1	1	1	16	1	1	1	16	1	1	1	16	1	1	1	16	1	1	1	27	1	1	1	27	1	1	1	0	0	0	0	
14	17	17	17	99	14	14	99	99	99	17	1	1	1	17	1	1	1	17	1	1	1	17	1	1	1	17	1	1	1	17	1	1	1	29	1	1	1	29	1	1	1	0	0	0	0	
15	18	18	18	99	15	15	99	99	99	18	1	1	1	18	1	1	1	18	1	1	1	18	1	1	1	18	1	1	1	18	1	1	1	31	1	1	1	31	1	1	1	0	0	0	0	
16	19	19	19	99	16	16	99	99	99	19	1	1	1	19	1	1	1	19	1	1	1	19	1	1	1	19	1	1	1	19	1	1	1	33	1	1	1	33	1	1	1	0	0	0	0	
17	20	20	20	99	17	17	99	99	99	20	1	1	1	20	1	1	1	20	1	1	1	20	1	1	1	20	1	1	1	20	1	1	1	35	1	1	1	35	1	1	1	0	0	0	0	
18	21	21	21	99	18	18	99	99	99	21	1	1	1	21	1	1	1	21	1	1	1	21	1	1	1	21	1	1	1	21	1	1	1	37	1	1	1	37	1	1	1	0	0	0	0	
19	22	22	22	99	19	19	99	99	99	22	1	1	1	22	1	1	1	22	1	1	1	22	1	1	1	22	1	1	1	22	1	1	1	39	1	1	1	39	1	1	1	0	0	0	0	
20	23	23	23	99	20	20	99	99	99	23	1	1	1	23	1	1	1	23	1	1	1	23	1	1	1	23	1	1	1	23	1	1	1	41	1	1	1	41	1	1	1	0	0	0	0	
21	24	24	24	99	21	21	99	99	99	24	1	1	1	24	1	1	1	24	1	1	1	24	1	1	1	24	1	1	1	24	1	1	1	43	1	1	1	43	1	1	1	0	0	0	0	
22	25	25	25	99	22	22	99	99	99	25	1	1	1	25	1	1	1	25	1	1	1	25	1	1	1	25	1	1	1	25	1	1	1	45	1	1	1	45	1	1	1	0	0	0	0	
23	26	26	26	99	23	23	99	99	99	26	1	1	1	26	1	1	1	26	1	1	1	26	1	1	1	26	1	1	1	26	1	1	1	47	1	1	1	47	1	1	1	0	0	0	0	
24	28	28	28	99	23	23	99	99	99	28	1	1	1	28	1	1	1	28	1	1	1	28	1	1	1	28	1	1	1	28	1	1	1	49	1	1	1	49	1	1	1	0	0	0	0	
25	29	29	29	99	24	24	99	99	99	29	1	1	1	29	1	1	1	29	1	1	1	29	1	1	1	29	1	1	1	29	1	1	1	52	1	1	1	52	1	1	1	0	0	0	0	
26	30	30	30	99	25	25	99	99	99	30	1	1	1	30	1	1	1	30	1	1	1	30	1	1	1	30	1	1	1	30	1	1	1	54	1	1	1	54	1	1	1	0	0	0	0	
27	31	31	31	99	26	26	99	99	99	31	1	1	1	31	1	1	1	31	1	1	1	31	1	1	1	31	1	1	1	31	1	1	1	56	1	1	1	56	1	1	1	0	0	0	0	
28	32	32	32	99	27	27	99	99	99	32	1	1	1	32	1	1	1	32	1	1	1	32	1	1	1	32	1	1	1	32	1	1	1	58	1	1	1	58	1	1	1	0	0	0	0	
29	33	33	33	99	28	28	99	99	99	33	1	1	1	33	1	1	1	33	1	1	1	33	1	1	1	33	1	1	1	33	1	1	1	60	1	1	1	60	1	1	1	0	0	0	0	
30	35	35	35	99	30	30	99	99	99	35	1	1	1	35	1	1	1	35	1	1	1	35	1	1	1	35	1	1	1	35	1	1	1	65	1	1	1	65	1	1	1	0	0	0	0	
31	39	39	39	99	33	33	99	99	99	39	1	1	1	39	1	1	1	39	1	1	1	39	1	1	1	39	1	1	1	39	1	1	1	68	1	1	1	68	1	1	1	0	0	0	0	
32	43	43	43	99	36	36	99	99	99	43	1	1	1	43	1	1	1	43	1	1	1	43	1	1	1	43	1	1	1	43	1	1	1	71	1	1	1	71	1	1	1	0	0	0	0	
33	47	47	47	99	39	39	99	99	99	47	1	1	1	47	1	1	1	47	1	1	1	47	1	1	1	47	1	1	1	47	1	1	1	74	1	1	1	74	1	1	1	0	0	0	0	
34	51	51	51	99	42	42	99	99	99	51	1	1	1	51	1	1	1	51	1	1	1	51	1	1	1	51	1	1	1	51	1	1	1	77	1	1	1	77	1	1	1	0	0	0	0	
35	55	55	55	99	45	45	99	99	99	55	1	1	1	55	1	1	1	55	1	1	1	55	1	1	1	55	1	1	1	55	1	1	1	80	1	1	1	80	1	1	1	0	0	0	0	
36	59	59	59	99	48	48	99	99	99	59	1	1	1	59	1	1	1	59	1	1	1	59	1	1	1	59	1	1	1	59	1	1	1	83	1	1	1	83	1	1	1	0	0	0	0	
37	63	63	63	99	51	51	99	99	99	63	1	1	1	63	1	1	1	63	1	1	1	63	1	1	1	63	1	1	1	63	1	1	1	86	1	1	1	86	1	1	1	0	0	0	0	
38	67	67	67	99	54	54	99	99	99	67	1	1	1	67	1	1	1	67	1	1	1	67	1	1	1	67	1	1	1	67	1	1	1	90	1	1	1	90	1	1	1	0	0	0	0	
39	71	71	71	99	57	57	99	99	99	71	1	1	1	71	1	1	1	71	1	1	1	71	1	1	1	71	1	1	1	71	1	1	1	94	1	1	1	94	1	1	1	0	0	0	0	
40	75	75	75	99	60	60	99	99	99	75	1	1	1	75	1	1	1	75	1	1	1	75	1	1	1	75	1	1	1	75	1	1	1	99	5	1	1	99	5	1	1	0	0	0	0	
41	80	80	80	99	64	64	99	99	99	80	1	1	1	80	1	1	1	80	1	1	1	80	1	1	1	80	1	1	1	80	1	1	1	99	12	1	1	99	12	1	1	0	0	0	0	
42	85	85	85	99	68	68	99	99	99	85	1	1	1	85	1	1	1	85	1	1	1	85	1	1	1	85	1	1	1	85	1	1	1	99	19	1	1	99	19	1	1	0	0	0	0	
