string[64]	float	dword	END
LV	unk	grade	
1	1	0	
2	1	0	
3	1	0	
4	1	0	
5	1	0	
6	1	0	
7	1	0	
8	1	0	
9	1	0	
10	1	0	
11	1	1	
12	1	1	
13	1	1	
14	1	1	
15	1	1	
16	1	1	
17	1	1	
18	1	1	
19	1	1	
20	1	1	
21	1	2	
22	1	2	
23	1	2	
24	1	2	
25	1	2	
26	1	2	
27	1	2	
28	1	2	
29	1	2	
30	0,649999976	3	
30	0,850000024	2	
30	0,949999988	1	
30	1	0	
31	0,649999976	3	
31	0,850000024	2	
31	0,949999988	1	
31	1	0	
32	0,649999976	3	
32	0,850000024	2	
32	0,949999988	1	
32	1	0	
33	0,649999976	3	
33	0,850000024	2	
33	0,949999988	1	
33	1	0	
34	0,649999976	3	
34	0,850000024	2	
34	0,949999988	1	
34	1	0	
35	0,349999994	4	
35	0,649999976	3	
35	0,850000024	2	
35	0,949999988	1	
35	1	0	
36	0,349999994	4	
36	0,649999976	3	
36	0,850000024	2	
36	0,949999988	1	
36	1	0	
37	0,349999994	4	
37	0,649999976	3	
37	0,850000024	2	
37	0,949999988	1	
37	1	0	
38	0,349999994	4	
38	0,649999976	3	
38	0,850000024	2	
38	0,949999988	1	
38	1	0	
39	0,349999994	4	
39	0,649999976	3	
39	0,850000024	2	
39	0,949999988	1	
39	1	0	
40	0,150000006	5	
40	0,349999994	4	
40	0,649999976	3	
40	0,850000024	2	
40	0,949999988	1	
40	1	0	
41	0,150000006	5	
41	0,349999994	4	
41	0,649999976	3	
41	0,850000024	2	
41	0,949999988	1	
41	1	0	
42	0,150000006	5	
42	0,349999994	4	
42	0,649999976	3	
42	0,850000024	2	
42	0,949999988	1	
42	1	0	
43	0,150000006	5	
43	0,349999994	4	
43	0,649999976	3	
43	0,850000024	2	
43	0,949999988	1	
43	1	0	
44	0,150000006	5	
44	0,349999994	4	
44	0,649999976	3	
44	0,850000024	2	
44	0,949999988	1	
44	1	0	
45	0,050000001	6	
45	0,150000006	5	
45	0,349999994	4	
45	0,649999976	3	
45	0,850000024	2	
45	0,949999988	1	
45	1	0	
46	0,050000001	6	
46	0,150000006	5	
46	0,349999994	4	
46	0,649999976	3	
46	0,850000024	2	
46	0,949999988	1	
46	1	0	
47	0,050000001	6	
47	0,150000006	5	
47	0,349999994	4	
47	0,649999976	3	
47	0,850000024	2	
47	0,949999988	1	
47	1	0	
48	0,050000001	6	
48	0,150000006	5	
48	0,349999994	4	
48	0,649999976	3	
48	0,850000024	2	
48	0,949999988	1	
48	1	0	
49	0,050000001	6	
49	0,150000006	5	
49	0,349999994	4	
49	0,649999976	3	
49	0,850000024	2	
49	0,949999988	1	
49	1	0	
50	0,01	7	
50	0,050000001	6	
50	0,150000006	5	
50	0,349999994	4	
50	0,649999976	3	
50	0,850000024	2	
50	0,949999988	1	
50	1	0	
51	0,01	7	
51	0,050000001	6	
51	0,150000006	5	
51	0,349999994	4	
51	0,649999976	3	
51	0,850000024	2	
51	0,949999988	1	
51	1	0	
52	0,01	7	
52	0,050000001	6	
52	0,150000006	5	
52	0,349999994	4	
52	0,649999976	3	
52	0,850000024	2	
52	0,949999988	1	
52	1	0	
53	0,01	7	
53	0,050000001	6	
53	0,150000006	5	
53	0,349999994	4	
53	0,649999976	3	
53	0,850000024	2	
53	0,949999988	1	
53	1	0	
54	0,01	7	
54	0,050000001	6	
54	0,150000006	5	
54	0,349999994	4	
54	0,649999976	3	
54	0,850000024	2	
54	0,949999988	1	
54	1	0	
55	0,01	7	
55	0,050000001	6	
55	0,150000006	5	
55	0,349999994	4	
55	0,649999976	3	
55	0,850000024	2	
55	0,949999988	1	
55	1	0	
56	0,01	7	
56	0,050000001	6	
56	0,150000006	5	
56	0,349999994	4	
56	0,649999976	3	
56	0,850000024	2	
56	0,949999988	1	
56	1	0	
57	0,01	7	
57	0,050000001	6	
57	0,150000006	5	
57	0,349999994	4	
57	0,649999976	3	
57	0,850000024	2	
57	0,949999988	1	
57	1	0	
58	0,01	7	
58	0,050000001	6	
58	0,150000006	5	
58	0,349999994	4	
58	0,649999976	3	
58	0,850000024	2	
58	0,949999988	1	
58	1	0	
59	0,01	7	
59	0,050000001	6	
59	0,150000006	5	
59	0,349999994	4	
59	0,649999976	3	
59	0,850000024	2	
59	0,949999988	1	
59	1	0	
60	0,01	7	
60	0,050000001	6	
60	0,150000006	5	
60	0,349999994	4	
60	0,649999976	3	
60	0,850000024	2	
60	0,949999988	1	
60	1	0	
61	0,01	7	
61	0,050000001	6	
61	0,150000006	5	
61	0,349999994	4	
61	0,649999976	3	
61	0,850000024	2	
61	0,949999988	1	
61	1	0	
62	0,01	7	
62	0,050000001	6	
62	0,150000006	5	
62	0,349999994	4	
62	0,649999976	3	
62	0,850000024	2	
62	0,949999988	1	
62	1	0	
63	0,01	7	
63	0,050000001	6	
63	0,150000006	5	
63	0,349999994	4	
63	0,649999976	3	
63	0,850000024	2	
63	0,949999988	1	
63	1	0	
64	0,01	7	
64	0,050000001	6	
64	0,150000006	5	
64	0,349999994	4	
64	0,649999976	3	
64	0,850000024	2	
64	0,949999988	1	
64	1	0	
65	0,01	7	
65	0,050000001	6	
65	0,150000006	5	
65	0,349999994	4	
65	0,649999976	3	
65	0,850000024	2	
65	0,949999988	1	
65	1	0	
