clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	END
Code	Name	Model	Icon	Civil	ListID	Money	none	StdPrice	StdPoint	Gold	Proc	Kill	StorePr	Exch	Sell	Gro	Store	Desc	IsExist	IsCash	IsTime	UpLvLim	hz	
ifdbf01	Обычное Лицо Беллатийца1	050100	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdbf02	Обычное Лицо Беллатийца2	050101	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdbf03	Обычное Лицо Беллатийца3	050102	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdbf04	Обычное Лицо Беллатийца4	050103	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdbf05	Обычное Лицо Беллатийца5	050104	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdbf06	Обычное Лицо Беллатийца6	050105	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdbf07	Обычное Лицо Беллатийца7	050106	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdbf08	Обычное Лицо Беллатийца8	050107	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdbf09	Обычное Лицо Беллатийца9	050108	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdbf10	Обычное Лицо Беллатийца10	050109	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdbf11	Обычное Лицо Беллатийца11	05010A	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdbf12	Обычное Лицо Беллатийца12	05010B	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdbf13	Обычное Лицо Беллатийца13	05010C	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdbf14	Обычное Лицо Беллатийца14	05010D	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdbf15	Обычное Лицо Беллатийца15	05010E	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdbf16	Обычное Лицо Беллатийца16	05010F	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdbm01	Обычное Лицо Беллатийки1	150100	0	01000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdbm02	Обычное Лицо Беллатийки2	150101	0	01000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdbm03	Обычное Лицо Беллатийки3	150102	0	01000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdbm04	Обычное Лицо Беллатийки4	150103	0	01000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdbm05	Обычное Лицо Беллатийки5	150104	0	01000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdbm06	Обычное Лицо Беллатийки6	150115	0	01000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdbm07	Обычное Лицо Беллатийки7	150106	0	01000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdbm08	Обычное Лицо Беллатийки8	150107	0	01000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdbm09	Обычное Лицо Беллатийки9	150108	0	01000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdbm10	Обычное Лицо Беллатийки10	150109	0	01000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdbm11	Обычное Лицо Беллатийки11	15010A	0	01000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdbm12	Обычное Лицо Беллатийки12	15010B	0	01000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdbm13	Обычное Лицо Беллатийки13	15010C	0	01000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdbm14	Обычное Лицо Беллатийки14	15010D	0	01000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdbm15	Обычное Лицо Беллатийки15	15010E	0	01000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdbm16	Обычное Лицо Беллатийки16	15010F	0	01000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdcf01	Обычное Лицо Корита1	250100	0	00100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdcf02	Обычное Лицо Корита2	250101	0	00100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdcf03	Обычное Лицо Корита3	250102	0	00100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdcf04	Обычное Лицо Корита4	250103	0	00100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdcf05	Обычное Лицо Корита5	250104	0	00100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdcf06	Обычное Лицо Корита6	250115	0	00100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdcf07	Обычное Лицо Корита7	250106	0	00100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdcf08	Обычное Лицо Корита8	250107	0	00100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdcf09	Обычное Лицо Корита9	250108	0	00100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdcf10	Обычное Лицо Корита10	250109	0	00100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdcf11	Обычное Лицо Корита11	25010A	0	00100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdcf12	Обычное Лицо Корита12	25010B	0	00100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdcf13	Обычное Лицо Корита13	25010C	0	00100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdcf14	Обычное Лицо Корита14	25010D	0	00100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdcf15	Обычное Лицо Корита15	25010E	0	00100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdcf16	Обычное Лицо Корита16	25010F	0	00100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdcm01	Обычное Лицо Коритки1	350100	0	00010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdcm02	Обычное Лицо Коритки2	350101	0	00010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdcm03	Обычное Лицо Коритки3	350102	0	00010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdcm04	Обычное Лицо Коритки4	350103	0	00010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdcm05	Обычное Лицо Коритки5	350104	0	00010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdcm06	Обычное Лицо Коритки6	350115	0	00010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
