string[64]	dword	string[64]	string[64]	dword	dword	string[64]	dword	END
Code	IsExist	Model	Name	KindClt	FixPart	Civil	DefEffType	
ifdbf01	1	050100	Обычное Лицо Беллатийца1	1	1	10000	256	
ifdbf02	1	050101	Обычное Лицо Беллатийца2	1	1	10000	256	
ifdbf03	1	050102	Обычное Лицо Беллатийца3	1	1	10000	256	
ifdbf04	1	050103	Обычное Лицо Беллатийца4	1	1	10000	256	
ifdbf05	1	050104	Обычное Лицо Беллатийца5	1	1	10000	256	
ifdbf06	1	050105	Обычное Лицо Беллатийца6	1	1	10000	256	
ifdbf07	1	050106	Обычное Лицо Беллатийца7	1	1	10000	256	
ifdbf08	1	050107	Обычное Лицо Беллатийца8	1	1	10000	256	
ifdbf09	1	050108	Обычное Лицо Беллатийца9	1	1	10000	256	
ifdbf10	1	050109	Обычное Лицо Беллатийца10	1	1	10000	256	
ifdbf11	1	05010A	Обычное Лицо Беллатийца11	1	1	10000	256	
ifdbf12	1	05010B	Обычное Лицо Беллатийца12	1	1	10000	256	
ifdbf13	1	05010C	Обычное Лицо Беллатийца13	1	1	10000	256	
ifdbf14	1	05010D	Обычное Лицо Беллатийца14	1	1	10000	256	
ifdbf15	1	05010E	Обычное Лицо Беллатийца15	1	1	10000	256	
ifdbf16	1	05010F	Обычное Лицо Беллатийца16	1	1	10000	256	
ifdbm01	1	150100	Обычное Лицо Беллатийки1	1	1	01000	256	
ifdbm02	1	150101	Обычное Лицо Беллатийки2	1	1	01000	256	
ifdbm03	1	150102	Обычное Лицо Беллатийки3	1	1	01000	256	
ifdbm04	1	150103	Обычное Лицо Беллатийки4	1	1	01000	256	
ifdbm05	1	150104	Обычное Лицо Беллатийки5	1	1	01000	256	
ifdbm06	1	150115	Обычное Лицо Беллатийки6	1	1	01000	256	
ifdbm07	1	150106	Обычное Лицо Беллатийки7	1	1	01000	256	
ifdbm08	1	150107	Обычное Лицо Беллатийки8	1	1	01000	256	
ifdbm09	1	150108	Обычное Лицо Беллатийки9	1	1	01000	256	
ifdbm10	1	150109	Обычное Лицо Беллатийки10	1	1	01000	256	
ifdbm11	1	15010A	Обычное Лицо Беллатийки11	1	1	01000	256	
ifdbm12	1	15010B	Обычное Лицо Беллатийки12	1	1	01000	256	
ifdbm13	1	15010C	Обычное Лицо Беллатийки13	1	1	01000	256	
ifdbm14	1	15010D	Обычное Лицо Беллатийки14	1	1	01000	256	
ifdbm15	1	15010E	Обычное Лицо Беллатийки15	1	1	01000	256	
