clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	long	dword	dword	dword	dword	dword	byte	byte	byte	byte	byte	byte	byte	byte	long	byte	byte	byte	byte	byte	byte	byte	byte	float	float	float	float	dword	dword	dword	word	word	word	word	float	float	dword	END
Code	Name	Model	IconID	Civil	ListID	Money	none	StdPrice	StdPoint	GoldPoint	ProcPoint	KillPoint	StoragePrice	IsExchange	IsSell	IsGround	IsStore	Descripton	IsExist	IsCash	IsTime	UpLevelLim	ItemGrade	25	Upgrade	27	DurUnit	LevelLim	ExpertID1	ExpertID2	ExpertLim1	ExpertLim2	none	none	none	GASpd	EffNum	Eff1Code	Eff2Code	Eff3Code	Eff4Code	none	none	none	Eff1Unit	Eff2Unit	Eff3Unit	Eff4Unit	DefEffType	ClassGradeLim	DefFc	FireTol	WaterTol	SoilTol	WindTol	DefGap	DefFacing	59	
iudbf01	Default Bellato Male Shirt1	050200	0	10000	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	9	0	0	0	0	0,5	0,773497999	0	
iudbf02	Default Bellato Male Shirt2	050201	0	10000	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	9	0	0	0	0	0,5	0,773497999	0	
iudbf03	Default Bellato Male Shirt3	050202	0	10000	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	9	0	0	0	0	0,5	0,773497999	0	
iudbf04	Default Bellato Male Shirt4	050203	0	10000	1	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	9	0	0	0	0	0,5	0,773497999	0	
iudbf05	Default Bellato Male Shirt5	050204	0	10000	1	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	9	0	0	0	0	0,5	0,773497999	0	
iudbf06	Default Bellato Male Shirt6	050205	0	10000	1	0	0	0	0	0	0	0	0	0	0	0	1	5	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	9	0	0	0	0	0,5	0,773497999	0	
iudbf07	Default Bellato Male Shirt7	050206	0	10000	1	0	0	0	0	0	0	0	0	0	0	0	1	6	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	9	0	0	0	0	0,5	0,773497999	0	
iudbf08	Default Bellato Male Shirt8	050207	0	10000	1	0	0	0	0	0	0	0	0	0	0	0	1	7	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	9	0	0	0	0	0,5	0,773497999	0	
iudbf09	Default Bellato Male Shirt9	050208	0	10000	1	0	0	0	0	0	0	0	0	0	0	0	1	8	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	9	0	0	0	0	0,5	0,773497999	0	
iudbf10	Default Bellato Male Shirt10	050209	0	10000	1	0	0	0	0	0	0	0	0	0	0	0	1	9	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	9	0	0	0	0	0,5	0,773497999	0	
iudbf11	Default Bellato Male Shirt11	05020A	0	10000	1	0	0	0	0	0	0	0	0	0	0	0	1	10	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	9	0	0	0	0	0,5	0,773497999	0	
iudbf12	Default Bellato Male Shirt12	05020B	0	10000	1	0	0	0	0	0	0	0	0	0	0	0	1	11	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	9	0	0	0	0	0,5	0,773497999	0	
iudbf13	Default Bellato Male Shirt13	05020C	0	10000	1	0	0	0	0	0	0	0	0	0	0	0	1	12	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	9	0	0	0	0	0,5	0,773497999	0	
iudbf14	Default Bellato Male Shirt14	05020D	0	10000	1	0	0	0	0	0	0	0	0	0	0	0	1	13	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	9	0	0	0	0	0,5	0,773497999	0	
iudbf15	Default Bellato Male Shirt15	05020E	0	10000	1	0	0	0	0	0	0	0	0	0	0	0	1	14	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	9	0	0	0	0	0,5	0,773497999	0	
iudbf16	Default Bellato Male Shirt16	05020F	0	10000	1	0	0	0	0	0	0	0	0	0	0	0	1	15	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	9	0	0	0	0	0,5	0,773497999	0	
iudbm01	Default Bellato Female Shirt1	150200	0	01000	1	0	0	0	0	0	0	0	0	0	0	0	1	16	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	9	0	0	0	0	0,5	0,773497999	0	
