string[64]	dword	string[64]	dword	string[64]	dword	dword	dword	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	dword	dword	dword	dword	float	float	float	float	float	long	dword	float	float	dword	float	dword	float	dword	float	dword	float	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	dword	END
Code	IsExist	Model	IconID	Name	KindClt	ItemGrade	FixPart	HelmetClass	Civil	LevelLim	UpLevelLim	ClassGradeLim	ExpertID1	ExpertLim1	ExpertID2	ExpertLim2	Money	StdPrice	StdPoint	GoldPoint	KillPoint	ProcPoint	StoragePrice	IsAbr	DurUnit	EquipSpeed	IsRepair	RepPrice	EffState	GASpd	Property	FireTol	WaterTol	SoilTol	WindTol	DefFc	Defence_DP	MaxDP	DefGap	DefFacing	Eff1Code	Eff1Unit	Eff2Code	Eff2Unit	Eff3Code	Eff3Unit	Eff4Code	Eff4Unit	Duration	IsSell	IsExchange	IsGround	IsStore	IsNormAcc	Upgrade	ToolTip	DefEffType	IsTime	
iudbf01	1	050200	0	Default Bellato Male Shirt1	502	0	2	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudbf01	4096	0	
iudbf02	1	050201	0	Default Bellato Male Shirt2	502	0	2	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudbf02	4096	0	
iudbf03	1	050202	0	Default Bellato Male Shirt3	502	0	2	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudbf03	4096	0	
iudbf04	1	050203	0	Default Bellato Male Shirt4	502	0	2	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudbf04	4096	0	
iudbf05	1	050204	0	Default Bellato Male Shirt5	502	0	2	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudbf05	4096	0	
iudbf06	1	050205	0	Default Bellato Male Shirt6	502	0	2	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudbf06	4096	0	
iudbf07	1	050206	0	Default Bellato Male Shirt7	502	0	2	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudbf07	4096	0	
iudbf08	1	050207	0	Default Bellato Male Shirt8	502	0	2	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudbf08	4096	0	
iudbf09	1	050208	0	Default Bellato Male Shirt9	502	0	2	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudbf09	4096	0	
iudbf10	1	050209	0	Default Bellato Male Shirt10	502	0	2	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudbf10	4096	0	
iudbf11	1	05020A	0	Default Bellato Male Shirt11	502	0	2	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudbf11	4096	0	
iudbf12	1	05020B	0	Default Bellato Male Shirt12	502	0	2	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudbf12	4096	0	
iudbf13	1	05020C	0	Default Bellato Male Shirt13	502	0	2	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudbf13	4096	0	
iudbf14	1	05020D	0	Default Bellato Male Shirt14	502	0	2	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudbf14	4096	0	
iudbf15	1	05020E	0	Default Bellato Male Shirt15	502	0	2	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudbf15	4096	0	
iudbf16	1	05020F	0	Default Bellato Male Shirt16	502	0	2	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudbf16	4096	0	
iudbm01	1	150200	0	Default Bellato Female Shirt1	502	0	2	0	01000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudbm01	4096	0	
iudbm02	1	150201	0	Default Bellato Female Shirt2	502	0	2	0	01000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudbm02	4096	0	
iudbm03	1	150202	0	Default Bellato Female Shirt3	502	0	2	0	01000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudbm03	4096	0	
iudbm04	1	150203	0	Default Bellato Female Shirt4	502	0	2	0	01000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudbm04	4096	0	
iudbm05	1	150204	0	Default Bellato Female Shirt5	502	0	2	0	01000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudbm05	4096	0	
iudbm06	1	150205	0	Default Bellato Female Shirt6	502	0	2	0	01000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudbm06	4096	0	
iudbm07	1	150206	0	Default Bellato Female Shirt7	502	0	2	0	01000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudbm07	4096	0	
iudbm08	1	150207	0	Default Bellato Female Shirt8	502	0	2	0	01000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudbm08	4096	0	
iudbm09	1	150208	0	Default Bellato Female Shirt9	502	0	2	0	01000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudbm09	4096	0	
iudbm10	1	150209	0	Default Bellato Female Shirt10	502	0	2	0	01000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudbm10	4096	0	
iudbm11	1	15020A	0	Default Bellato Female Shirt11	502	0	2	0	01000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudbm11	4096	0	
iudbm12	1	15020B	0	Default Bellato Female Shirt12	502	0	2	0	01000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudbm12	4096	0	
iudbm13	1	15020C	0	Default Bellato Female Shirt13	502	0	2	0	01000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudbm13	4096	0	
iudbm14	1	15020D	0	Default Bellato Female Shirt14	502	0	2	0	01000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudbm14	4096	0	
iudbm15	1	15020E	0	Default Bellato Female Shirt15	502	0	2	0	01000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudbm15	4096	0	
iudbm16	1	15020F	0	Default Bellato Female Shirt16	502	0	2	0	01000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudbm16	4096	0	
iudcf01	1	250200	0	Default Cora male Shirt1	502	0	2	0	00100	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudcf01	4096	0	
iudcf02	1	250201	0	Default Cora male Shirt2	502	0	2	0	00100	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudcf02	4096	0	
iudcf03	1	250202	0	Default Cora male Shirt3	502	0	2	0	00100	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudcf03	4096	0	
iudcf04	1	250203	0	Default Cora male Shirt4	502	0	2	0	00100	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudcf04	4096	0	
iudcf05	1	250204	0	Default Cora male Shirt5	502	0	2	0	00100	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	9	0	27	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tiudcf05	4096	0	
