clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	long	dword	dword	dword	dword	dword	byte	byte	byte	byte	byte	byte	byte	byte	long	byte	byte	byte	byte	byte	byte	byte	byte	float	float	float	float	dword	dword	dword	word	word	word	word	float	float	dword	END
Code	Name	Model	IconID	Civil	ListID	Money	none	StdPrice	StdPoint	GoldPoint	ProcPoint	KillPoint	StoragePrice	IsExchange	IsSell	IsGround	IsStore	Descripton	IsExist	IsCash	IsTime	UpLevelLim	ItemGrade	25	Upgrade	27	DurUnit	LevelLim	ExpertID1	ExpertID2	ExpertLim1	ExpertLim2	none	none	none	GASpd	EffNum	Eff1Code	Eff2Code	Eff3Code	Eff4Code	none	none	none	Eff1Unit	Eff2Unit	Eff3Unit	Eff4Unit	DefEffType	ClassGradeLim	DefFc	FireTol	WaterTol	SoilTol	WindTol	DefGap	DefFacing	59	
ildbf01	Стандартный Низ Беллатийца1	050300	0	10000	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	8	0	0	0	0	0,5	0,773497999	0	
ildbf02	Стандартный Низ Беллатийца2	050301	0	10000	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	8	0	0	0	0	0,5	0,773497999	0	
ildbf03	Стандартный Низ Беллатийца3	050302	0	10000	2	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	8	0	0	0	0	0,5	0,773497999	0	
ildbf04	Стандартный Низ Беллатийца4	050303	0	10000	2	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	8	0	0	0	0	0,5	0,773497999	0	
ildbf05	Стандартный Низ Беллатийца5	050304	0	10000	2	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	8	0	0	0	0	0,5	0,773497999	0	
ildbf06	Стандартный Низ Беллатийца6	050305	0	10000	2	0	0	0	0	0	0	0	0	0	0	0	1	5	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	8	0	0	0	0	0,5	0,773497999	0	
ildbf07	Стандартный Низ Беллатийца7	050306	0	10000	2	0	0	0	0	0	0	0	0	0	0	0	1	6	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	8	0	0	0	0	0,5	0,773497999	0	
ildbf08	Стандартный Низ Беллатийца8	050307	0	10000	2	0	0	0	0	0	0	0	0	0	0	0	1	7	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	8	0	0	0	0	0,5	0,773497999	0	
ildbf09	Стандартный Низ Беллатийца9	050308	0	10000	2	0	0	0	0	0	0	0	0	0	0	0	1	8	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	8	0	0	0	0	0,5	0,773497999	0	
ildbf10	Стандартный Низ Беллатийца10	050309	0	10000	2	0	0	0	0	0	0	0	0	0	0	0	1	9	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	8	0	0	0	0	0,5	0,773497999	0	
ildbf11	Стандартный Низ Беллатийца11	05030A	0	10000	2	0	0	0	0	0	0	0	0	0	0	0	1	10	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	8	0	0	0	0	0,5	0,773497999	0	
ildbf12	Стандартный Низ Беллатийца12	05030B	0	10000	2	0	0	0	0	0	0	0	0	0	0	0	1	11	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	8	0	0	0	0	0,5	0,773497999	0	
ildbf13	Стандартный Низ Беллатийца13	05030C	0	10000	2	0	0	0	0	0	0	0	0	0	0	0	1	12	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	8	0	0	0	0	0,5	0,773497999	0	
ildbf14	Стандартный Низ Беллатийца14	05030D	0	10000	2	0	0	0	0	0	0	0	0	0	0	0	1	13	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	8	0	0	0	0	0,5	0,773497999	0	
ildbf15	Стандартный Низ Беллатийца15	05030E	0	10000	2	0	0	0	0	0	0	0	0	0	0	0	1	14	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	8	0	0	0	0	0,5	0,773497999	0	
ildbf16	Стандартный Низ Беллатийца16	05030F	0	10000	2	0	0	0	0	0	0	0	0	0	0	0	1	15	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	8	0	0	0	0	0,5	0,773497999	0	
ildbm01	Стандартный Низ Беллатийки1	150300	0	01000	2	0	0	0	0	0	0	0	0	0	0	0	1	16	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	8	0	0	0	0	0,5	0,773497999	0	
ildbm02	Стандартный Низ Беллатийки2	150301	0	01000	2	0	0	0	0	0	0	0	0	0	0	0	1	17	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	8	0	0	0	0	0,5	0,773497999	0	
ildbm03	Стандартный Низ Беллатийки3	150302	0	01000	2	0	0	0	0	0	0	0	0	0	0	0	1	18	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	8	0	0	0	0	0,5	0,773497999	0	
ildbm04	Стандартный Низ Беллатийки4	150303	0	01000	2	0	0	0	0	0	0	0	0	0	0	0	1	19	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	8	0	0	0	0	0,5	0,773497999	0	
ildbm05	Стандартный Низ Беллатийки5	150304	0	01000	2	0	0	0	0	0	0	0	0	0	0	0	1	20	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	8	0	0	0	0	0,5	0,773497999	0	
ildbm06	Стандартный Низ Беллатийки6	150305	0	01000	2	0	0	0	0	0	0	0	0	0	0	0	1	21	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	8	0	0	0	0	0,5	0,773497999	0	
ildbm07	Стандартный Низ Беллатийки7	150306	0	01000	2	0	0	0	0	0	0	0	0	0	0	0	1	22	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	8	0	0	0	0	0,5	0,773497999	0	
ildbm08	Стандартный Низ Беллатийки8	150307	0	01000	2	0	0	0	0	0	0	0	0	0	0	0	1	23	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	8	0	0	0	0	0,5	0,773497999	0	
