string[64]	dword	string[64]	dword	string[64]	dword	dword	dword	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	dword	dword	dword	dword	float	float	float	float	float	long	dword	float	float	dword	float	dword	float	dword	float	dword	float	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	dword	END
Code	IsExist	Model	IconID	Name	KindClt	ItemGrade	FixPart	HelmetClass	Civil	LevelLim	UpLevelLim	ClassGradeLim	ExpertID1	ExpertLim1	ExpertID2	ExpertLim2	Money	StdPrice	StdPoint	GoldPoint	KillPoint	ProcPoint	StoragePrice	IsAbr	DurUnit	EquipSpeed	IsRepair	RepPrice	EffState	GASpd	Property	FireTol	WaterTol	SoilTol	WindTol	DefFc	Defence_DP	MaxDP	DefGap	DefFacing	Eff1Code	Eff1Unit	Eff2Code	Eff2Unit	Eff3Code	Eff3Unit	Eff4Code	Eff4Unit	Duration	IsSell	IsExchange	IsGround	IsStore	IsNormAcc	Upgrade	ToolTip	DefEffType	IsTime	
ildbf01	1	050300	0	Стандартный Низ Беллатийца1	503	0	3	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	8	0	26	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tildbf01	4096	0	
ildbf02	1	050301	0	Стандартный Низ Беллатийца2	503	0	3	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	8	0	26	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tildbf02	4096	0	
ildbf03	1	050302	0	Стандартный Низ Беллатийца3	503	0	3	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	8	0	26	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tildbf03	4096	0	
ildbf04	1	050303	0	Стандартный Низ Беллатийца4	503	0	3	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	8	0	26	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tildbf04	4096	0	
ildbf05	1	050304	0	Стандартный Низ Беллатийца5	503	0	3	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	8	0	26	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tildbf05	4096	0	
ildbf06	1	050305	0	Стандартный Низ Беллатийца6	503	0	3	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	8	0	26	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tildbf06	4096	0	
ildbf07	1	050306	0	Стандартный Низ Беллатийца7	503	0	3	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	8	0	26	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tildbf07	4096	0	
ildbf08	1	050307	0	Стандартный Низ Беллатийца8	503	0	3	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	8	0	26	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tildbf08	4096	0	
ildbf09	1	050308	0	Стандартный Низ Беллатийца9	503	0	3	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	8	0	26	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tildbf09	4096	0	
ildbf10	1	050309	0	Стандартный Низ Беллатийца10	503	0	3	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	8	0	26	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tildbf10	4096	0	
