clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	long	dword	dword	dword	dword	dword	byte	byte	byte	byte	byte	byte	byte	byte	long	byte	byte	byte	byte	byte	byte	byte	byte	float	float	float	float	dword	dword	dword	word	word	word	word	float	float	dword	END
Code	Name	Model	IconID	Civil	ListID	Money	none	StdPrice	StdPoint	GoldPoint	ProcPoint	KillPoint	StoragePrice	IsExchange	IsSell	IsGround	IsStore	Descripton	IsExist	IsCash	IsTime	UpLevelLim	ItemGrade	25	Upgrade	27	DurUnit	LevelLim	ExpertID1	ExpertID2	ExpertLim1	ExpertLim2	none	none	none	GASpd	EffNum	Eff1Code	Eff2Code	Eff3Code	Eff4Code	none	none	none	Eff1Unit	Eff2Unit	Eff3Unit	Eff4Unit	DefEffType	ClassGradeLim	DefFc	FireTol	WaterTol	SoilTol	WindTol	DefGap	DefFacing	59	
igdbf01	Default Male Glove1	050400	0	10000	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	7	0	0	0	0	0,5	0,773497999	0	
igdbf02	Default Male Glove2	050401	0	10000	3	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	7	0	0	0	0	0,5	0,773497999	0	
igdbf03	Default Male Glove3	050402	0	10000	3	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	7	0	0	0	0	0,5	0,773497999	0	
igdbf04	Default Male Glove4	050403	0	10000	3	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	7	0	0	0	0	0,5	0,773497999	0	
igdbf05	Default Male Glove5	050404	0	10000	3	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	7	0	0	0	0	0,5	0,773497999	0	
igdbf06	Default Male Glove6	050405	0	10000	3	0	0	0	0	0	0	0	0	0	0	0	1	5	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	7	0	0	0	0	0,5	0,773497999	0	
igdbf07	Default Male Glove7	050406	0	10000	3	0	0	0	0	0	0	0	0	0	0	0	1	6	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	7	0	0	0	0	0,5	0,773497999	0	
igdbf08	Default Male Glove8	050407	0	10000	3	0	0	0	0	0	0	0	0	0	0	0	1	7	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	7	0	0	0	0	0,5	0,773497999	0	
igdbf09	Default Male Glove9	050408	0	10000	3	0	0	0	0	0	0	0	0	0	0	0	1	8	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	7	0	0	0	0	0,5	0,773497999	0	
