string[64]	dword	string[64]	dword	string[64]	dword	dword	dword	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	dword	dword	dword	dword	float	float	float	float	float	long	dword	float	float	dword	float	dword	float	dword	float	dword	float	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	dword	END
Code	IsExist	Model	IconID	Name	KindClt	ItemGrade	FixPart	HelmetClass	Civil	LevelLim	UpLevelLim	ClassGradeLim	ExpertID1	ExpertLim1	ExpertID2	ExpertLim2	Money	StdPrice	StdPoint	GoldPoint	KillPoint	ProcPoint	StoragePrice	IsAbr	DurUnit	EquipSpeed	IsRepair	RepPrice	EffState	GASpd	Property	FireTol	WaterTol	SoilTol	WindTol	DefFc	Defence_DP	MaxDP	DefGap	DefFacing	Eff1Code	Eff1Unit	Eff2Code	Eff2Unit	Eff3Code	Eff3Unit	Eff4Code	Eff4Unit	Duration	IsSell	IsExchange	IsGround	IsStore	IsNormAcc	Upgrade	ToolTip	DefEffType	IsTime	
igdbf01	1	050400	0	Default Male Glove1	504	0	4	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	7	0	21	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tigdbf01	4096	0	
igdbf02	1	050401	0	Default Male Glove2	504	0	4	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	7	0	21	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tigdbf02	4096	0	
igdbf03	1	050402	0	Default Male Glove3	504	0	4	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	7	0	21	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tigdbf03	4096	0	
igdbf04	1	050403	0	Default Male Glove4	504	0	4	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	7	0	21	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tigdbf04	4096	0	
igdbf05	1	050404	0	Default Male Glove5	504	0	4	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	7	0	21	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tigdbf05	4096	0	
igdbf06	1	050405	0	Default Male Glove6	504	0	4	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	7	0	21	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tigdbf06	4096	0	
igdbf07	1	050406	0	Default Male Glove7	504	0	4	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	7	0	21	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tigdbf07	4096	0	
igdbf08	1	050407	0	Default Male Glove8	504	0	4	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	7	0	21	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tigdbf08	4096	0	
igdbf09	1	050408	0	Default Male Glove9	504	0	4	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	7	0	21	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tigdbf09	4096	0	
igdbf10	1	050409	0	Default Male Glove10	504	0	4	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	7	0	21	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tigdbf10	4096	0	
igdbf11	1	05040A	0	Default Male Glove11	504	0	4	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	7	0	21	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tigdbf11	4096	0	
igdbf12	1	05040B	0	Default Male Glove12	504	0	4	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	7	0	21	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tigdbf12	4096	0	
