clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	long	dword	dword	dword	dword	dword	byte	byte	byte	byte	byte	byte	byte	byte	long	byte	byte	byte	byte	byte	byte	byte	byte	float	float	float	float	dword	dword	dword	word	word	word	word	float	float	dword	END
Code	Name	Model	IconID	Civil	ListID	Money	none	StdPrice	StdPoint	GoldPoint	ProcPoint	KillPoint	StoragePrice	IsExchange	IsSell	IsGround	IsStore	Descripton	IsExist	IsCash	IsTime	UpLevelLim	ItemGrade	25	Upgrade	27	DurUnit	LevelLim	ExpertID1	ExpertID2	ExpertLim1	ExpertLim2	none	none	none	GASpd	EffNum	Eff1Code	Eff2Code	Eff3Code	Eff4Code	none	none	none	Eff1Unit	Eff2Unit	Eff3Unit	Eff4Unit	DefEffType	ClassGradeLim	DefFc	FireTol	WaterTol	SoilTol	WindTol	DefGap	DefFacing	59	
isdbf01	Стандартная Обувь Беллатийца1	050500	0	10000	4	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	5	0	0	0	0	0,5	0,773497999	0	
isdbf02	Стандартная Обувь Беллатийца2	050501	0	10000	4	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	5	0	0	0	0	0,5	0,773497999	0	
isdbf03	Стандартная Обувь Беллатийца3	050502	0	10000	4	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	5	0	0	0	0	0,5	0,773497999	0	
isdbf04	Стандартная Обувь Беллатийца4	050503	0	10000	4	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	5	0	0	0	0	0,5	0,773497999	0	
isdbf05	Стандартная Обувь Беллатийца5	050504	0	10000	4	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	5	0	0	0	0	0,5	0,773497999	0	
isdbf06	Стандартная Обувь Беллатийца6	050505	0	10000	4	0	0	0	0	0	0	0	0	0	0	0	1	5	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	5	0	0	0	0	0,5	0,773497999	0	
isdbf07	Стандартная Обувь Беллатийца7	050506	0	10000	4	0	0	0	0	0	0	0	0	0	0	0	1	6	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	5	0	0	0	0	0,5	0,773497999	0	
isdbf08	Стандартная Обувь Беллатийца8	050507	0	10000	4	0	0	0	0	0	0	0	0	0	0	0	1	7	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	5	0	0	0	0	0,5	0,773497999	0	
isdbf09	Стандартная Обувь Беллатийца9	050508	0	10000	4	0	0	0	0	0	0	0	0	0	0	0	1	8	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	5	0	0	0	0	0,5	0,773497999	0	
isdbf10	Стандартная Обувь Беллатийца10	050509	0	10000	4	0	0	0	0	0	0	0	0	0	0	0	1	9	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	5	0	0	0	0	0,5	0,773497999	0	
isdbf11	Стандартная Обувь Беллатийца11	05050A	0	10000	4	0	0	0	0	0	0	0	0	0	0	0	1	10	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	5	0	0	0	0	0,5	0,773497999	0	
isdbf12	Стандартная Обувь Беллатийца12	05050B	0	10000	4	0	0	0	0	0	0	0	0	0	0	0	1	11	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	5	0	0	0	0	0,5	0,773497999	0	
isdbf13	Стандартная Обувь Беллатийца13	05050C	0	10000	4	0	0	0	0	0	0	0	0	0	0	0	1	12	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	5	0	0	0	0	0,5	0,773497999	0	
isdbf14	Стандартная Обувь Беллатийца14	05050D	0	10000	4	0	0	0	0	0	0	0	0	0	0	0	1	13	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	5	0	0	0	0	0,5	0,773497999	0	
isdbf15	Стандартная Обувь Беллатийца15	05050E	0	10000	4	0	0	0	0	0	0	0	0	0	0	0	1	14	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	5	0	0	0	0	0,5	0,773497999	0	
isdbf16	Стандартная Обувь Беллатийца16	05050F	0	10000	4	0	0	0	0	0	0	0	0	0	0	0	1	15	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	5	0	0	0	0	0,5	0,773497999	0	
isdbm01	Стандартная Обувь Беллатийки1	150500	0	01000	4	0	0	0	0	0	0	0	0	0	0	0	1	16	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	5	0	0	0	0	0,5	0,773497999	0	
isdbm02	Стандартная Обувь Беллатийки2	150501	0	01000	4	0	0	0	0	0	0	0	0	0	0	0	1	17	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	5	0	0	0	0	0,5	0,773497999	0	
isdbm03	Стандартная Обувь Беллатийки3	150502	0	01000	4	0	0	0	0	0	0	0	0	0	0	0	1	18	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	5	0	0	0	0	0,5	0,773497999	0	
isdbm04	Стандартная Обувь Беллатийки4	150503	0	01000	4	0	0	0	0	0	0	0	0	0	0	0	1	19	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	5	0	0	0	0	0,5	0,773497999	0	
isdbm05	Стандартная Обувь Беллатийки5	150504	0	01000	4	0	0	0	0	0	0	0	0	0	0	0	1	20	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	5	0	0	0	0	0,5	0,773497999	0	
isdbm06	Стандартная Обувь Беллатийки6	150505	0	01000	4	0	0	0	0	0	0	0	0	0	0	0	1	21	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4096	0	5	0	0	0	0	0,5	0,773497999	0	
