dword	text	END
Count	descript	
0	Часть магической брони, увеличивающая эффективность применения Сил	
1	Часть магической брони, увеличивающая эффективность применения Сил	
2	Часть магической брони, увеличивающая эффективность применения Сил	
3	Часть магической брони, увеличивающая эффективность применения Сил	
4	Часть магической брони, увеличивающая эффективность применения Сил	
5	Часть магической брони, увеличивающая эффективность применения Сил	
6	Часть магической брони, увеличивающая эффективность применения Сил	
7	Часть магической брони, увеличивающая эффективность применения Сил	
8	Часть магической брони, увеличивающая эффективность применения Сил	
9	Часть магической брони, увеличивающая эффективность применения Сил	
10	Часть магической брони, увеличивающая эффективность применения Сил	
11	Часть магической брони, увеличивающая эффективность применения Сил	
12	Часть магической брони, увеличивающая эффективность применения Сил	
13	Часть магической брони, увеличивающая эффективность применения Сил	
14	Часть магической брони, увеличивающая эффективность применения Сил	
15	Часть магической брони, увеличивающая эффективность применения Сил	
16	Часть магической брони, увеличивающая эффективность применения Сил	
17	Часть магической брони, увеличивающая эффективность применения Сил	
18	Часть магической брони, увеличивающая эффективность применения Сил	
19	Часть магической брони, увеличивающая эффективность применения Сил	
20	Часть магической брони, увеличивающая эффективность применения Сил	
21	Часть магической брони, увеличивающая эффективность применения Сил	
22	Часть магической брони, увеличивающая эффективность применения Сил	
23	Часть магической брони, увеличивающая эффективность применения Сил	
24	Часть магической брони, увеличивающая эффективность применения Сил	
25	Часть магической брони, увеличивающая эффективность применения Сил	
26	Часть магической брони, увеличивающая эффективность применения Сил	
27	Часть магической брони, увеличивающая эффективность применения Сил	
28	Часть магической брони, увеличивающая эффективность применения Сил	
29	Часть магической брони, увеличивающая эффективность применения Сил	
30	Часть магической брони, увеличивающая эффективность применения Сил	
31	Часть магической брони, увеличивающая эффективность применения Сил	
32	Часть магической брони, увеличивающая эффективность применения Сил	
33	Часть магической брони, увеличивающая эффективность применения Сил	
34	Часть магической брони, увеличивающая эффективность применения Сил	
35	Часть магической брони, увеличивающая эффективность применения Сил	
36	Часть магической брони, увеличивающая эффективность применения Сил	
37	Часть магической брони, увеличивающая эффективность применения Сил	
38	Часть магической брони, увеличивающая эффективность применения Сил	
39	Часть магической брони, увеличивающая эффективность применения Сил	
40	Часть магической брони, увеличивающая эффективность применения Сил	
41	Часть магической брони, увеличивающая эффективность применения Сил	
42	Часть магической брони, увеличивающая эффективность применения Сил	
43	Часть магической брони, увеличивающая эффективность применения Сил	
44	Часть магической брони, увеличивающая эффективность применения Сил	
45	Часть магической брони, увеличивающая эффективность применения Сил	
46	Часть магической брони, увеличивающая эффективность применения Сил	
47	Часть магической брони, увеличивающая эффективность применения Сил	
48	Часть магической брони, увеличивающая эффективность применения Сил	
49	Часть магической брони, увеличивающая эффективность применения Сил	
50	Часть магической брони, увеличивающая эффективность применения Сил	
51	Часть магической брони, увеличивающая эффективность применения Сил	
52	Часть магической брони, увеличивающая эффективность применения Сил	
53	Часть магической брони, увеличивающая эффективность применения Сил	
54	Часть магической брони, увеличивающая эффективность применения Сил	
55	Часть магической брони, увеличивающая эффективность применения Сил	
56	Часть магической брони, увеличивающая эффективность применения Сил	
57	Часть магической брони, увеличивающая эффективность применения Сил	
58	Часть магической брони, увеличивающая эффективность применения Сил	
59	Часть магической брони, увеличивающая эффективность применения Сил	
60	Часть магической брони, увеличивающая эффективность применения Сил	
61	Часть магической брони, увеличивающая эффективность применения Сил	
62	Часть магической брони, увеличивающая эффективность применения Сил	
63	Часть магической брони, увеличивающая эффективность применения Сил	
64	Часть магической брони, увеличивающая эффективность применения Сил	
65	Часть магической брони, увеличивающая эффективность применения Сил	
66	Часть магической брони, увеличивающая эффективность применения Сил	
67	Часть магической брони, увеличивающая эффективность применения Сил	
68	Часть магической брони, увеличивающая эффективность применения Сил	
69	Часть магической брони, увеличивающая эффективность применения Сил	
70	Часть магической брони, увеличивающая эффективность применения Сил	
71	Часть магической брони, увеличивающая эффективность применения Сил	
72	Часть магической брони, увеличивающая эффективность применения Сил	
73	Часть магической брони, увеличивающая эффективность применения Сил	
74	Часть магической брони, увеличивающая эффективность применения Сил	
75	Часть магической брони, увеличивающая эффективность применения Сил	
76	Часть магической брони, увеличивающая эффективность применения Сил	
77	Часть магической брони, увеличивающая эффективность применения Сил	
78	Часть магической брони, увеличивающая эффективность применения Сил	
79	Часть магической брони, увеличивающая эффективность применения Сил	
80	Часть тяжелой брони, повышающая защитные характеристики	
81	Часть тяжелой брони, повышающая защитные характеристики	
82	Часть тяжелой брони, повышающая защитные характеристики	
83	Часть тяжелой брони, повышающая защитные характеристики	
84	Часть тяжелой брони, повышающая защитные характеристики	
85	Часть тяжелой брони, повышающая защитные характеристики	
86	Часть тяжелой брони, повышающая защитные характеристики	
87	Часть тяжелой брони, повышающая защитные характеристики	
88	Часть тяжелой брони, повышающая защитные характеристики	
89	Часть тяжелой брони, повышающая защитные характеристики	
90	Часть тяжелой брони, повышающая защитные характеристики	
91	Часть тяжелой брони, повышающая защитные характеристики	
92	Часть тяжелой брони, повышающая защитные характеристики	
93	Часть тяжелой брони, повышающая защитные характеристики	
94	Часть тяжелой брони, повышающая защитные характеристики	
95	Часть тяжелой брони, повышающая защитные характеристики	
96	Часть тяжелой брони, повышающая защитные характеристики	
97	Часть тяжелой брони, повышающая защитные характеристики	
98	Часть тяжелой брони, повышающая защитные характеристики	
99	Часть тяжелой брони, повышающая защитные характеристики	
100	Часть тяжелой брони, повышающая защитные характеристики	
101	Часть тяжелой брони, повышающая защитные характеристики	
102	Часть тяжелой брони, повышающая защитные характеристики	
103	Часть тяжелой брони, повышающая защитные характеристики	
104	Часть тяжелой брони, повышающая защитные характеристики	
105	Часть тяжелой брони, повышающая защитные характеристики	
106	Часть тяжелой брони, повышающая защитные характеристики	
107	Часть тяжелой брони, повышающая защитные характеристики	
108	Часть тяжелой брони, повышающая защитные характеристики	
109	Часть тяжелой брони, повышающая защитные характеристики	
110	Часть тяжелой брони, повышающая защитные характеристики	
111	Часть тяжелой брони, повышающая защитные характеристики	
112	Часть тяжелой брони, повышающая защитные характеристики	
113	Часть тяжелой брони, повышающая защитные характеристики	
114	Часть тяжелой брони, повышающая защитные характеристики	
115	Часть тяжелой брони, повышающая защитные характеристики	
116	Часть тяжелой брони, повышающая защитные характеристики	
117	Часть тяжелой брони, повышающая защитные характеристики	
118	Часть тяжелой брони, повышающая защитные характеристики	
119	Часть тяжелой брони, повышающая защитные характеристики	
120	Часть тяжелой брони, повышающая защитные характеристики	
121	Часть тяжелой брони, повышающая защитные характеристики	
122	Часть тяжелой брони, повышающая защитные характеристики	
123	Часть тяжелой брони, повышающая защитные характеристики	
124	Часть тяжелой брони, повышающая защитные характеристики	
125	Часть тяжелой брони, повышающая защитные характеристики	
126	Часть тяжелой брони, повышающая защитные характеристики	
127	Часть тяжелой брони, повышающая защитные характеристики	
128	Часть тяжелой брони, повышающая защитные характеристики	
129	Часть тяжелой брони, повышающая защитные характеристики	
130	Часть тяжелой брони, повышающая защитные характеристики	
131	Часть тяжелой брони, повышающая защитные характеристики	
132	Часть тяжелой брони, повышающая защитные характеристики	
133	Часть тяжелой брони, повышающая защитные характеристики	
134	Часть тяжелой брони, повышающая защитные характеристики	
135	Часть тяжелой брони, повышающая защитные характеристики	
136	Часть тяжелой брони, повышающая защитные характеристики	
137	Часть тяжелой брони, повышающая защитные характеристики	
138	Часть тяжелой брони, повышающая защитные характеристики	
139	Часть тяжелой брони, повышающая защитные характеристики	
140	Часть тяжелой брони, повышающая защитные характеристики	
141	Часть тяжелой брони, повышающая защитные характеристики	
142	Часть тяжелой брони, повышающая защитные характеристики	
143	Часть тяжелой брони, повышающая защитные характеристики	
144	Часть тяжелой брони, повышающая защитные характеристики	
145	Часть тяжелой брони, повышающая защитные характеристики	
146	Берцы Основателя Гильдии. По сути - церемониальный атрибут, так как не обладают достаточной степенью защиты	
147	Берцы Патриарха. По сути - церемониальный атрибут, так как не обладают достаточной степенью защиты	
148	Часть тяжелой брони, повышающая защитные характеристики	
149	Часть тяжелой брони, повышающая защитные характеристики	
150	Часть тяжелой брони, повышающая защитные характеристики	
151	Часть тяжелой брони, повышающая защитные характеристики	
152	Часть тяжелой брони, повышающая защитные характеристики	
153	Часть тяжелой брони, повышающая защитные характеристики	
154	Берцы Основателя Гильдии, созданные по древним технологиям. Существено повышают защитные характеристики.	
155	Берцы Патриарха, созданные по древним технологиям. Существено повышают защитные характеристики.	
156	Часть тяжелой брони, повышающая защитные характеристики	
157	Часть тяжелой брони, повышающая защитные характеристики	
158	Часть тяжелой брони, повышающая защитные характеристики	
159	Часть тяжелой брони, повышающая защитные характеристики	
160	Часть тяжелой брони, повышающая защитные характеристики	
161	Часть тяжелой брони, повышающая защитные характеристики	
162	Прототип Берцев Беллато. Выполнен разработчиками P.A.L.M.A.S.	
163	Часть тяжелой брони, повышающая защитные характеристики	
164	Часть легкой брони, повышающая скорость атаки и передвижения	
165	Часть легкой брони, повышающая скорость атаки и передвижения	
166	Часть легкой брони, повышающая скорость атаки и передвижения	
167	Часть легкой брони, повышающая скорость атаки и передвижения	
168	Часть легкой брони, повышающая скорость атаки и передвижения	
169	Часть легкой брони, повышающая скорость атаки и передвижения	
170	Часть легкой брони, повышающая скорость атаки и передвижения	
171	Часть легкой брони, повышающая скорость атаки и передвижения	
172	Часть легкой брони, повышающая скорость атаки и передвижения	
173	Часть легкой брони, повышающая скорость атаки и передвижения	
174	Часть легкой брони, повышающая скорость атаки и передвижения	
175	Часть легкой брони, повышающая скорость атаки и передвижения	
176	Часть легкой брони, повышающая скорость атаки и передвижения	
177	Часть легкой брони, повышающая скорость атаки и передвижения	
178	Часть легкой брони, повышающая скорость атаки и передвижения	
179	Часть легкой брони, повышающая скорость атаки и передвижения	
180	Часть легкой брони, повышающая скорость атаки и передвижения	
181	Часть легкой брони, повышающая скорость атаки и передвижения	
182	Часть легкой брони, повышающая скорость атаки и передвижения	
183	Часть легкой брони, повышающая скорость атаки и передвижения	
184	Часть легкой брони, повышающая скорость атаки и передвижения	
185	Часть легкой брони, повышающая скорость атаки и передвижения	
186	Часть легкой брони, повышающая скорость атаки и передвижения	
187	Часть легкой брони, повышающая скорость атаки и передвижения	
188	Часть легкой брони, повышающая скорость атаки и передвижения	
189	Часть легкой брони, повышающая скорость атаки и передвижения	
190	Часть легкой брони, повышающая скорость атаки и передвижения	
191	Часть легкой брони, повышающая скорость атаки и передвижения	
192	Часть легкой брони, повышающая скорость атаки и передвижения	
193	Часть легкой брони, повышающая скорость атаки и передвижения	
194	Часть легкой брони, повышающая скорость атаки и передвижения	
195	Часть легкой брони, повышающая скорость атаки и передвижения	
196	Часть легкой брони, повышающая скорость атаки и передвижения	
197	Часть легкой брони, повышающая скорость атаки и передвижения	
198	Часть легкой брони, повышающая скорость атаки и передвижения	
199	Часть легкой брони, повышающая скорость атаки и передвижения	
200	Часть легкой брони, повышающая скорость атаки и передвижения	
201	Часть легкой брони, повышающая скорость атаки и передвижения	
202	Часть легкой брони, повышающая скорость атаки и передвижения	
203	Часть легкой брони, повышающая скорость атаки и передвижения	
204	Часть легкой брони, повышающая скорость атаки и передвижения	
205	Часть легкой брони, повышающая скорость атаки и передвижения	
206	Часть легкой брони, повышающая скорость атаки и передвижения	
207	Часть легкой брони, повышающая скорость атаки и передвижения	
208	Часть легкой брони, повышающая скорость атаки и передвижения	
209	Часть легкой брони, повышающая скорость атаки и передвижения	
210	Часть легкой брони, повышающая скорость атаки и передвижения	
