string[64]	dword	string[64]	dword	string[64]	dword	dword	dword	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	dword	dword	dword	dword	float	float	float	float	float	long	dword	float	float	dword	float	dword	float	dword	float	dword	float	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	dword	END
Code	IsExist	Model	IconID	Name	KindClt	ItemGrade	FixPart	HelmetClass	Civil	LevelLim	UpLevelLim	ClassGradeLim	ExpertID1	ExpertLim1	ExpertID2	ExpertLim2	Money	StdPrice	StdPoint	GoldPoint	KillPoint	ProcPoint	StoragePrice	IsAbr	DurUnit	EquipSpeed	IsRepair	RepPrice	EffState	GASpd	Property	FireTol	WaterTol	SoilTol	WindTol	DefFc	Defence_DP	MaxDP	DefGap	DefFacing	Eff1Code	Eff1Unit	Eff2Code	Eff2Unit	Eff3Code	Eff3Unit	Eff4Code	Eff4Unit	Duration	IsSell	IsExchange	IsGround	IsStore	IsNormAcc	Upgrade	ToolTip	DefEffType	IsTime	
isdbf01	1	050500	0	Стандартная Обувь Беллатийца1	505	0	5	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	5	0	20	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tisdbf01	4096	0	
isdbf02	1	050501	0	Стандартная Обувь Беллатийца2	505	0	5	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	5	0	20	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tisdbf02	4096	0	
isdbf03	1	050502	0	Стандартная Обувь Беллатийца3	505	0	5	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	5	0	20	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tisdbf03	4096	0	
isdbf04	1	050503	0	Стандартная Обувь Беллатийца4	505	0	5	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	5	0	20	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tisdbf04	4096	0	
isdbf05	1	050504	0	Стандартная Обувь Беллатийца5	505	0	5	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	5	0	20	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tisdbf05	4096	0	
isdbf06	1	050505	0	Стандартная Обувь Беллатийца6	505	0	5	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	5	0	20	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tisdbf06	4096	0	
isdbf07	1	050506	0	Стандартная Обувь Беллатийца7	505	0	5	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	5	0	20	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tisdbf07	4096	0	
isdbf08	1	050507	0	Стандартная Обувь Беллатийца8	505	0	5	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	5	0	20	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tisdbf08	4096	0	
isdbf09	1	050508	0	Стандартная Обувь Беллатийца9	505	0	5	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	5	0	20	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tisdbf09	4096	0	
isdbf10	1	050509	0	Стандартная Обувь Беллатийца10	505	0	5	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	5	0	20	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tisdbf10	4096	0	
isdbf11	1	05050A	0	Стандартная Обувь Беллатийца11	505	0	5	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	5	0	20	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tisdbf11	4096	0	
isdbf12	1	05050B	0	Стандартная Обувь Беллатийца12	505	0	5	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	5	0	20	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tisdbf12	4096	0	
isdbf13	1	05050C	0	Стандартная Обувь Беллатийца13	505	0	5	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	5	0	20	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tisdbf13	4096	0	
isdbf14	1	05050D	0	Стандартная Обувь Беллатийца14	505	0	5	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	5	0	20	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tisdbf14	4096	0	
isdbf15	1	05050E	0	Стандартная Обувь Беллатийца15	505	0	5	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	5	0	20	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tisdbf15	4096	0	
isdbf16	1	05050F	0	Стандартная Обувь Беллатийца16	505	0	5	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	5	0	20	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tisdbf16	4096	0	
isdbm01	1	150500	0	Стандартная Обувь Беллатийки1	505	0	5	0	01000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	5	0	20	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tisdbm01	4096	0	
isdbm02	1	150501	0	Стандартная Обувь Беллатийки2	505	0	5	0	01000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	5	0	20	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tisdbm02	4096	0	
isdbm03	1	150502	0	Стандартная Обувь Беллатийки3	505	0	5	0	01000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	5	0	20	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tisdbm03	4096	0	
isdbm04	1	150503	0	Стандартная Обувь Беллатийки4	505	0	5	0	01000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	5	0	20	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tisdbm04	4096	0	
isdbm05	1	150504	0	Стандартная Обувь Беллатийки5	505	0	5	0	01000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	5	0	20	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tisdbm05	4096	0	
isdbm06	1	150505	0	Стандартная Обувь Беллатийки6	505	0	5	0	01000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	5	0	20	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tisdbm06	4096	0	
