clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	long	dword	dword	dword	dword	dword	byte	byte	byte	byte	byte	byte	byte	byte	long	byte	byte	byte	byte	byte	byte	byte	byte	float	float	float	float	dword	dword	dword	word	word	word	word	float	float	dword	END
Code	Name	Model	IconID	Civil	ListID	Money	none	StdPrice	StdPoint	GoldPoint	ProcPoint	KillPoint	StoragePrice	IsExchange	IsSell	IsGround	IsStore	Descripton	IsExist	IsCash	IsTime	UpLevelLim	ItemGrade	25	Upgrade	27	DurUnit	LevelLim	ExpertID1	ExpertID2	ExpertLim1	ExpertLim2	none	none	none	GASpd	EffNum	Eff1Code	Eff2Code	Eff3Code	Eff4Code	none	none	none	Eff1Unit	Eff2Unit	Eff3Unit	Eff4Unit	DefEffType	ClassGradeLim	DefFc	FireTol	WaterTol	SoilTol	WindTol	DefGap	DefFacing	59	
ihdbf01	Стандартный Шлем Беллатийца1	050000	0	10000	5	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	-1	0	0	0	0	8	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	8	0	0	0	0	0,5	0,773497999	0	
ihdbf02	Стандартный Шлем Беллатийца2	050001	0	10000	5	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	-1	0	0	0	0	8	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	8	0	0	0	0	0,5	0,773497999	0	
ihdbf03	Стандартный Шлем Беллатийца3	050002	0	10000	5	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	-1	0	0	0	0	8	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	8	0	0	0	0	0,5	0,773497999	0	
ihdbf04	Стандартный Шлем Беллатийца4	050003	0	10000	5	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	-1	0	0	0	0	8	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	8	0	0	0	0	0,5	0,773497999	0	
ihdbf05	Стандартный Шлем Беллатийца5	050004	0	10000	5	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	0	-1	0	0	0	0	8	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	8	0	0	0	0	0,5	0,773497999	0	
ihdbf06	Стандартный Шлем Беллатийца6	050005	0	10000	5	0	0	0	0	0	0	0	0	0	0	0	1	5	1	0	0	-1	0	0	0	0	8	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	8	0	0	0	0	0,5	0,773497999	0	
ihdbf07	Стандартный Шлем Беллатийца7	050006	0	10000	5	0	0	0	0	0	0	0	0	0	0	0	1	6	1	0	0	-1	0	0	0	0	8	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	8	0	0	0	0	0,5	0,773497999	0	
ihdbf08	Стандартный Шлем Беллатийца8	050007	0	10000	5	0	0	0	0	0	0	0	0	0	0	0	1	7	1	0	0	-1	0	0	0	0	8	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	8	0	0	0	0	0,5	0,773497999	0	
ihdbf09	Стандартный Шлем Беллатийца9	050008	0	10000	5	0	0	0	0	0	0	0	0	0	0	0	1	8	1	0	0	-1	0	0	0	0	8	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	8	0	0	0	0	0,5	0,773497999	0	
ihdbf10	Стандартный Шлем Беллатийца10	050009	0	10000	5	0	0	0	0	0	0	0	0	0	0	0	1	9	1	0	0	-1	0	0	0	0	8	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	8	0	0	0	0	0,5	0,773497999	0	
ihdbf11	Стандартный Шлем Беллатийца11	05000A	0	10000	5	0	0	0	0	0	0	0	0	0	0	0	1	10	1	0	0	-1	0	0	0	0	8	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	8	0	0	0	0	0,5	0,773497999	0	
ihdbf12	Стандартный Шлем Беллатийца12	05000B	0	10000	5	0	0	0	0	0	0	0	0	0	0	0	1	11	1	0	0	-1	0	0	0	0	8	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	8	0	0	0	0	0,5	0,773497999	0	
ihdbf13	Стандартный Шлем Беллатийца13	05000C	0	10000	5	0	0	0	0	0	0	0	0	0	0	0	1	12	1	0	0	-1	0	0	0	0	8	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	8	0	0	0	0	0,5	0,773497999	0	
ihdbf14	Стандартный Шлем Беллатийца14	05000D	0	10000	5	0	0	0	0	0	0	0	0	0	0	0	1	13	1	0	0	-1	0	0	0	0	8	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	8	0	0	0	0	0,5	0,773497999	0	
ihdbf15	Стандартный Шлем Беллатийца15	05000E	0	10000	5	0	0	0	0	0	0	0	0	0	0	0	1	14	1	0	0	-1	0	0	0	0	8	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	8	0	0	0	0	0,5	0,773497999	0	
ihdbf16	Стандартный Шлем Беллатийца16	05000F	0	10000	5	0	0	0	0	0	0	0	0	0	0	0	1	15	1	0	0	-1	0	0	0	0	8	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	8	0	0	0	0	0,5	0,773497999	0	
ihdbm01	Стандартный Шлем Беллатийки1	150000	0	01000	5	0	0	0	0	0	0	0	0	0	0	0	1	16	1	0	0	-1	0	0	0	0	8	1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	8	0	0	0	0	0,5	0,773497999	0	
