string[64]	dword	string[64]	dword	string[64]	dword	dword	dword	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	dword	dword	dword	dword	float	float	float	float	float	long	dword	float	float	dword	float	dword	float	dword	float	dword	float	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	dword	END
Code	IsExist	Model	IconID	Name	KindClt	ItemGrade	FixPart	HelmetClass	Civil	LevelLim	UpLevelLim	ClassGradeLim	ExpertID1	ExpertLim1	ExpertID2	ExpertLim2	Money	StdPrice	StdPoint	GoldPoint	KillPoint	ProcPoint	StoragePrice	IsAbr	DurUnit	EquipSpeed	IsRepair	RepPrice	EffState	GASpd	Property	FireTol	WaterTol	SoilTol	WindTol	DefFc	Defence_DP	MaxDP	DefGap	DefFacing	Eff1Code	Eff1Unit	Eff2Code	Eff2Unit	Eff3Code	Eff3Unit	Eff4Code	Eff4Unit	Duration	IsSell	IsExchange	IsGround	IsStore	IsNormAcc	Upgrade	ToolTip	DefEffType	IsTime	
ihdbf01	1	050000	0	Стандартный Шлем Беллатийца1	500	0	0	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	8	1	0	0	1	0	-1	0	0	0	0	8	0	24	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tihdbf01	256	0	
ihdbf02	1	050001	0	Стандартный Шлем Беллатийца2	500	0	0	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	8	1	0	0	1	0	-1	0	0	0	0	8	0	24	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tihdbf02	256	0	
ihdbf03	1	050002	0	Стандартный Шлем Беллатийца3	500	0	0	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	8	1	0	0	1	0	-1	0	0	0	0	8	0	24	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tihdbf03	256	0	
ihdbf04	1	050003	0	Стандартный Шлем Беллатийца4	500	0	0	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	8	1	0	0	1	0	-1	0	0	0	0	8	0	24	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tihdbf04	256	0	
ihdbf05	1	050004	0	Стандартный Шлем Беллатийца5	500	0	0	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	8	1	0	0	1	0	-1	0	0	0	0	8	0	24	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tihdbf05	256	0	
ihdbf06	1	050005	0	Стандартный Шлем Беллатийца6	500	0	0	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	8	1	0	0	1	0	-1	0	0	0	0	8	0	24	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tihdbf06	256	0	
ihdbf07	1	050006	0	Стандартный Шлем Беллатийца7	500	0	0	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	8	1	0	0	1	0	-1	0	0	0	0	8	0	24	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tihdbf07	256	0	
ihdbf08	1	050007	0	Стандартный Шлем Беллатийца8	500	0	0	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	8	1	0	0	1	0	-1	0	0	0	0	8	0	24	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tihdbf08	256	0	
ihdbf09	1	050008	0	Стандартный Шлем Беллатийца9	500	0	0	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	8	1	0	0	1	0	-1	0	0	0	0	8	0	24	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tihdbf09	256	0	
ihdbf10	1	050009	0	Стандартный Шлем Беллатийца10	500	0	0	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	8	1	0	0	1	0	-1	0	0	0	0	8	0	24	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tihdbf10	256	0	
ihdbf11	1	05000A	0	Стандартный Шлем Беллатийца11	500	0	0	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	8	1	0	0	1	0	-1	0	0	0	0	8	0	24	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tihdbf11	256	0	
ihdbf12	1	05000B	0	Стандартный Шлем Беллатийца12	500	0	0	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	8	1	0	0	1	0	-1	0	0	0	0	8	0	24	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tihdbf12	256	0	
ihdbf13	1	05000C	0	Стандартный Шлем Беллатийца13	500	0	0	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	8	1	0	0	1	0	-1	0	0	0	0	8	0	24	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tihdbf13	256	0	
ihdbf14	1	05000D	0	Стандартный Шлем Беллатийца14	500	0	0	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	8	1	0	0	1	0	-1	0	0	0	0	8	0	24	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tihdbf14	256	0	
ihdbf15	1	05000E	0	Стандартный Шлем Беллатийца15	500	0	0	0	10000	1	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	8	1	0	0	1	0	-1	0	0	0	0	8	0	24	0,5	0,773497999	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	tihdbf15	256	0	
