clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	long	dword	dword	dword	dword	dword	byte	byte	byte	byte	byte	byte	byte	byte	long	byte	byte	byte	byte	byte	byte	byte	byte	float	float	float	float	dword	dword	dword	dword	stb4	float	dword	dword	dword	dword	byte	bulltype	dword	xeh	dword	dword	END
Code	Name	Model	Icon	Civil	ListID	Money	9	StdPrice	StdPoint	GoldPoint	ProcPoint	KillPoint	StorePrice	IsExchange	IsSell	IsGround	IsStore	Description	IsExist	IsCash	IsTime	UpLevelLim	Grade	25	Upgrade	27	DurUnit	LevelLim	ExpertID1	ExpertID2	ExpertLim1	ExpertLim2	none	none	none	GASpd	EffNum	Eff1Code	Eff2Code	Eff3Code	Eff4Code	none	none	none	Eff1Unit	Eff2Unit	Eff3Unit	Eff4Unit	AttEffType	ClassGradeLim	Type	SubType	ClassLim	GADst	GAMinAF	GAMaxAF	MAMinAF	MAMaxAF	Property	BulletType	ActiveType	ActiveCodeKey	68	68	
iwkna01	Кинжал [1  	A10300	1	11111	6	0	0	75	0	0	0	0	0	1	1	1	1	0	1	0	0	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	6,5	13	15	0	0	-1	-1	0	-1	4	0	
iwknb01	Тип В  Кинжал [1  	A10300	1	11111	6	0	0	190	0	0	0	0	1	1	1	1	1	1	1	0	0	-1	1	0	0	0	0	1	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	5	17	19	0	0	-1	-1	0	-1	4	0	
iwknc01	Кинжал [1  	A10302	1	11111	6	0	0	75	0	0	0	0	0	1	1	1	1	2	0	0	0	-1	2	0	0	0	0	1	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	5	13	15	0	0	-1	-1	0	-1	4	0	
iwknd01	Меч Камсана 	A10303	189	11111	6	0	0	13230	0	0	0	0	1	1	0	0	1	3	1	0	0	-1	4	0	0	0	0	50	0	-1	99	-1	0	0	0	-162	2	29	5	0	0	0	0	0	50	0,25	0	0	2	0	0	0	1111	5	2026	2646	0	0	-1	-1	0	-1	4	0	
iwkna02	Абордажная Сабля [2  	A10304	2	11111	6	0	0	200	0	0	0	0	2	1	1	1	1	4	1	0	0	-1	0	0	0	0	0	2	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	11,5	16	20	0	0	-1	-1	0	-1	4	0	
iwknb02	Тип В  Абордажная Сабля [2  	A10304	2	11111	6	0	0	375	0	0	0	0	3	1	1	1	1	5	1	0	0	-1	1	0	0	0	0	2	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	5	21	25	0	0	-1	-1	0	-1	4	0	
iwknc02	Абордажная Сабля [2  	A10306	2	11111	6	0	0	190	0	0	0	0	1	1	1	1	1	6	0	0	0	-1	2	0	0	0	0	2	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	5	17	19	0	0	-1	-1	0	-1	4	0	
iwknz02	Клинок Риттера 	A10307	207	11111	6	0	0	190	0	0	0	0	935	1	1	1	1	7	0	0	0	-1	4	0	7	0	0	45	0	-1	68	-1	0	0	0	-162	1	12	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1111	5	2366	2972	0	0	-1	-1	1	9307	4	0	
iwkna03	Мачете [3  	A10308	3	11111	6	0	0	390	0	0	0	0	3	1	1	1	1	8	1	0	0	-1	0	0	0	0	0	3	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	9,899999619	20	26	0	0	-1	-1	0	-1	4	0	
iwknb03	Тип В  Мачете [3  	A10308	3	11111	6	0	0	850	0	0	0	0	8	1	1	1	1	9	1	0	0	-1	1	0	0	0	0	3	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	5	30	34	0	0	-1	-1	0	-1	4	0	
iwknc03	Мачете [3  	A1030A	3	11111	6	0	0	375	0	0	0	0	3	1	1	1	1	10	0	0	0	-1	2	0	0	0	0	3	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	5	21	25	0	0	-1	-1	0	-1	4	0	
iwknz03	Клейменый Клинок Риттера 	A10307	190	11111	6	0	0	375	0	0	0	0	935	1	1	1	1	11	0	0	0	-1	4	0	0	0	0	50	0	-1	68	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	5	1979	2495	0	0	-1	-1	0	-1	4	0	
iwkna04	Knife4 [4  	A1030C	3	11111	6	0	0	580	0	0	0	0	5	1	1	1	1	12	0	0	0	-1	0	0	0	0	0	4	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	5	25	29	0	0	-1	-1	0	-1	4	0	
iwknb04	??? Knife4 [4  	A1030C	3	11111	6	0	0	580	0	0	0	0	5	1	1	1	1	13	0	0	0	-1	1	0	0	0	0	4	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	5	25	29	0	0	-1	-1	0	-1	4	0	
iwknc04	Knife4 [4  	A1030E	3	11111	6	0	0	580	0	0	0	0	5	1	1	1	1	14	0	0	0	-1	2	0	0	0	0	4	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	5	25	29	0	0	-1	-1	0	-1	4	0	
iwknd04	Knife4 [4  	A1030F	3	11111	6	0	0	580	0	0	0	0	5	1	1	1	1	15	0	0	0	-1	3	0	0	0	0	1	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	5	25	29	0	0	-1	-1	0	-1	4	0	
iwkna05	Резак [5 	A10310	4	11111	6	0	0	875	0	0	0	0	8	1	1	1	1	16	1	0	0	-1	0	0	0	0	0	5	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	11,5	28	35	0	0	-1	-1	0	-1	4	0	
iwknb05	Тип В  Резак [5  	A10310	4	11111	6	0	0	1645	0	0	0	0	16	1	1	1	1	17	1	0	0	-1	1	0	0	0	0	5	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	42	47	0	0	-1	-1	0	-1	4	0	
