dword	text	END
Count	desc	
0	Представляет собой один из самых простых видов кинжалов, очень хорош при использовании со щитом	
1	Закаленный кинжал гораздо лучше подходит для рукопашных схваток, очень хорош при использовании со щитом	
2	Увеличивает скорость атаки при использовании щита	
3	Геройский меч, принадлежащий в прошлом, самому храброму воину Новуса	
4	Абордажная сабля - отличное штурмовое оружие. Смертоносна в руках умелого бойца	
5	Улучшенный вариант абордажной сабли, спасет Вашу жизнь в самых критических ситуациях боя	
6	Увеличивает скорость атаки при использовании щита	
7	Меч, принадлежавший великому имперскому воину Айзену Риттеру. Был утерян на континенте Элан во время боев с дезертирами из 734 легиона Империи	
8	Являясь чем-то средним между мечом и ножом, мачете с легкостью прорубит дорогу не только в буйной растительности континента Асу, но и также в рядах ваших врагов	
9	Закалка позволяет еще лучше справляться с препятствиями на пути мачете, будь то дерево, железо или кость	
10	Увеличивает скорость атаки при использовании щита	
11	Меч Айзена Риттера, великого имперского воина. Во время боев с дезертирами из 734 легиона Империи на континенте Асу, был утерян. На эфес нанесен отличительный знак и буквы А.Р.	
12	Увеличивает скорость атаки при использовании щита	
13	Увеличивает скорость атаки при использовании щита	
14	Увеличивает скорость атаки при использовании щита	
15	Увеличивает скорость атаки при использовании щита	
16	Являясь самым первым оружием закончившего тренировочный курс бойца, резак весьма эффективен на поле боя	
17	Являясь самым первым оружием закончившего тренировочный курс бойца, резак весьма эффективен на поле боя. Закаленный резак еще с большей эффективностью позволит Вам сражаться с врагами	
18	Увеличивает скорость атаки при использовании щита	
19	Увеличивает скорость атаки при использовании щита	
20	Увеличивает скорость атаки при использовании щита	
21	Увеличивает скорость атаки при использовании щита	
22	Увеличивает скорость атаки при использовании щита	
23	Увеличивает скорость атаки при использовании щита	
24	Обоюдоострый клинок, без крестовины на рукояти, очень удобен в ближнем бою	
25	Обоюдоострый клинок, без крестовины на рукояти, очень удобен в ближнем бою. Увеличенные повреждения - следствие закалки клинка	
26	Увеличивает скорость атаки при использовании щита	
27	Увеличивает скорость атаки при использовании щита	
28	Увеличивает скорость атаки при использовании щита	
29	Увеличивает скорость атаки при использовании щита	
30	Увеличивает скорость атаки при использовании щита	
31	Увеличивает скорость атаки при использовании щита	
32	Увеличивает скорость атаки при использовании щита	
33	Увеличивает скорость атаки при использовании щита	
34	Увеличивает скорость атаки при использовании щита	
35	Увеличивает скорость атаки при использовании щита	
36	Являясь рубяще-колющим оружием, сабля идеально подходит как для защиты, так и для нападения.	
37	Являясь рубяще-колющим оружием, сабля идеально подходит как для защиты, так и для нападения. Увеличенные повреждения - следствие закалки сабли	
38	Увеличивает скорость атаки при использовании щита	
39	Увеличивает скорость атаки при использовании щита	
40	Увеличивает скорость атаки при использовании щита	
41	Увеличивает скорость атаки при использовании щита	
42	Увеличивает скорость атаки при использовании щита	
43	Увеличивает скорость атаки при использовании щита	
44	Шамшир имеет узкий клинок плавного изгиба, что позволяет наносить мощные удары наотмашь	
45	Шамшир имеет узкий клинок плавного изгиба, что позволяет наносить мощные удары наотмашь. Увеличенные повреждения - следствие закалки шамшира	
46	Увеличивает скорость атаки при использовании щита	
47	Увеличивает скорость атаки при использовании щита	
48	Увеличивает скорость атаки при использовании щита	
49	Увеличивает скорость атаки при использовании щита	
50	Увеличивает скорость атаки при использовании щита	
51	Увеличивает скорость атаки при использовании щита	
52	Увеличивает скорость атаки при использовании щита	
53	Увеличивает скорость атаки при использовании щита	
54	Увеличивает скорость атаки при использовании щита	
55	Увеличивает скорость атаки при использовании щита	
56	Ятаган имеет изогнутый однолезвийный клинок внутренней заточки, что позволяет наносить противнику очень серьезные ранения, используя обманные приемы	
57	Изогнутый однолезвийный клинок внутренней заточки позволяет наносить противнику очень серьезные ранения, используя обманные приемы. Увеличенные повреждения - следствие закалки ятагана	
58	Увеличивает скорость атаки при использовании щита	
59	Увеличивает скорость атаки при использовании щита	
60	Увеличивает скорость атаки при использовании щита	
61	Увеличивает скорость атаки при использовании щита	
62	Увеличивает скорость атаки при использовании щита	
63	Увеличивает скорость атаки при использовании щита	
64	Увеличивает скорость атаки при использовании щита	
65	Увеличивает скорость атаки при использовании щита	
66	Увеличивает скорость атаки при использовании щита	
67	Увеличивает скорость атаки при использовании щита	
68	Защитные руны, нанесенные на боевой секач, делают его обладателя весьма удачливым в бою	
69	Защитные руны, нанесенные на боевой секач, делают его обладателя весьма удачливым в бою. Увеличенные повреждения - следствие закалки боевого секача	
70	Увеличивает скорость атаки при использовании щита	
71	Увеличивает скорость атаки при использовании щита	
72	Увеличивает скорость атаки при использовании щита	
73	Увеличивает скорость атаки при использовании щита	
74	Увеличивает скорость атаки при использовании щита	
75	Увеличивает скорость атаки при использовании щита	
76	Форма палаша приводит в трепет сердца врагов, которым доведется столкнутся с его обладателем	
77	Форма палаша приводит в трепет сердца врагов, которым доведется столкнутся с его обладателем. Увеличенные повреждения - следствие закалки палаша	
78	Увеличивает скорость атаки при использовании щита	
79	Увеличивает скорость атаки при использовании щита	
80	Увеличивает скорость атаки при использовании щита	
81	Увеличивает скорость атаки при использовании щита	
82	Увеличивает скорость атаки при использовании щита	
83	Увеличивает скорость атаки при использовании щита	
84	Катана является очень легким и сбалансированным мечом	
85	Катана является очень легким и сбалансированным мечом. Закаленная катана гораздо более эффективна во время схватки	
86	Увеличивает скорость атаки при использовании щита	
87	Увеличивает скорость атаки при использовании щита	
88	Увеличивает скорость атаки при использовании щита	
89	Увеличивает скорость атаки при использовании щита	
90	Увеличивает скорость атаки при использовании щита	
91	Увеличивает скорость атаки при использовании щита	
92	Увеличивает скорость атаки при использовании щита	
93	Увеличивает скорость атаки при использовании щита	
94	Увеличивает скорость атаки при использовании щита	
95	Увеличивает скорость атаки при использовании щита	
96	Являясь по сути саблей с мечевой рукоятью, шотель весьма грозное оружие, способное с легкостью поражать противников в ближнем бою.	
97	Шотель весьма грозное оружие, способное с легкостью поражать противников. Закаленный шотель гораздо более эффективен во время схватки	
98	Увеличивает скорость атаки при использовании щита	
99	Увеличивает скорость атаки при использовании щита	
100	Увеличивает скорость атаки при использовании щита	
101	Увеличивает скорость атаки при использовании щита	
102	Увеличивает скорость атаки при использовании щита	
103	Увеличивает скорость атаки при использовании щита	
104	Увеличивает скорость атаки при использовании щита	
105	Увеличивает скорость атаки при использовании щита	
106	Увеличивает скорость атаки при использовании щита	
107	Увеличивает скорость атаки при использовании щита	
108	Акинак представляет собой меч с прямым, обоюдоострым, симметричным клинком с треугольным острием. Им можно наносить как колющие, так и рубящие удары.	
109	Меч с прямым, обоюдоострым, симметричным клинком с треугольным острием. Им можно наносить колющие и рубящие удары. Закаленный акинак гораздо более эффективен во время схватки	
110	Увеличивает скорость атаки при использовании щита	
111	Увеличивает скорость атаки при использовании щита	
112	Увеличивает скорость атаки при использовании щита	
113	Увеличивает скорость атаки при использовании щита	
114	Увеличивает скорость атаки при использовании щита	
115	Увеличивает скорость атаки при использовании щита	
116	Световой меч - это могущественный союзник в любой битве. Энергия, вырабатываемая мечом при ударе, наносит противнику очень серьезные повреждения.	
117	Энергия светового меча, вырабатываемая при ударе, наносит противнику очень серьезные повреждения. Дополнительный источник энергии в этой модели делает ее по настоящему смертоносной	
118	Увеличивает скорость атаки при использовании щита	
119	Увеличивает скорость атаки при использовании щита	
120	Увеличивает скорость атаки при использовании щита	
121	Увеличивает скорость атаки при использовании щита	
122	Увеличивает скорость атаки при использовании щита	
123	Увеличивает скорость атаки при использовании щита	
124	Увеличивает скорость атаки при использовании щита	
125	Увеличивает скорость атаки при использовании щита	
126	Увеличивает скорость атаки при использовании щита	
127	Увеличивает скорость атаки при использовании щита	
128	Увеличивает скорость атаки при использовании щита	
129	Увеличивает скорость атаки при использовании щита	
130	Увеличивает скорость атаки при использовании щита	
131	Увеличивает скорость атаки при использовании щита	
132	Увеличивает скорость атаки при использовании щита	
133	Увеличивает скорость атаки при использовании щита	
134	Увеличивает скорость атаки при использовании щита	
135	Увеличивает скорость атаки при использовании щита	
136	Энергия рун, сокрытая в глубине меча многократно усиливает его атакующую возможность.	
137	Энергия рун, сокрытая в глубине меча многократно усиливает его атакующую возможность. Специально предназначенный для проведения ритуалов посвящения этот меч будет незаменим в битве	
138	Увеличивает скорость атаки при использовании щита	
139	Увеличивает скорость атаки при использовании щита	
140	Увеличивает скорость атаки при использовании щита	
141	Увеличивает скорость атаки при использовании щита	
142	Увеличивает скорость атаки при использовании щита	
143	Увеличивает скорость атаки при использовании щита	
144	Увеличивает скорость атаки при использовании щита	
145	Увеличивает скорость атаки при использовании щита	
146	Увеличивает скорость атаки при использовании щита	
147	Увеличивает скорость атаки при использовании щита	
148	Увеличивает скорость атаки при использовании щита	
149	Увеличивает скорость атаки при использовании щита	
150	Увеличивает скорость атаки при использовании щита	
151	Увеличивает скорость атаки при использовании щита	
152	Увеличивает скорость атаки при использовании щита	
153	Увеличивает скорость атаки при использовании щита	
154	Увеличивает скорость атаки при использовании щита	
155	Увеличивает скорость атаки при использовании щита	
156	Саиф - чуть изогнутый меч с шипом на навершии, который оставляет чудовищные по своей силе ранения	
157	Саиф - чуть изогнутый меч с шипом на навершии, который оставляет жуткие ранения. Закалка позволяет данному мечу отличнно противостоять молотам, топорам и копьям	
158	Увеличивает скорость атаки при использовании щита	
159	Увеличивает скорость атаки при использовании щита	
160	Увеличивает скорость атаки при использовании щита	
161	Увеличивает скорость атаки при использовании щита	
162	Увеличивает скорость атаки при использовании щита	
163	Увеличивает скорость атаки при использовании щита	
164	Увеличивает скорость атаки при использовании щита	
165	Увеличивает скорость атаки при использовании щита	
166	Увеличивает скорость атаки при использовании щита	
167	Увеличивает скорость атаки при использовании щита	
168	Увеличивает скорость атаки при использовании щита	
169	Увеличивает скорость атаки при использовании щита	
170	Увеличивает скорость атаки при использовании щита	
171	Увеличивает скорость атаки при использовании щита	
172	Увеличивает скорость атаки при использовании щита	
