string[64]	dword	string[64]	dword	string[64]	dword	dword	dword	string[64]	dword	float	dword	string[64]	string[64]	dword	dword	string[64]	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	dword	dword	dword	dword	dword	float	dword	float	long	float	long	dword	float	dword	float	dword	dword	dword	float	dword	float	dword	float	dword	float	dword	float	dword	float	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	dword	END
Code	IsExist	Model	Icon	Name	KindClt	Grade	ActiveType	ActiveCodeKey	ActiveEffLv	ActiveProb	FixPart	BulletType	EffBulletType	Type	SubType	Civil	ClassLim	LevelLim	UpLevelLim	ClassGradeLim	ExpertID1	ExpertLim1	ExpertID2	ExpertLim2	Money	StdPrice	StdPoint	GoldPoint	KillPoint	ProcPoint	StorePrice	IsAbr	DurUnit	EquipSpeed	IsRepair	RepPrice	EffState	Property	Fire	Water	Soil	Wind	AttGap	Attack_DP	GADst	GASpd	GAMinSelProb	GAMinAF	GAMaxSelProb	GAMaxAF	MADst	MASpd	MAMinSelProb	MAMinAF	MAMaxSelProb	MAMaxAF	Eff1Code	Eff1Unit	Eff2Code	Eff2Unit	Eff3Code	Eff3Unit	Eff4Code	Eff4Unit	Duration	IsSell	IsExchange	IsGround	IsStore	IsNormAcc	Upgrade	ToolTip	AttEffType	IsTime	
iwkna01	1	A10300	1	Кинжал [1  	103	0	0	-1	0	0	8	-1	D	0	0	11111	1111	1	-1	0	0	1	-1	-1	0	75	0	0	0	0	0	0	0	1,019999981	0	0	1	-1	0	0	0	0	0,5	0	6,5	-162	30	13	60	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tiwkna01	2	0	
iwknb01	1	A10300	1	Тип В  Кинжал [1  	103	1	0	-1	0	0	8	-1	D	0	0	11111	1111	1	-1	0	0	1	-1	-1	0	190	0	0	0	0	1	0	0	1,019999981	0	0	1	-1	0	0	0	0	0,5	0	5	-162	30	17	60	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tiwknb01	2	0	
iwknc01	0	A10302	1	Кинжал [1  	103	2	0	-1	0	0	8	-1	D	0	0	11111	1111	1	-1	0	0	1	-1	-1	0	75	0	0	0	0	0	0	0	1,019999981	0	0	1	-1	0	0	0	0	0,5	0	5	-162	30	13	60	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tiwknc01	2	0	
iwknd01	1	A10303	189	Меч Камсана 	103	4	0	-1	0	0	8	-1	D	0	0	11111	1111	50	-1	0	0	99	-1	-1	0	13230	0	0	0	0	1	0	0	1,019999981	0	0	1	-1	0	0	0	0	0,5	0	5	-162	30	2026	60	2646	0	0	0	0	0	0	29	50	5	0,25	0	0	0	0	0	0	1	0	1	1	0	tiwknd01	2	0	
iwkna02	1	A10304	2	Абордажная Сабля [2  	103	0	0	-1	0	0	8	-1	D	0	0	11111	1111	2	-1	0	0	1	-1	-1	0	200	0	0	0	0	2	0	0	1,06004405	0	0	1	-1	0	0	0	0	0,5	0	11,5	-162	30	16	60	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tiwkna02	2	0	
iwknb02	1	A10304	2	Тип В  Абордажная Сабля [2  	103	1	0	-1	0	0	8	-1	D	0	0	11111	1111	2	-1	0	0	1	-1	-1	0	375	0	0	0	0	3	0	0	1,06004405	0	0	1	-1	0	0	0	0	0,5	0	5	-162	30	21	60	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tiwknb02	2	0	
iwknc02	0	A10306	2	Абордажная Сабля [2  	103	2	0	-1	0	0	8	-1	D	0	0	11111	1111	2	-1	0	0	1	-1	-1	0	190	0	0	0	0	1	0	0	1,06004405	0	0	1	-1	0	0	0	0	0,5	0	5	-162	30	17	60	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tiwknc02	2	0	
iwknz02	0	A10307	207	Клинок Риттера 	103	4	1	9307	5	0,150000006	8	-1	D	0	0	11111	1111	45	-1	0	0	68	-1	-1	0	190	0	0	0	0	935	0	0	1,06004405	0	0	1	-1	0	0	0	0	0,5	0	5	-162	30	2366	60	2972	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	1	1	1	1	1	7	tiwknz02	2	0	
iwkna03	1	A10308	3	Мачете [3  	103	0	0	-1	0	0	8	-1	D	0	0	11111	1111	3	-1	0	0	1	-1	-1	0	390	0	0	0	0	3	0	0	1,084193945	0	0	1	-1	0	0	0	0	0,5	0	9,899999619	-162	30	20	60	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tiwkna03	2	0	
