clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	long	dword	dword	dword	dword	dword	byte	byte	byte	byte	byte	byte	byte	byte	long	byte	byte	byte	byte	byte	byte	byte	byte	float	float	float	float	dword	dword	dword	word	word	word	word	float	float	dword	END
Code	Name	Model	IconID	Civil	ListID	Money	none	StdPrice	StdPoint	GoldPoint	ProcPoint	KillPoint	StoragePrice	IsExchange	IsSell	IsGround	IsStore	Descripton	IsExist	IsCash	IsTime	UpLevelLim	ItemGrade	25	Upgrade	27	DurUnit	LevelLim	ExpertID1	ExpertID2	ExpertLim1	ExpertLim2	none	none	none	GASpd	EffNum	Eff1Code	Eff2Code	Eff3Code	Eff4Code	none	none	none	Eff1Unit	Eff2Unit	Eff3Unit	Eff4Unit	DefEffType	ClassGradeLim	DefFc	FireTol	WaterTol	SoilTol	WindTol	DefGap	DefFacing	59	
idbca04	Круглый Щит [4	900700	1	11110	7	0	0	790	0	0	0	0	23	1	1	1	1	0	1	0	0	-1	0	0	0	0	0	4	4	-1	1	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	13	0	0	0	0	0,5	1	0	
idbcb04	Тип В] Круглый Щит [4	900700	1	11110	7	0	0	2630	0	0	0	0	78	1	1	1	1	1	1	0	0	-1	1	0	0	0	0	4	4	-1	1	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	43	0	0	0	0	0,5	1	0	
idbcc04	Escudo 1C	900702	1	11110	7	0	0	2630	0	0	0	0	78	1	1	1	1	2	0	0	0	-1	2	0	0	0	0	4	4	-1	1	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	13	0	0	0	0	0,5	1	0	
idbcd04	Escudo 1D	900703	1	11110	7	0	0	2630	0	0	0	0	78	1	1	1	1	3	0	0	0	-1	3	0	0	0	0	4	4	-1	1	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	13	0	0	0	0	0,5	1	0	
idbca07	Шипастый Щит [7	900704	2	11110	7	0	0	1390	0	0	0	0	41	1	1	1	1	4	1	0	0	-1	0	0	0	0	0	7	4	-1	1	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	20	0	0	0	0	0,5	1	0	
idbcb07	Тип В] Шипастый Щит  [7	900704	2	11110	7	0	0	4620	0	0	0	0	138	1	1	1	1	5	1	0	0	-1	1	0	0	0	0	7	4	-1	1	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	67	0	0	0	0	0,5	1	0	
idbcc07	Escudo 2C	900706	2	11110	7	0	0	4620	0	0	0	0	138	1	1	1	1	6	0	0	0	-1	2	0	0	0	0	7	4	-1	1	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	20	0	0	0	0	0,5	1	0	
idbcd07	Escudo 2D	900707	2	11110	7	0	0	4620	0	0	0	0	138	1	1	1	1	7	0	0	0	-1	3	0	0	0	0	7	4	-1	1	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	20	0	0	0	0	0,5	1	0	
idbca10	Рунный Щит [10	900708	3	11110	7	0	0	2630	0	0	0	0	78	1	1	1	1	8	1	0	0	-1	0	0	3	0	0	10	4	-1	1	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	36	0	0	0	0	0,5	1	0	
idbcb10	Тип В] Рунный Щит  [10	900708	3	11110	7	0	0	7300	0	0	0	0	219	1	1	1	1	9	1	0	0	-1	1	0	3	0	0	10	4	-1	1	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	98	0	0	0	0	0,5	1	0	
idbcc10	Escudo 3C	90070A	3	11110	7	0	0	7300	0	0	0	0	219	1	1	1	1	10	0	0	0	-1	2	0	3	0	0	10	4	-1	1	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	36	0	0	0	0	0,5	1	0	
idbcd10	Escudo 3D	90070B	3	11110	7	0	0	7300	0	0	0	0	219	1	1	1	1	11	0	0	0	-1	3	0	3	0	0	10	4	-1	1	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	36	0	0	0	0	0,5	1	0	
idbca13	Щит Защитника [13	90070C	4	11110	7	0	0	4620	0	0	0	0	138	1	1	1	1	12	1	0	0	-1	0	0	3	0	0	13	4	-1	4	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	58	0	0	0	0	0,5	1	0	
idbcb13	Тип В] Щит Защитника [13	90070C	4	11110	7	0	0	10930	0	0	0	0	327	1	1	1	1	13	1	0	0	-1	1	0	3	0	0	13	4	-1	4	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	135	0	0	0	0	0,5	1	0	
idbcc13	Escudo 4C	90070E	4	11110	7	0	0	10930	0	0	0	0	327	1	1	1	1	14	0	0	0	-1	2	0	3	0	0	13	4	-1	4	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	58	0	0	0	0	0,5	1	0	
idbcd13	Escudo 4D	90070F	4	11110	7	0	0	10930	0	0	0	0	327	1	1	1	1	15	0	0	0	-1	3	0	3	0	0	13	4	-1	4	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	58	0	0	0	0	0,5	1	0	
idbca16	Церемониальный Щит [16	900710	5	11110	7	0	0	7300	0	0	0	0	219	1	1	1	1	16	1	0	0	-1	0	0	6	0	0	16	4	-1	5	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	87	0	0	0	0	0,5	1	0	
idbcb16	Тип В] Церемониальный Щит [16	900710	5	11110	7	0	0	14270	0	0	0	0	428	1	1	1	1	17	1	0	0	-1	1	0	6	0	0	16	4	-1	5	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	168	0	0	0	0	0,5	1	0	
idbcc16	Escudo 5C	900712	5	11110	7	0	0	14270	0	0	0	0	428	1	1	1	1	18	0	0	0	-1	2	0	6	0	0	16	4	-1	5	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	87	0	0	0	0	0,5	1	0	
idbcd16	Escudo 5D	900713	5	11110	7	0	0	14270	0	0	0	0	428	1	1	1	1	19	0	0	0	-1	3	0	6	0	0	16	4	-1	5	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	87	0	0	0	0	0,5	1	0	
idbca19	Звездный Щит [19	900714	6	11110	7	0	0	10930	0	0	0	0	327	1	1	1	1	20	1	0	0	-1	0	0	6	0	0	19	4	-1	6	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	124	0	0	0	0	0,5	1	0	
idbcb19	Тип В] Звездный Щит [19	900714	6	11110	7	0	0	18400	0	0	0	0	552	1	1	1	1	21	1	0	0	-1	1	0	6	0	0	19	4	-1	6	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	204	0	0	0	0	0,5	1	0	
idbcc19	Escudo 6C	900716	6	11110	7	0	0	18400	0	0	0	0	552	1	1	1	1	22	0	0	0	-1	2	0	6	0	0	19	4	-1	6	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	124	0	0	0	0	0,5	1	0	
idbcd19	Escudo 6D	900717	6	11110	7	0	0	18400	0	0	0	0	552	1	1	1	1	23	0	0	0	-1	3	0	6	0	0	19	4	-1	6	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	124	0	0	0	0	0,5	1	0	
idbca21	Башенный Щит [21	900718	7	11110	7	0	0	14270	0	0	0	0	428	1	1	1	1	24	1	0	0	-1	0	0	7	0	0	21	4	-1	8	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	32	0	158	0	0	0	0	0,5	1	0	
idbcb21	Тип В] Башенный Щит [21	900718	7	11110	7	0	0	23000	0	0	0	0	690	1	1	1	1	25	1	0	0	-1	1	0	7	0	0	21	4	-1	8	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	245	0	0	0	0	0,5	1	0	
idbcc21	Escudo 7C	90071A	7	11110	7	0	0	23000	0	0	0	0	690	1	1	1	1	26	0	0	0	-1	2	0	7	0	0	21	4	-1	8	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	158	0	0	0	0	0,5	1	0	
idbcd21	Escudo 7D	90071B	7	11110	7	0	0	23000	0	0	0	0	690	1	1	1	1	27	0	0	0	-1	3	0	7	0	0	21	4	-1	8	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	158	0	0	0	0	0,5	1	0	
idbca23	Кристальный Щит [23	90071C	8	11110	7	0	0	18400	0	0	0	0	552	1	1	1	1	28	1	0	0	-1	0	0	7	0	0	23	4	-1	9	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	195	0	0	0	0	0,5	1	0	
idbcb23	Тип В] Кристальный Щит [23	90071C	8	11110	7	0	0	28070	0	0	0	0	842	1	1	1	1	29	1	0	0	-1	1	0	7	0	0	23	4	-1	9	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	287	0	0	0	0	0,5	1	0	
idbcc23	Escudo 8C	90071E	8	11110	7	0	0	28070	0	0	0	0	842	1	1	1	1	30	0	0	0	-1	2	0	7	0	0	23	4	-1	9	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	195	0	0	0	0	0,5	1	0	
idbcd23	Escudo 8D	90071F	8	11110	7	0	0	28070	0	0	0	0	842	1	1	1	1	31	0	0	0	-1	3	0	7	0	0	23	4	-1	9	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	195	0	0	0	0	0,5	1	0	
idbca25	Технощит [25	900720	9	11110	7	0	0	23000	0	0	0	0	690	1	1	1	1	32	1	0	0	-1	0	0	7	0	0	25	4	-1	10	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	235	0	0	0	0	0,5	1	0	
idbcb25	Тип В] Технощит [25	900720	9	11110	7	0	0	33200	0	0	0	0	996	1	1	1	1	33	1	0	0	-1	1	0	7	0	0	25	4	-1	10	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	333	0	0	0	0	0,5	1	0	
idbcc25	Escudo 9C	900722	9	11110	7	0	0	33200	0	0	0	0	996	1	1	1	1	34	0	0	0	-1	2	0	7	0	0	25	4	-1	10	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	235	0	0	0	0	0,5	1	0	
idbcd25	Escudo 9D	900723	9	11110	7	0	0	33200	0	0	0	0	996	1	1	1	1	35	0	0	0	-1	3	0	7	0	0	25	4	-1	10	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	235	0	0	0	0	0,5	1	0	
idbca27	Энергощит [27	900724	10	11110	7	0	0	28070	0	0	0	0	842	1	1	1	1	36	1	0	0	-1	0	0	7	0	0	27	4	-1	12	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	277	0	0	0	0	0,5	1	0	
idbcb27	Тип В] Энергощит [27	900724	10	11110	7	0	0	40120	0	0	0	0	1203	1	1	1	1	37	1	0	0	-1	1	0	7	0	0	27	4	-1	12	-1	0	0	0	200	1	4	0	0	0	0	0	0	-100	0	0	0	2	0	382	0	0	0	0	0,5	1	0	
