dword	text	END
Count	descript	
0	Круглый щит - отлично подходит для обучения новобранцев, его малый вес позволяет быстро привыкнуть к использованию этого элемента экипировки	
1	Круглый щит - отлично подходит для обучения новобранцев, его малый вес позволяет быстро привыкнуть к использованию этого элемента экипировки	
2	Круглый щит - отлично подходит для обучения новобранцев, его малый вес позволяет быстро привыкнуть к использованию этого элемента экипировки	
3	Круглый щит - отлично подходит для обучения новобранцев, его малый вес позволяет быстро привыкнуть к использованию этого элемента экипировки	
4	Шипастый щит - помимо устрашающего вида, является отличной защитой в ближнем бою	
5	Шипастый щит - помимо устрашающего вида, является отличной защитой в ближнем бою	
6	Шипастый щит - помимо устрашающего вида, является отличной защитой в ближнем бою	
7	Шипастый щит - помимо устрашающего вида, является отличной защитой в ближнем бою	
8	Рунная вязь, которой украшен щит является не только украшением, но и помогает отражать удары противника	
9	Рунная вязь, которой украшен щит является не только украшением, но и помогает отражать удары противника	
10	Рунная вязь, которой украшен щит является не только украшением, но и помогает отражать удары противника	
11	Рунная вязь, которой украшен щит является не только украшением, но и помогает отражать удары противника	
12	Щит защитника - разработка Альянса. Как правило ими экипируются штурмовые отряды Коритов	
13	Щит защитника - разработка Альянса. Как правило ими экипируются штурмовые отряды Коритов	
14	Щит защитника - разработка Альянса. Как правило ими экипируются штурмовые отряды Коритов	
15	Щит защитника - разработка Альянса. Как правило ими экипируются штурмовые отряды Коритов	
16	Церемониальный щит - щит гвардейцев верховного жреца Дайсема. Идеально защищает от ударов противника	
17	Церемониальный щит - щит гвардейцев верховного жреца Дайсема. Идеально защищает от ударов противника	
18	Церемониальный щит - щит гвардейцев верховного жреца Дайсема. Идеально защищает от ударов противника	
19	Церемониальный щит - щит гвардейцев верховного жреца Дайсема. Идеально защищает от ударов противника	
20	Щит созданный из звездного метала, пробить который невозможно никаким оружием	
21	Щит созданный из звездного метала, пробить который невозможно никаким оружием	
22	Щит созданный из звездного метала, пробить который невозможно никаким оружием	
23	Щит созданный из звездного метала, пробить который невозможно никаким оружием	
24	Башенный щит - разработка принадлежащая специалистам Федерации. Стена таких щитов способна полностью закрыть от выстрелов врага наступающие ряды воинов Беллато	
25	Башенный щит - разработка принадлежащая специалистам Федерации. Стена таких щитов способна полностью закрыть от выстрелов врага наступающие ряды воинов Беллато	
26	Башенный щит - разработка принадлежащая специалистам Федерации. Стена таких щитов способна полностью закрыть от выстрелов врага наступающие ряды воинов Беллато	
27	Башенный щит - разработка принадлежащая специалистам Федерации. Стена таких щитов способна полностью закрыть от выстрелов врага наступающие ряды воинов Беллато	
28	Кристальный щип расположенный в центре щита, является не только элементом украшения, но и содержит в себе энергию отклюняющую вражеские удары	
29	Кристальный щип расположенный в центре щита, является не только элементом украшения, но и содержит в себе энергию отклюняющую вражеские удары	
30	Кристальный щип расположенный в центре щита, является не только элементом украшения, но и содержит в себе энергию отклюняющую вражеские удары	
31	Кристальный щип расположенный в центре щита, является не только элементом украшения, но и содержит в себе энергию отклюняющую вражеские удары	
32	Являясь одной из новейших разработок Федерации, технощит идеально подходит для прикрытия бойца в ближнем бою	
33	Являясь одной из новейших разработок Федерации, технощит идеально подходит для прикрытия бойца в ближнем бою	
34	Являясь одной из новейших разработок Федерации, технощит идеально подходит для прикрытия бойца в ближнем бою	
35	Являясь одной из новейших разработок Федерации, технощит идеально подходит для прикрытия бойца в ближнем бою	
36	В данном щите используются энгергетические технологии, позволяющие потокам энергии блокировать все попадания	
37	В данном щите используются энгергетические технологии, позволяющие потокам энергии блокировать все попадания	
38	В данном щите используются энгергетические технологии, позволяющие потокам энергии блокировать все попадания	
39	В данном щите используются энгергетические технологии, позволяющие потокам энергии блокировать все попадания	
40	Штурмовой энергощит создан таким образом, что позволяет своему владельцу блокировать не только удары оружия ближнего боя, но и выстрелы стрелкового оружия	
41	Штурмовой энергощит создан таким образом, что позволяет своему владельцу блокировать не только удары оружия ближнего боя, но и выстрелы стрелкового оружия	
42	Штурмовой энергощит создан таким образом, что позволяет своему владельцу блокировать не только удары оружия ближнего боя, но и выстрелы стрелкового оружия	
43	Штурмовой энергощит создан таким образом, что позволяет своему владельцу блокировать не только удары оружия ближнего боя, но и выстрелы стрелкового оружия	
44	При изготовлении сборного щита используется свыше 9 различных элементов, что позволяет добиться невероятной прочности	
45	При изготовлении сборного щита используется свыше 9 различных элементов, что позволяет добиться невероятной прочности	
46	При изготовлении сборного щита используется свыше 9 различных элементов, что позволяет добиться невероятной прочности	
47	При изготовлении сборного щита используется свыше 9 различных элементов, что позволяет добиться невероятной прочности	
48	Щит Тьмы входит в обязательную экипировку посвященного воина Дайсема. Четыре энергетических источника расположенных на щите, создают дополнительную защиту	
49	Щит Тьмы входит в обязательную экипировку посвященного воина Дайсема. Четыре энергетических источника расположенных на щите, создают дополнительную защиту	
50	Щит Тьмы входит в обязательную экипировку посвященного воина Дайсема. Четыре энергетических источника расположенных на щите, создают дополнительную защиту	
51	Щит Тьмы входит в обязательную экипировку посвященного воина Дайсема. Четыре энергетических источника расположенных на щите, создают дополнительную защиту	
52	Голова устрашающего монстра закрепленная на щите вводит противника в состояние страха	
53	Голова устрашающего монстра закрепленная на щите вводит противника в состояние страха	
54	Голова устрашающего монстра закрепленная на щите вводит противника в состояние страха	
55	Голова устрашающего монстра закрепленная на щите вводит противника в состояние страха	
56	Башенный энергощит - разработка специалистов Федерации. Дополнительное защитное поле, вырабатывающееся встроенными генераторами позволяет эффективно удерживать противника	
57	Башенный энергощит - разработка специалистов Федерации. Дополнительное защитное поле, вырабатывающееся встроенными генераторами позволяет эффективно удерживать противника	
58	Башенный энергощит - разработка специалистов Федерации. Дополнительное защитное поле, вырабатывающееся встроенными генераторами позволяет эффективно удерживать противника	
59	Башенный энергощит - разработка специалистов Федерации. Дополнительное защитное поле, вырабатывающееся встроенными генераторами позволяет эффективно удерживать противника	
60	Золотой щит идеально сбалансирован по весу, что позволяет выполнять с ним самые смелые маневры в ближнем бою	
61	Золотой щит идеально сбалансирован по весу, что позволяет выполнять с ним самые смелые маневры в ближнем бою	
62	Золотой щит идеально сбалансирован по весу, что позволяет выполнять с ним самые смелые маневры в ближнем бою	
63	Золотой щит идеально сбалансирован по весу, что позволяет выполнять с ним самые смелые маневры в ближнем бою	
64	Ростовой щит практически полностью закрывает бойца Федерации, позволяя ему с легкостью идти в атаку под неприятельским огнем	
65	Ростовой щит практически полностью закрывает бойца Федерации, позволяя ему с легкостью идти в атаку под неприятельским огнем	
66	Ростовой щит практически полностью закрывает бойца Федерации, позволяя ему с легкостью идти в атаку под неприятельским огнем	
67	Ростовой щит практически полностью закрывает бойца Федерации, позволяя ему с легкостью идти в атаку под неприятельским огнем	
68	Боевой щит разработан лучшими мастеровыми Альянса, специально для элитных штурмовых отрядов коритов	
69	Боевой щит разработан лучшими мастеровыми Альянса, специально для элитных штурмовых отрядов коритов	
70	Боевой щит разработан лучшими мастеровыми Альянса, специально для элитных штурмовых отрядов коритов	
71	Боевой щит разработан лучшими мастеровыми Альянса, специально для элитных штурмовых отрядов коритов	
72	Боевой энергощит один из последних разработок специалистов Федерации. Сочетает в себе малый вес и новейшие энерготехнологии	
73	Боевой энергощит один из последних разработок специалистов Федерации. Сочетает в себе малый вес и новейшие энерготехнологии	
74	Боевой энергощит один из последних разработок специалистов Федерации. Сочетает в себе малый вес и новейшие энерготехнологии	
75	Боевой энергощит один из последних разработок специалистов Федерации. Сочетает в себе малый вес и новейшие энерготехнологии	
76	Штурмовой технощит идеально подходит для атаки противника. В ближнем бою весьма сложно достать воина закрывающегося штурмовым энергощитом	
77	Штурмовой технощит идеально подходит для атаки противника. В ближнем бою весьма сложно достать воина закрывающегося штурмовым энергощитом	
78	Штурмовой технощит идеально подходит для атаки противника. В ближнем бою весьма сложно достать воина закрывающегося штурмовым энергощитом	
79	Штурмовой технощит идеально подходит для атаки противника. В ближнем бою весьма сложно достать воина закрывающегося штурмовым энергощитом	
80	Щит Древних - могущественный артефакт защиты, доставшийся в наследство от давно исчезнувших цивилизаций	
81	Щит Древних - могущественный артефакт защиты, доставшийся в наследство от давно исчезнувших цивилизаций	
82	Щит Древних - могущественный артефакт защиты, доставшийся в наследство от давно исчезнувших цивилизаций	
83	Щит Древних - могущественный артефакт защиты, доставшийся в наследство от давно исчезнувших цивилизаций	
84	Данный щит является обязательным элементом экипировки всех новобранцев Империи	
85	Данный щит является обязательным элементом экипировки всех новобранцев Империи	
86	Данный щит является обязательным элементом экипировки всех новобранцев Империи	
87	Данный щит является обязательным элементом экипировки всех новобранцев Империи	
88	Названный так за свою форму и отдельные элементы отделки, стреловидный щит отлично держит вражеские удары	
89	Названный так за свою форму и отдельные элементы отделки, стреловидный щит отлично держит вражеские удары	
90	Названный так за свою форму и отдельные элементы отделки, стреловидный щит отлично держит вражеские удары	
91	Названный так за свою форму и отдельные элементы отделки, стреловидный щит отлично держит вражеские удары	
92	Данный щит является классическим защитным элементом экипировки пехотных частей Империи на Новусе	
93	Данный щит является классическим защитным элементом экипировки пехотных частей Империи на Новусе	
94	Данный щит является классическим защитным элементом экипировки пехотных частей Империи на Новусе	
95	Данный щит является классическим защитным элементом экипировки пехотных частей Империи на Новусе	
96	Армированный щит изготовлен из одного куска металла, обработанного армированным составом	
97	Армированный щит изготовлен из одного куска металла, обработанного армированным составом	
98	Армированный щит изготовлен из одного куска металла, обработанного армированным составом	
99	Армированный щит изготовлен из одного куска металла, обработанного армированным составом	
100	Во всей галактике не осталось планет, куда не ступала металлическая нога Акрета-завоевателя. устрашающая форма данного щита, вкупе с символикой Империи надолго запомнятся врагам	
101	Во всей галактике не осталось планет, куда не ступала металлическая нога Акрета-завоевателя. устрашающая форма данного щита, вкупе с символикой Империи надолго запомнятся врагам	
102	Во всей галактике не осталось планет, куда не ступала металлическая нога Акрета-завоевателя. устрашающая форма данного щита, вкупе с символикой Империи надолго запомнятся врагам	
103	Во всей галактике не осталось планет, куда не ступала металлическая нога Акрета-завоевателя. устрашающая форма данного щита, вкупе с символикой Империи надолго запомнятся врагам	
104	Собранный как бы из двух частей, сдвоенный щит отлично защитит своего обладателя в самом жестоком бою, надежно укрыв его от вражеского огня	
105	Собранный как бы из двух частей, сдвоенный щит отлично защитит своего обладателя в самом жестоком бою, надежно укрыв его от вражеского огня	
106	Собранный как бы из двух частей, сдвоенный щит отлично защитит своего обладателя в самом жестоком бою, надежно укрыв его от вражеского огня	
107	Собранный как бы из двух частей, сдвоенный щит отлично защитит своего обладателя в самом жестоком бою, надежно укрыв его от вражеского огня	
108	Защитные показатели зеркального щита идеально сочетаются с удобством использования его в бою	
109	Защитные показатели зеркального щита идеально сочетаются с удобством использования его в бою	
110	Защитные показатели зеркального щита идеально сочетаются с удобством использования его в бою	
111	Защитные показатели зеркального щита идеально сочетаются с удобством использования его в бою	
