string[64]	dword	string[64]	dword	string[64]	dword	dword	dword	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	dword	dword	dword	dword	float	float	float	float	float	long	dword	float	float	dword	float	dword	float	dword	float	dword	float	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	dword	END
Code	IsExist	Model	IconID	Name	KindClt	ItemGrade	FixPart	HelmetClass	Civil	LevelLim	UpLevelLim	ClassGradeLim	ExpertID1	ExpertLim1	ExpertID2	ExpertLim2	Money	StdPrice	StdPoint	GoldPoint	KillPoint	ProcPoint	StoragePrice	IsAbr	DurUnit	EquipSpeed	IsRepair	RepPrice	EffState	GASpd	Property	FireTol	WaterTol	SoilTol	WindTol	DefFc	Defence_DP	MaxDP	DefGap	DefFacing	Eff1Code	Eff1Unit	Eff2Code	Eff2Unit	Eff3Code	Eff3Unit	Eff4Code	Eff4Unit	Duration	IsSell	IsExchange	IsGround	IsStore	IsNormAcc	Upgrade	ToolTip	DefEffType	IsTime	
idbca04	1	900700	1	Круглый Щит [4	7	0	9	0	11110	4	-1	0	4	1	-1	-1	0	790	0	0	0	0	23	0	0	1,134063005	0	0	1	200	-1	0	0	0	0	13	-2	0	0,5	1	4	-100	0	0	0	0	0	0	0	1	1	1	1	1	0	tidbca04	2	0	
idbcb04	1	900700	1	Тип В] Круглый Щит [4	7	1	9	0	11110	4	-1	0	4	1	-1	-1	0	2630	0	0	0	0	78	0	0	1,134063005	0	0	1	200	-1	0	0	0	0	43	-2	0	0,5	1	4	-100	0	0	0	0	0	0	0	1	1	1	1	1	0	tidbcb04	2	0	
idbcc04	0	900702	1	Escudo 1C	7	2	9	0	11110	4	-1	0	4	1	-1	-1	0	2630	0	0	0	0	78	0	0	1,134063005	0	0	1	200	-1	0	0	0	0	13	-2	0	0,5	1	4	-100	0	0	0	0	0	0	0	1	1	1	1	1	0	tidbcc04	2	0	
idbcd04	0	900703	1	Escudo 1D	7	3	9	0	11110	4	-1	0	4	1	-1	-1	0	2630	0	0	0	0	78	0	0	1,134063005	0	0	1	200	-1	0	0	0	0	13	-2	0	0,5	1	4	-100	0	0	0	0	0	0	0	1	1	1	1	1	0	tidbcd04	2	0	
idbca07	1	900704	2	Шипастый Щит [7	7	0	9	0	11110	7	-1	0	4	1	-1	-1	0	1390	0	0	0	0	41	0	0	1,169873953	0	0	1	200	-1	0	0	0	0	20	-2	0	0,5	1	4	-100	0	0	0	0	0	0	0	1	1	1	1	1	0	tidbca07	2	0	
idbcb07	1	900704	2	Тип В] Шипастый Щит  [7	7	1	9	0	11110	7	-1	0	4	1	-1	-1	0	4620	0	0	0	0	138	0	0	1,169873953	0	0	1	200	-1	0	0	0	0	67	-2	0	0,5	1	4	-100	0	0	0	0	0	0	0	1	1	1	1	1	0	tidbcb07	2	0	
idbcc07	0	900706	2	Escudo 2C	7	2	9	0	11110	7	-1	0	4	1	-1	-1	0	4620	0	0	0	0	138	0	0	1,169873953	0	0	1	200	-1	0	0	0	0	20	-2	0	0,5	1	4	-100	0	0	0	0	0	0	0	1	1	1	1	1	0	tidbcc07	2	0	
idbcd07	0	900707	2	Escudo 2D	7	3	9	0	11110	7	-1	0	4	1	-1	-1	0	4620	0	0	0	0	138	0	0	1,169873953	0	0	1	200	-1	0	0	0	0	20	-2	0	0,5	1	4	-100	0	0	0	0	0	0	0	1	1	1	1	1	0	tidbcd07	2	0	
idbca10	1	900708	3	Рунный Щит [10	7	0	9	0	11110	10	-1	0	4	1	-1	-1	0	2630	0	0	0	0	78	0	0	1,193287015	0	0	1	200	-1	0	0	0	0	36	-2	0	0,5	1	4	-100	0	0	0	0	0	0	0	1	1	1	1	1	3	tidbca10	2	0	
idbcb10	1	900708	3	Тип В] Рунный Щит  [10	7	1	9	0	11110	10	-1	0	4	1	-1	-1	0	7300	0	0	0	0	219	0	0	1,193287015	0	0	1	200	-1	0	0	0	0	98	-2	0	0,5	1	4	-100	0	0	0	0	0	0	0	1	1	1	1	1	3	tidbcb10	2	0	
idbcc10	0	90070A	3	Escudo 3C	7	2	9	0	11110	10	-1	0	4	1	-1	-1	0	7300	0	0	0	0	219	0	0	1,193287015	0	0	1	200	-1	0	0	0	0	36	-2	0	0,5	1	4	-100	0	0	0	0	0	0	0	1	1	1	1	1	3	tidbcc10	2	0	
