clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	long	dword	dword	dword	dword	dword	byte	byte	byte	byte	byte	byte	byte	byte	long	byte	byte	byte	byte	byte	byte	byte	byte	float	float	float	float	dword	dword	dword	word	word	word	word	float	float	float	dword	END
Code	Name	Model	IconID	Civil	ListID	Money	none	StdPrice	StdPoint	GoldPoint	ProcPoint	KillPoint	StoragePrice	IsExchange	IsSell	IsGround	IsStore	Descripton	IsExist	IsCash	IsTime	UpLevelLim	ItemGrade	25	Upgrade	27	DurUnit	LevelLim	ExpertID1	ExpertID2	ExpertLim1	ExpertLim2	none	none	none	GASpd	EffNum	Eff1Code	Eff2Code	Eff3Code	Eff4Code	none	none	none	Eff1Unit	Eff2Unit	Eff3Unit	Eff4Unit	DefEffType	ClassGradeLim	DefFc	FireTol	WaterTol	SoilTol	WindTol	DefGap	DefFacing	BoostSpd	60	
ikbb001	Магнитный Ускоритель 	700600	154	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	-1	5	0	7	0	0	40	-1	-1	-1	-1	0	0	0	0	1	27	0	0	0	0	0	0	10	0	0	0	-1	0	0	0	0	0	0	0	0	8	0	
ikbb002	Магнитный Ускоритель Огня 	700600	154	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	-1	5	0	7	0	0	40	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	5	0	0	0	0	0	8	0	
ikbb003	Магнитный Ускоритель Воды 	700600	154	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	2	1	0	0	-1	5	0	7	0	0	40	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	5	0	0	0	0	8	0	
ikbb004	Магнитный Ускоритель Земли 	700600	154	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	3	1	0	0	-1	5	0	7	0	0	40	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	5	0	0	0	8	0	
ikbb005	Магнитный Ускоритель Воздуха 	700600	154	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	4	1	0	0	-1	5	0	7	0	0	40	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	5	0	0	8	0	
ikbb006	Улучшенный Магнитный Ускоритель 	700600	154	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	5	1	0	0	-1	5	0	7	0	0	50	-1	-1	-1	-1	0	0	0	0	1	27	0	0	0	0	0	0	15	0	0	0	-1	0	0	0	0	0	0	0	0	9	0	
ikbb007	Улучшенный Магнитный Ускоритель Огня 	700600	154	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	6	1	0	0	-1	5	0	7	0	0	50	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	10	0	0	0	0	0	9	0	
ikbb008	Улучшенный Магнитный Ускоритель Воды 	700600	154	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	7	1	0	0	-1	5	0	7	0	0	50	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	10	0	0	0	0	9	0	
ikbb009	Улучшенный Магнитный Ускоритель Земли 	700600	154	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	8	1	0	0	-1	5	0	7	0	0	50	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	10	0	0	0	9	0	
ikbb010	Улучшенный Магнитный Ускоритель Воздуха 	700600	154	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	9	1	0	0	-1	5	0	7	0	0	50	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	10	0	0	9	0	
ikbb011	Накидка Гражданина Федерации11	70060A	142	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	10	1	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbpc01	Премиум Антиграв	700600	202	11000	8	0	0	0	0	0	0	0	0	0	1	0	0	775	1	0	0	-1	5	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	1	27	0	0	0	0	0	0	10	0	0	0	-1	0	0	0	0	0	0	0	0	9	0	
ikbb013	Золотой Магнитный Ускоритель 	700601	217	11000	8	0	0	100	0	0	0	0	1	0	0	0	0	12	1	0	0	-1	0	0	7	0	0	40	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	9	0	
ikbb014	Накидка Гражданина Федерации14	70060D	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	13	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb015	Накидка Гражданина Федерации15	70060E	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	14	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb016	Накидка Гражданина Федерации16	70060F	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	15	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb017	Накидка Гражданина Федерации17	700610	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	16	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb018	Накидка Гражданина Федерации18	700611	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	17	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb019	Накидка Гражданина Федерации19	700612	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	18	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb020	Накидка Гражданина Федерации20	700613	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	19	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb021	Накидка Гражданина Федерации21	700614	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	20	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb022	Накидка Гражданина Федерации22	700615	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	21	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb023	Накидка Гражданина Федерации23	700616	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	22	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb024	Накидка Гражданина Федерации24	700617	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	23	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb025	Накидка Гражданина Федерации25	700618	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	24	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb026	Накидка Гражданина Федерации26	700619	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	25	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb027	Накидка Гражданина Федерации27	70061A	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	26	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb028	Накидка Гражданина Федерации28	70061B	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	27	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb029	Накидка Гражданина Федерации29	70061C	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	28	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb030	Накидка Гражданина Федерации30	70061D	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	29	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb031	Накидка Гражданина Федерации31	70061E	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	30	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb032	Накидка Гражданина Федерации32	70061F	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	31	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb033	Накидка Гражданина Федерации33	700620	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	32	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb034	Накидка Гражданина Федерации34	700621	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	33	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb035	Накидка Гражданина Федерации35	700622	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	34	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb036	Накидка Гражданина Федерации36	700623	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	35	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb037	Накидка Гражданина Федерации37	700624	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	36	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb038	Накидка Гражданина Федерации38	700625	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	37	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb039	Накидка Гражданина Федерации39	700626	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	38	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb040	Накидка Гражданина Федерации40	700627	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	39	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb041	Накидка Гражданина Федерации41	700628	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	40	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb042	Накидка Гражданина Федерации42	700629	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	41	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb043	Накидка Гражданина Федерации43	70062A	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	42	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb044	Накидка Гражданина Федерации44	70062B	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	43	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb045	Накидка Гражданина Федерации45	70062C	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	44	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb046	Накидка Гражданина Федерации46	70062D	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	45	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
