dword	text	END
Count	descript	
0	Накидка Федерации. При использовании можно использовать умения Ускорения для быстрого перемещения. Физический.	
1	Накидка Федерации. При использовании можно использовать умения Ускорения для быстрого перемещения. Огненный.	
2	Накидка Федерации. При использовании можно использовать умения Ускорения для быстрого перемещения. Водный.	
3	Накидка Федерации. При использовании можно использовать умения Ускорения для быстрого перемещения. Земляной.	
4	Накидка Федерации. При использовании можно использовать умения Ускорения для быстрого перемещения. Воздушный.	
5	Накидка Гражданина Федерации	
6	Накидка Гражданина Федерации	
7	Накидка Гражданина Федерации	
8	Накидка Гражданина Федерации	
9	Накидка Гражданина Федерации	
10	Накидка Гражданина Федерации	
11	Накидка Гражданина Федерации	
12	Накидка Гражданина Федерации	
13	Накидка Гражданина Федерации	
14	Накидка Гражданина Федерации	
15	Накидка Гражданина Федерации	
16	Накидка Гражданина Федерации	
17	Накидка Гражданина Федерации	
18	Накидка Гражданина Федерации	
19	Накидка Гражданина Федерации	
20	Накидка Гражданина Федерации	
21	Накидка Гражданина Федерации	
22	Накидка Гражданина Федерации	
23	Накидка Гражданина Федерации	
24	Накидка Гражданина Федерации	
25	Накидка Гражданина Федерации	
26	Накидка Гражданина Федерации	
27	Накидка Гражданина Федерации	
28	Накидка Гражданина Федерации	
29	Накидка Гражданина Федерации	
30	Накидка Гражданина Федерации	
31	Накидка Гражданина Федерации	
32	Накидка Гражданина Федерации	
33	Накидка Гражданина Федерации	
34	Накидка Гражданина Федерации	
35	Накидка Гражданина Федерации	
36	Накидка Гражданина Федерации	
37	Накидка Гражданина Федерации	
38	Накидка Гражданина Федерации	
39	Накидка Гражданина Федерации	
40	Накидка Гражданина Федерации	
41	Накидка Гражданина Федерации	
42	Накидка Гражданина Федерации	
43	Накидка Гражданина Федерации	
44	Накидка Гражданина Федерации	
45	Накидка Гражданина Федерации	
46	Накидка Гражданина Федерации	
47	Накидка Гражданина Федерации	
48	Накидка Гражданина Федерации	
49	Накидка Гражданина Федерации	
50	Накидка Гражданина Федерации	
51	Накидка Гражданина Федерации	
52	Накидка Гражданина Федерации	
53	Накидка Гражданина Федерации	
54	Накидка Гражданина Федерации	
55	Накидка Гражданина Федерации	
56	Накидка Гражданина Федерации	
57	Накидка Гражданина Федерации	
58	Накидка Гражданина Федерации	
59	Накидка Гражданина Федерации	
60	Накидка Гражданина Федерации	
61	Накидка Гражданина Федерации	
62	Накидка Гражданина Федерации	
63	Накидка Гражданина Федерации	
64	Накидка Гражданина Федерации	
65	Накидка Гражданина Федерации	
66	Накидка Гражданина Федерации	
67	Накидка Гражданина Федерации	
68	Накидка Гражданина Федерации	
69	Накидка Гражданина Федерации	
70	Накидка Гражданина Федерации	
71	Накидка Гражданина Федерации	
72	Накидка Гражданина Федерации	
73	Накидка Гражданина Федерации	
74	Накидка Гражданина Федерации	
75	Накидка Гражданина Федерации	
76	Накидка Гражданина Федерации	
77	Накидка Гражданина Федерации	
78	Накидка Гражданина Федерации	
79	Накидка Гражданина Федерации	
80	Накидка Гражданина Федерации	
81	Накидка Гражданина Федерации	
82	Накидка Гражданина Федерации	
83	Накидка Гражданина Федерации	
84	Накидка Гражданина Федерации	
85	Накидка Гражданина Федерации	
86	Накидка Гражданина Федерации	
87	Накидка Гражданина Федерации	
88	Накидка Гражданина Федерации	
89	Накидка Гражданина Федерации	
90	Накидка Гражданина Федерации	
91	Накидка Гражданина Федерации	
92	Накидка Гражданина Федерации	
93	Накидка Гражданина Федерации	
94	Накидка Гражданина Федерации	
95	Накидка Гражданина Федерации	
96	Накидка Гражданина Федерации	
97	Накидка Гражданина Федерации	
98	Накидка Гражданина Федерации	
99	Накидка Гражданина Федерации	
100	Накидка Гражданина Федерации	
101	Накидка Гражданина Федерации	
102	Накидка Гражданина Федерации	
103	Накидка Гражданина Федерации	
104	Накидка Гражданина Федерации	
105	Накидка Гражданина Федерации	
106	Накидка Гражданина Федерации	
107	Накидка Гражданина Федерации	
108	Накидка Гражданина Федерации	
109	Накидка Гражданина Федерации	
110	Накидка Гражданина Федерации	
111	Накидка Гражданина Федерации	
112	Накидка Гражданина Федерации	
113	Накидка Гражданина Федерации	
114	Накидка Гражданина Федерации	
115	Накидка Гражданина Федерации	
116	Накидка Гражданина Федерации	
117	Накидка Гражданина Федерации	
118	Накидка Гражданина Федерации	
119	Накидка Гражданина Федерации	
120	Накидка Гражданина Федерации	
121	Накидка Гражданина Федерации	
122	Накидка Гражданина Федерации	
123	Накидка Гражданина Федерации	
124	Накидка Гражданина Федерации	
125	Накидка Гражданина Федерации	
126	Накидка Гражданина Федерации	
127	Накидка Гражданина Федерации	
128	Накидка Гражданина Федерации	
129	Накидка Гражданина Федерации	
130	Накидка Гражданина Федерации	
131	Накидка Гражданина Федерации	
132	Накидка Гражданина Федерации	
133	Накидка Гражданина Федерации	
134	Накидка Гражданина Федерации	
135	Накидка Гражданина Федерации	
136	Накидка Гражданина Федерации	
137	Накидка Гражданина Федерации	
138	Накидка Гражданина Федерации	
139	Накидка Гражданина Федерации	
140	Накидка Гражданина Федерации	
141	Накидка Гражданина Федерации	
142	Накидка Гражданина Федерации	
143	Накидка Гражданина Федерации	
144	Накидка Гражданина Федерации	
145	Накидка Гражданина Федерации	
146	Накидка Гражданина Федерации	
147	Накидка Гражданина Федерации	
148	Накидка Гражданина Федерации	
149	Накидка Гражданина Федерации	
150	Накидка Гражданина Федерации	
151	Накидка Гражданина Федерации	
152	Накидка Гражданина Федерации	
153	Накидка Гражданина Федерации	
154	Накидка Гражданина Федерации	
155	Накидка Гражданина Федерации	
