string[64]	dword	string[64]	dword	string[64]	dword	dword	dword	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	dword	dword	dword	dword	float	float	float	float	float	long	dword	float	float	dword	float	dword	float	dword	float	dword	float	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	dword	float	END
Code	IsExist	Model	IconID	Name	KindClt	ItemGrade	FixPart	HelmetClass	Civil	LevelLim	UpLevelLim	ClassGradeLim	ExpertID1	ExpertLim1	ExpertID2	ExpertLim2	Money	StdPrice	StdPoint	GoldPoint	KillPoint	ProcPoint	StoragePrice	IsAbr	DurUnit	EquipSpeed	IsRepair	RepPrice	EffState	GASpd	Property	FireTol	WaterTol	SoilTol	WindTol	DefFc	Defence_DP	MaxDP	DefGap	DefFacing	Eff1Code	Eff1Unit	Eff2Code	Eff2Unit	Eff3Code	Eff3Unit	Eff4Code	Eff4Unit	Duration	IsSell	IsExchange	IsGround	IsStore	IsNormAcc	Upgrade	ToolTip	DefEffType	IsTime	BoostSpd	
ikbb001	1	700600	154	Магнитный Ускоритель 	6	5	6	0	11000	40	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	27	10	0	0	0	0	0	0	0	1	1	1	0	1	7	tikbb001	-1	0	8	
ikbb002	1	700600	154	Магнитный Ускоритель Огня 	6	5	6	0	11000	40	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	7	tikbb002	-1	0	8	
ikbb003	1	700600	154	Магнитный Ускоритель Воды 	6	5	6	0	11000	40	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	7	tikbb003	-1	0	8	
ikbb004	1	700600	154	Магнитный Ускоритель Земли 	6	5	6	0	11000	40	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	7	tikbb004	-1	0	8	
ikbb005	1	700600	154	Магнитный Ускоритель Воздуха 	6	5	6	0	11000	40	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	7	tikbb005	-1	0	8	
ikbb006	1	700600	154	Улучшенный Магнитный Ускоритель 	6	5	6	0	11000	50	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	27	15	0	0	0	0	0	0	0	1	1	1	0	1	7	tikbb006	-1	0	9	
ikbb007	1	700600	154	Улучшенный Магнитный Ускоритель Огня 	6	5	6	0	11000	50	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	7	tikbb007	-1	0	9	
ikbb008	1	700600	154	Улучшенный Магнитный Ускоритель Воды 	6	5	6	0	11000	50	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	7	tikbb008	-1	0	9	
ikbb009	1	700600	154	Улучшенный Магнитный Ускоритель Земли 	6	5	6	0	11000	50	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	7	tikbb009	-1	0	9	
ikbb010	1	700600	154	Улучшенный Магнитный Ускоритель Воздуха 	6	5	6	0	11000	50	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	7	tikbb010	-1	0	9	
ikbb011	1	70060A	142	Накидка Гражданина Федерации11	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb011	-1	0	0	
ikbpc01	1	700600	202	Премиум Антиграв	6	5	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	27	10	0	0	0	0	0	0	0	1	0	0	0	1	0	tikbpc01	-1	0	9	
ikbb013	1	700601	217	Золотой Магнитный Ускоритель 	6	0	6	0	11000	40	-1	0	-1	-1	-1	-1	0	100	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	tikbb013	-1	0	9	
ikbb014	0	70060D	0	Накидка Гражданина Федерации14	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb014	-1	0	0	
