clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	long	dword	dword	dword	dword	dword	byte	byte	byte	byte	byte	byte	byte	byte	dword	byte	byte	byte	byte	byte	byte	byte	byte	float	float	float	float	dword	dword	word	word	word	word	dword	END
Code	Name	Model	IconID	Civil	ListID	Money	none	StdPrice	StdPoint	GoldPoint	ProcPoint	KillPoint	StorePrice	IsExchange	IsSell	IsGround	IsStore	Descripton	IsExist	IsCash	IsTime	UpLvLim	ItemGrade	25	none	27	none	LvLim	none	none	none	none	none	none	none	none	EffNum	EffCode1	EffCode2	EffCode3	EffCode4	none	none	none	EffUnit1	EffUnit2	EffUnit3	EffUnit4	none	ClassGradeLim	fire	water	soil	wind	none	
iibba01	Узкое Кольцо Огня Альфа 	700900	61	11000	9	1	0	60	0	0	0	0	1200	1	1	1	1	114	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
iibba02	Узкое Кольцо Огня Бета 	700901	61	11000	9	1	0	60	0	0	0	0	1200	1	1	1	1	115	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	
iibba03	Узкое Кольцо Огня Сигма 	700902	61	11000	9	1	0	60	0	0	0	0	1200	1	1	1	1	116	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	
iibba04	Узкое Кольцо Огня Дельта 	700903	61	11000	9	1	0	60	0	0	0	0	1200	1	1	1	1	117	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	
iibba05	Узкое Кольцо Огня Эта 	700904	61	11000	9	1	0	60	0	0	0	0	1200	1	1	1	1	118	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	
iibba06	Узкое Кольцо Огня Тета 	700905	61	11000	9	1	0	60	0	0	0	0	1200	1	1	1	1	119	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	
iibba07	Узкое Кольцо Огня Гамма 	700906	61	11000	9	1	0	60	0	0	0	0	1200	1	1	1	1	120	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	
iibba08	Узкое Кольцо Воды Альфа 	700907	62	11000	9	1	0	60	0	0	0	0	1200	1	1	1	1	121	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
iibba09	Узкое Кольцо Воды Альфа 	700908	62	11000	9	1	0	60	0	0	0	0	1200	1	1	1	1	122	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
iibba10	Узкое Кольцо Воды Бета 	700909	62	11000	9	1	0	60	0	0	0	0	1200	1	1	1	1	123	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
iibba11	Узкое Кольцо Воды Сигма 	70090A	62	11000	9	1	0	60	0	0	0	0	1200	1	1	1	1	124	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	
