string[64]	dword	string[64]	dword	string[64]	dword	dword	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	float	float	float	dword	float	dword	float	dword	float	dword	float	dword	dword	dword	dword	dword	string[64]	dword	dword	END
Code	IsExist	Model	IconID	Name	KindClt	ItemGrade	FixPart	Civil	LvLim	UpLvLim	ClassGradeLim	Money	StdPrice	StdPoint	GoldPoint	KillPoint	ProcPoint	StorePrice	IsAbr	EffState	fire	water	soil	wind	EffCode1	EffUnit1	EffCode2	EffUnit2	EffCode3	EffUnit3	EffCode4	EffUnit4	IsSell	IsExchange	IsGround	IsStore	IsUseableNormalAcc	ToolTip	IsCash	IsTime	
iibba01	1	700900	61	Узкое Кольцо Огня Альфа 	9	0	12	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiibba01	0	0	
iibba02	1	700901	61	Узкое Кольцо Огня Бета 	9	0	12	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiibba02	0	0	
iibba03	1	700902	61	Узкое Кольцо Огня Сигма 	9	0	12	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiibba03	0	0	
iibba04	1	700903	61	Узкое Кольцо Огня Дельта 	9	0	12	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	4	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiibba04	0	0	
iibba05	1	700904	61	Узкое Кольцо Огня Эта 	9	0	12	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	5	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiibba05	0	0	
iibba06	1	700905	61	Узкое Кольцо Огня Тета 	9	0	12	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	6	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiibba06	0	0	
iibba07	1	700906	61	Узкое Кольцо Огня Гамма 	9	0	12	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	7	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiibba07	0	0	
iibba08	1	700907	62	Узкое Кольцо Воды Альфа 	9	0	12	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiibba08	0	0	
iibba09	1	700908	62	Узкое Кольцо Воды Альфа 	9	0	12	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiibba09	0	0	
iibba10	1	700909	62	Узкое Кольцо Воды Бета 	9	0	12	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiibba10	0	0	
iibba11	1	70090A	62	Узкое Кольцо Воды Сигма 	9	0	12	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	0	4	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiibba11	0	0	
iibba12	1	70090B	62	Узкое Кольцо Воды Дельта 	9	0	12	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	0	5	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiibba12	0	0	
iibba13	1	70090C	62	Узкое Кольцо Воды Эта 	9	0	12	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	0	6	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiibba13	0	0	
iibba14	1	70090D	62	Узкое Кольцо Воды Тета 	9	0	12	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	0	7	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiibba14	0	0	
iibba15	1	70090E	63	Узкое Кольцо Земли Альфа 	9	0	12	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiibba15	0	0	
iibba16	1	70090F	63	Узкое Кольцо Земли Бета 	9	0	12	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiibba16	0	0	
iibba17	1	700910	63	Узкое Кольцо Земли Сигма 	9	0	12	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiibba17	0	0	
iibba18	1	700911	63	Узкое Кольцо Земли Дельта 	9	0	12	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	0	0	4	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiibba18	0	0	
iibba19	1	700912	63	Узкое Кольцо Земли Эта 	9	0	12	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	0	0	5	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiibba19	0	0	
iibba20	1	700913	63	Узкое Кольцо Земли Тета 	9	0	12	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	0	0	6	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiibba20	0	0	
