clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	long	dword	dword	dword	dword	dword	byte	byte	byte	byte	byte	byte	byte	byte	dword	byte	byte	byte	byte	byte	byte	byte	byte	float	float	float	float	dword	dword	word	word	word	word	dword	END
Code	Name	Model	IconID	Civil	ListID	Money	none	StdPrice	StdPoint	GoldPoint	ProcPoint	KillPoint	StorePrice	IsExchange	IsSell	IsGround	IsStore	Descripton	IsExist	IsCash	IsTime	UpLvLim	ItemGrade	25	none	27	none	LvLim	none	none	none	none	none	none	none	none	EffNum	EffCode1	EffCode2	EffCode3	EffCode4	none	none	none	EffUnit1	EffUnit2	EffUnit3	EffUnit4	none	ClassGradeLim	fire	water	soil	wind	none	
iabba01	Узкий Амулет Огня Гамма(1)	700800	1	11000	10	1	0	60	0	0	0	0	1200	1	1	1	1	0	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
iabba02	Узкий Амулет Огня Бета	700801	1	11000	10	1	0	60	0	0	0	0	1200	1	1	1	1	1	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
iabba03	Узкий Амулет Огня Сигма(3)	700802	1	11000	10	1	0	60	0	0	0	0	1200	1	1	1	1	2	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	
iabba04	Узкий Амулет Огня Дельта	700803	1	11000	10	1	0	60	0	0	0	0	1200	1	1	1	1	3	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	
iabba05	Узкий Амулет Огня Эта(5)	700804	1	11000	10	1	0	60	0	0	0	0	1200	1	1	1	1	4	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	
iabba06	Узкий Амулет Огня Тета	700805	1	11000	10	1	0	60	0	0	0	0	1200	1	1	1	1	5	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	
iabba07	Узкий Амулет Огня Гамма(7)	700806	1	11000	10	1	0	60	0	0	0	0	1200	1	1	1	1	6	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	
iabba08	Узкий Амулет Воды Гамма(1)	700807	2	11000	10	1	0	60	0	0	0	0	1200	1	1	1	1	7	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
iabba09	Узкий Амулет Воды Бета	700808	2	11000	10	1	0	60	0	0	0	0	1200	1	1	1	1	8	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
iabba10	Узкий Амулет Воды Сигма(3)	700809	2	11000	10	1	0	60	0	0	0	0	1200	1	1	1	1	9	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
iabba11	Узкий Амулет Воды Дельта	70080A	2	11000	10	1	0	60	0	0	0	0	1200	1	1	1	1	10	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
iabba12	Узкий Амулет Воды Эта(5)	70080B	2	11000	10	1	0	60	0	0	0	0	1200	1	1	1	1	11	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	
iabba13	Узкий Амулет Воды Тета	70080C	2	11000	10	1	0	60	0	0	0	0	1200	1	1	1	1	12	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	
iabba14	Узкий Амулет Воды Гамма(7)	70080D	2	11000	10	1	0	60	0	0	0	0	1200	1	1	1	1	13	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	
iabba15	Узкий Амулет Земли Гамма(1)	70080E	3	11000	10	1	0	60	0	0	0	0	1200	1	1	1	1	14	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
iabba16	Узкий Амулет Земли Бета	70080F	3	11000	10	1	0	60	0	0	0	0	1200	1	1	1	1	15	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
iabba17	Узкий Амулет Земли Сигма(3)	700810	3	11000	10	1	0	60	0	0	0	0	1200	1	1	1	1	16	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	
iabba18	Узкий Амулет Земли Дельта	700811	3	11000	10	1	0	60	0	0	0	0	1200	1	1	1	1	17	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	
iabba19	Узкий Амулет Земли Эта(5)	700812	3	11000	10	1	0	60	0	0	0	0	1200	1	1	1	1	18	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	
iabba20	Узкий Амулет Земли Тета	700813	3	11000	10	1	0	60	0	0	0	0	1200	1	1	1	1	19	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	
iabba21	Узкий Амулет Земли Гамма(7)	700814	3	11000	10	1	0	60	0	0	0	0	1200	1	1	1	1	20	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	
iabba22	Узкий Амулет Ветра Гамма(1)	700815	4	11000	10	1	0	60	0	0	0	0	1200	1	1	1	1	21	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
