dword	text	END
Count	descript	
0	Огнестойкий Амулет Федерации.	
1	Огнестойкий Амулет Федерации.	
2	Огнестойкий Амулет Федерации.	
3	Огнестойкий Амулет Федерации.	
4	Огнестойкий Амулет Федерации.	
5	Огнестойкий Амулет Федерации.	
6	Огнестойкий Амулет Федерации.	
7	Водостойкий Амулет Федерации.	
8	Водостойкий Амулет Федерации.	
9	Водостойкий Амулет Федерации.	
10	Водостойкий Амулет Федерации.	
11	Водостойкий Амулет Федерации.	
12	Водостойкий Амулет Федерации.	
13	Водостойкий Амулет Федерации.	
14	Землестойкий Амулет Федерации.	
15	Землестойкий Амулет Федерации.	
16	Землестойкий Амулет Федерации.	
17	Землестойкий Амулет Федерации.	
18	Землестойкий Амулет Федерации.	
19	Землестойкий Амулет Федерации.	
20	Землестойкий Амулет Федерации.	
21	Ветростойкий Амулет Федерации.	
22	Ветростойкий Амулет Федерации.	
23	Ветростойкий Амулет Федерации.	
24	Ветростойкий Амулет Федерации.	
25	Ветростойкий Амулет Федерации.	
26	Ветростойкий Амулет Федерации.	
27	Ветростойкий Амулет Федерации.	
28	Огне- и Ветростойкий Амулет Федерации.	
29	Огне- и Ветростойкий Амулет Федерации.	
30	Огне- и Ветростойкий Амулет Федерации.	
31	Огне- и Ветростойкий Амулет Федерации.	
32	Огне- и Ветростойкий Амулет Федерации.	
33	Огне- и Ветростойкий Амулет Федерации.	
34	Огне- и Ветростойкий Амулет Федерации.	
35	Водостойкий Амулет Федерации. Максимально увеличивает SP	
36	Водостойкий Амулет Федерации. Максимально увеличивает SP	
37	Водостойкий Амулет Федерации. Максимально увеличивает SP	
38	Водостойкий Амулет Федерации. Максимально увеличивает SP	
39	Водостойкий Амулет Федерации. Максимально увеличивает SP	
40	Водостойкий Амулет Федерации. Максимально увеличивает SP	
41	Водостойкий Амулет Федерации. Максимально увеличивает SP	
42	Огнестойкий Амулет Федерации. Снижает затраты FP на использование Сил и Умений	
