string[64]	dword	string[64]	dword	string[64]	dword	dword	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	float	float	float	dword	float	dword	float	dword	float	dword	float	dword	dword	dword	dword	dword	string[64]	dword	dword	END
Code	IsExist	Model	IconID	Name	KindClt	ItemGrade	FixPart	Civil	LvLim	UpLvLim	ClassGradeLim	Money	StdPrice	StdPoint	GoldPoint	KillPoint	ProcPoint	StorePrice	IsAbr	EffState	fire	water	soil	wind	EffCode1	EffUnit1	EffCode2	EffUnit2	EffCode3	EffUnit3	EffCode4	EffUnit4	IsSell	IsExchange	IsGround	IsStore	IsUseableNormalAcc	ToolTip	IsCash	IsTime	
iabba01	1	700800	1	Узкий Амулет Огня Гамма(1)	8	0	10	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba01	0	0	
iabba02	1	700801	1	Узкий Амулет Огня Бета	8	0	10	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba02	0	0	
iabba03	1	700802	1	Узкий Амулет Огня Сигма(3)	8	0	10	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba03	0	0	
iabba04	1	700803	1	Узкий Амулет Огня Дельта	8	0	10	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	4	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba04	0	0	
iabba05	1	700804	1	Узкий Амулет Огня Эта(5)	8	0	10	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	4	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba05	0	0	
iabba06	1	700805	1	Узкий Амулет Огня Тета	8	0	10	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	5	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba06	0	0	
iabba07	1	700806	1	Узкий Амулет Огня Гамма(7)	8	0	10	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	6	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba07	0	0	
iabba08	1	700807	2	Узкий Амулет Воды Гамма(1)	8	0	10	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba08	0	0	
iabba09	1	700808	2	Узкий Амулет Воды Бета	8	0	10	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba09	0	0	
iabba10	1	700809	2	Узкий Амулет Воды Сигма(3)	8	0	10	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba10	0	0	
iabba11	1	70080A	2	Узкий Амулет Воды Дельта	8	0	10	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba11	0	0	
iabba12	1	70080B	2	Узкий Амулет Воды Эта(5)	8	0	10	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	0	4	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba12	0	0	
iabba13	1	70080C	2	Узкий Амулет Воды Тета	8	0	10	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	0	5	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba13	0	0	
iabba14	1	70080D	2	Узкий Амулет Воды Гамма(7)	8	0	10	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	0	6	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba14	0	0	
iabba15	1	70080E	3	Узкий Амулет Земли Гамма(1)	8	0	10	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba15	0	0	
iabba16	1	70080F	3	Узкий Амулет Земли Бета	8	0	10	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba16	0	0	
iabba17	1	700810	3	Узкий Амулет Земли Сигма(3)	8	0	10	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba17	0	0	
iabba18	1	700811	3	Узкий Амулет Земли Дельта	8	0	10	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba18	0	0	
iabba19	1	700812	3	Узкий Амулет Земли Эта(5)	8	0	10	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	0	0	4	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba19	0	0	
iabba20	1	700813	3	Узкий Амулет Земли Тета	8	0	10	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	0	0	5	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba20	0	0	
iabba21	1	700814	3	Узкий Амулет Земли Гамма(7)	8	0	10	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	0	0	6	0	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba21	0	0	
iabba22	1	700815	4	Узкий Амулет Ветра Гамма(1)	8	0	10	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba22	0	0	
iabba23	1	700816	4	Узкий Амулет Ветра Бета	8	0	10	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba23	0	0	
iabba24	1	700817	4	Узкий Амулет Ветра Сигма(3)	8	0	10	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba24	0	0	
iabba25	1	700818	4	Узкий Амулет Ветра Дельта	8	0	10	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	0	0	0	4	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba25	0	0	
iabba26	1	700819	4	Узкий Амулет Ветра Эта(5)	8	0	10	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	0	0	0	4	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba26	0	0	
iabba27	1	70081A	4	Узкий Амулет Ветра Тета	8	0	10	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	0	0	0	5	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba27	0	0	
iabba28	1	70081B	4	Узкий Амулет Ветра Гамма(7)	8	0	10	11000	1	-1	0	1	60	0	0	0	0	1200	0	1	0	0	0	6	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba28	0	0	
iabba29	1	70081C	5	Шпринг Амулет Огня Гамма(1)	8	0	10	11000	1	-1	0	1	80	0	0	0	0	1600	0	1	2	0	0	2	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba29	0	0	
iabba30	1	70081D	5	Шпринг Амулет Огня Бета	8	0	10	11000	1	-1	0	1	80	0	0	0	0	1600	0	1	2	0	0	2	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba30	0	0	
iabba31	1	70081E	5	Шпринг Амулет Огня Сигма(3)	8	0	10	11000	1	-1	0	1	80	0	0	0	0	1600	0	1	2	0	0	2	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba31	0	0	
iabba32	1	70081F	5	Шпринг Амулет Огня Дельта	8	0	10	11000	1	-1	0	1	80	0	0	0	0	1600	0	1	2	0	0	2	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba32	0	0	
iabba33	1	700820	5	Шпринг Амулет Огня Эта(5)	8	0	10	11000	1	-1	0	1	80	0	0	0	0	1600	0	1	3	0	0	2	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba33	0	0	
iabba34	1	700821	5	Шпринг Амулет Огня Тета	8	0	10	11000	1	-1	0	1	80	0	0	0	0	1600	0	1	2	0	0	3	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba34	0	0	
iabba35	1	700822	5	Шпринг Амулет Огня Гамма(7)	8	0	10	11000	1	-1	0	1	80	0	0	0	0	1600	0	1	3	0	0	3	0	0	0	0	0	0	0	0	1	1	1	1	1	tiabba35	0	0	
iabba36	1	700823	10	Остерегающий Амулет Воды Гамма(1)	8	0	10	11000	1	-1	0	1	100	0	0	0	0	2000	0	1	0	3	0	0	1	0,300000012	0	0	0	0	0	0	1	1	1	1	1	tiabba36	0	0	
iabba37	1	700824	10	Остерегающий Амулет Воды Бета	8	0	10	11000	1	-1	0	1	100	0	0	0	0	2000	0	1	0	4	0	0	1	0,300000012	0	0	0	0	0	0	1	1	1	1	1	tiabba37	0	0	
iabba38	1	700825	10	Остерегающий Амулет Воды Сигма(3)	8	0	10	11000	1	-1	0	1	100	0	0	0	0	2000	0	1	0	5	0	0	1	0,300000012	0	0	0	0	0	0	1	1	1	1	1	tiabba38	0	0	
iabba39	1	700826	10	Остерегающий Амулет Воды Дельта	8	0	10	11000	1	-1	0	1	100	0	0	0	0	2000	0	1	0	3	0	0	1	0,5	0	0	0	0	0	0	1	1	1	1	1	tiabba39	0	0	
iabba40	1	700827	10	Остерегающий Амулет Воды Эта(5)	8	0	10	11000	1	-1	0	1	100	0	0	0	0	2000	0	1	0	3	0	0	1	0,5	0	0	0	0	0	0	1	1	1	1	1	tiabba40	0	0	
iabba41	1	700828	10	Остерегающий Амулет Воды Тета	8	0	10	11000	1	-1	0	1	100	0	0	0	0	2000	0	1	0	5	0	0	1	0,5	0	0	0	0	0	0	1	1	1	1	1	tiabba41	0	0	
iabba42	1	700829	10	Остерегающий Амулет Воды Гамма(7)	8	0	10	11000	1	-1	0	1	100	0	0	0	0	2000	0	1	0	5	0	0	1	0,5	0	0	0	0	0	0	1	1	1	1	1	tiabba42	0	0	
iabba43	1	70082A	9	Остерегающий Амулет Огня Гамма(1)	8	0	10	11000	1	-1	0	1	100	0	0	0	0	2000	0	1	3	0	0	0	2	-0,050000001	0	0	0	0	0	0	1	1	1	1	1	tiabba43	0	0	
iabba44	1	70082B	9	Остерегающий Амулет Огня Бета	8	0	10	11000	1	-1	0	1	100	0	0	0	0	2000	0	1	4	0	0	0	2	-0,050000001	0	0	0	0	0	0	1	1	1	1	1	tiabba44	0	0	
iabba45	1	70082C	9	Остерегающий Амулет Огня Сигма(3)	8	0	10	11000	1	-1	0	1	100	0	0	0	0	2000	0	1	5	0	0	0	2	-0,079999998	0	0	0	0	0	0	1	1	1	1	1	tiabba45	0	0	
iabba46	1	70082D	9	Остерегающий Амулет Огня Дельта	8	0	10	11000	1	-1	0	1	100	0	0	0	0	2000	0	1	3	0	0	0	2	-0,100000001	0	0	0	0	0	0	1	1	1	1	1	tiabba46	0	0	
iabba47	1	70082E	9	Остерегающий Амулет Огня Эта(5)	8	0	10	11000	1	-1	0	1	100	0	0	0	0	2000	0	1	3	0	0	0	2	-0,050000001	0	0	0	0	0	0	1	1	1	1	1	tiabba47	0	0	
iabba48	1	70082F	9	Остерегающий Амулет Огня Тета	8	0	10	11000	1	-1	0	1	100	0	0	0	0	2000	0	1	5	0	0	0	2	-0,079999998	0	0	0	0	0	0	1	1	1	1	1	tiabba48	0	0	
iabba49	1	700830	9	Остерегающий Амулет Огня Гамма(7)	8	0	10	11000	1	-1	0	1	100	0	0	0	0	2000	0	1	5	0	0	0	2	-0,100000001	0	0	0	0	0	0	1	1	1	1	1	tiabba49	0	0	
iabba50	1	700831	11	Остерегающий Амулет Земли Гамма(1)	8	0	10	11000	1	-1	0	1	100	0	0	0	0	2000	0	1	0	0	3	0	4	5	0	0	0	0	0	0	1	1	1	1	1	tiabba50	0	0	
iabba51	1	700832	11	Остерегающий Амулет Земли Бета	8	0	10	11000	1	-1	0	1	100	0	0	0	0	2000	0	1	0	0	4	0	4	5	0	0	0	0	0	0	1	1	1	1	1	tiabba51	0	0	
iabba52	1	700833	11	Остерегающий Амулет Земли Сигма(3)	8	0	10	11000	1	-1	0	1	100	0	0	0	0	2000	0	1	0	0	5	0	4	5	0	0	0	0	0	0	1	1	1	1	1	tiabba52	0	0	
iabba53	1	700834	11	Остерегающий Амулет Земли Дельта	8	0	10	11000	1	-1	0	1	100	0	0	0	0	2000	0	1	0	0	3	0	4	10	0	0	0	0	0	0	1	1	1	1	1	tiabba53	0	0	
iabba54	1	700835	11	Остерегающий Амулет Земли Эта(5)	8	0	10	11000	1	-1	0	1	100	0	0	0	0	2000	0	1	0	0	3	0	4	10	0	0	0	0	0	0	1	1	1	1	1	tiabba54	0	0	
iabba55	1	700836	11	Остерегающий Амулет Земли Тета	8	0	10	11000	1	-1	0	1	100	0	0	0	0	2000	0	1	0	0	5	0	4	10	0	0	0	0	0	0	1	1	1	1	1	tiabba55	0	0	
iabba56	1	700837	11	Остерегающий Амулет Земли Гамма(7)	8	0	10	11000	1	-1	0	1	100	0	0	0	0	2000	0	1	0	0	5	0	4	10	0	0	0	0	0	0	1	1	1	1	1	tiabba56	0	0	
iabba57	1	700838	12	Остерегающий Амулет Ветра Гамма(1)	8	0	10	11000	1	-1	0	1	100	0	0	0	0	2000	0	1	0	0	0	3	7	0,050000001	0	0	0	0	0	0	1	1	1	1	1	tiabba57	0	0	
