clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	long	byte	byte	byte	byte	float	dword	bttype	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	xeh	dword	effbttype	dword	END
Code	Name	Model	Icon	Civil	ListID	Money	none	StdPrice	StdPoint	GoldPoint	ProcPoint	KillPoint	StorePrice	IsExchange	IsSell	IsGround	IsStore	Description	IsExist	IsCash	IsTime	UpLvLim	Property	none	none	none	GAAF	DurUnit	BulletType	none	none	none	none	none	none	none	none	none	none	none	EffectIndex	none	EffBulletType	none	
ibbow01	Стрела	A20400	1	11111	11	0	0	400	0	0	0	0	20	1	1	1	1	0	1	0	0	-1	-1	0	0	0	1	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow02	Огненная Стрела	A20401	2	11111	11	0	0	400	0	0	0	0	20	1	1	1	1	1	1	0	0	-1	0	0	0	0	1	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow03	Ледяная Стрела	A20402	3	11111	11	0	0	400	0	0	0	0	20	1	1	1	1	2	1	0	0	-1	1	0	0	0	1	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow04	Сланцевая Стрела	A20403	4	11111	11	0	0	400	0	0	0	0	20	1	1	1	1	3	1	0	0	-1	2	0	0	0	1	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow05	Керамитовая Стрела	A20404	5	11111	11	0	0	400	0	0	0	0	20	1	1	1	1	4	1	0	0	-1	-1	0	0	0	1	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow06	Ураганная Стрела	A20405	6	11111	11	0	0	400	0	0	0	0	20	1	1	1	1	5	1	0	0	-1	3	0	0	0	1	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow07	Взрывная Стрела	A20406	7	11111	11	0	0	500	0	0	0	0	25	1	1	1	1	6	1	0	0	-1	0	0	0	0	1	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow08	Болт	A20407	8	11111	11	0	0	400	0	0	0	0	20	1	1	1	1	7	1	0	0	-1	-1	0	0	0	1	100	B	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow09	Огненный Болт	A20408	9	11111	11	0	0	400	0	0	0	0	20	1	1	1	1	8	1	0	0	-1	0	0	0	0	1	100	B	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow10	Ледяной Болт	A20409	10	11111	11	0	0	400	0	0	0	0	20	1	1	1	1	9	1	0	0	-1	1	0	0	0	1	100	B	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow11	Сланцевый Болт	A2040A	11	11111	11	0	0	400	0	0	0	0	20	1	1	1	1	10	1	0	0	-1	2	0	0	0	1	100	B	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow12	Керамитовый Болт	A2040B	12	11111	11	0	0	400	0	0	0	0	20	1	1	1	1	11	1	0	0	-1	-1	0	0	0	1	100	B	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow13	Ураганный Болт	A2040C	13	11111	11	0	0	400	0	0	0	0	20	1	1	1	1	12	1	0	0	-1	3	0	0	0	1	100	B	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow14	Взрывной Болт	A2040D	14	11111	11	0	0	500	0	0	0	0	25	1	1	1	1	13	1	0	0	-1	0	0	0	0	1	100	B	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow15	Энергоэлемент	A2040E	15	11111	11	0	0	400	0	0	0	0	20	1	1	1	1	14	1	0	0	-1	-1	0	0	0	1	100	CD	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow16	Энергоэлемент Mk.II	A2040F	16	11111	11	0	0	400	0	0	0	0	20	1	1	1	1	15	1	0	0	-1	-1	0	0	0	1,25	100	CD	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow17	Колчан Стрел	A20410	1	11111	11	0	0	2000	0	0	0	0	100	1	1	1	1	16	1	0	0	-1	-1	0	0	0	1	500	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow18	Колчан Огненных Стрел	A20411	2	11111	11	0	0	2000	0	0	0	0	100	1	1	1	1	17	1	0	0	-1	0	0	0	0	1	500	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow19	Колчан Ледяных Стрел	A20412	3	11111	11	0	0	2000	0	0	0	0	100	1	1	1	1	18	1	0	0	-1	1	0	0	0	1	500	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow20	Колчан Сланцевых Стрел	A20413	4	11111	11	0	0	2000	0	0	0	0	100	1	1	1	1	19	1	0	0	-1	2	0	0	0	1	500	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow21	Колчан Керамитовых Стрел	A20414	5	11111	11	0	0	2000	0	0	0	0	100	1	1	1	1	20	1	0	0	-1	-1	0	0	0	1	500	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow22	Колчан Ураганных Стрел	A20415	6	11111	11	0	0	2000	0	0	0	0	100	1	1	1	1	21	1	0	0	-1	3	0	0	0	1	500	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow23	Колчан Взрывных Стрел	A20416	7	11111	11	0	0	2500	0	0	0	0	125	1	1	1	1	22	1	0	0	-1	0	0	0	0	1	500	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow24	Колчан Болтов	A20417	8	11111	11	0	0	2000	0	0	0	0	100	1	1	1	1	23	1	0	0	-1	-1	0	0	0	1	500	B	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow25	Колчан Огненных Болтов	A20418	9	11111	11	0	0	2000	0	0	0	0	100	1	1	1	1	24	1	0	0	-1	0	0	0	0	1	500	B	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow26	Колчан Ледяных Болтов	A20419	10	11111	11	0	0	2000	0	0	0	0	100	1	1	1	1	25	1	0	0	-1	1	0	0	0	1	500	B	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow27	Колчан Сланцевых Болтов	A2041A	11	11111	11	0	0	2000	0	0	0	0	100	1	1	1	1	26	1	0	0	-1	2	0	0	0	1	500	B	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow28	Колчан Керамитовых Болтов	A2041B	12	11111	11	0	0	2000	0	0	0	0	100	1	1	1	1	27	1	0	0	-1	-1	0	0	0	1	500	B	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow29	Колчан Ураганных Болтов	A2041C	13	11111	11	0	0	2000	0	0	0	0	100	1	1	1	1	28	1	0	0	-1	3	0	0	0	1	500	B	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow30	Колчан Взрывных Болтов	A2041D	14	11111	11	0	0	2500	0	0	0	0	125	1	1	1	1	29	1	0	0	-1	0	0	0	0	1	500	B	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow31	Заряженный Энергоэлемент	A2041E	15	11111	11	0	0	2000	0	0	0	0	100	1	1	1	1	30	1	0	0	-1	-1	0	0	0	1	500	CD	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow32	Заряженный Энергоэлемент Mk.II	A2041F	16	11111	11	0	0	2000	0	0	0	0	100	1	1	1	1	31	1	0	0	-1	-1	0	0	0	1,25	500	CD	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow33	Сумка Стрел	A20420	1	11111	11	0	0	120000	0	0	0	0	6000	1	1	1	0	32	1	0	0	-1	-1	0	0	0	1	30000	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
