dword	text	END
Count	Desc	
0	Стандартные стрелы	
1	Наиболее эффективны против противников, уязвимых к силе Огня	
2	Наиболее эффективны против противников, уязвимых к силе Воды	
3	Наиболее эффективны против противников, уязвимых к силе Земли	
4	Наиболее эффективны против бронированных противников.	
5	Наиболее эффективны против противников, уязвимых к силе Воздуха	
6	Наиболее эффективны против противников, уязвимых к силе Огня	
7	Стандартные болты	
8	Наиболее эффективны против противников, уязвимых к силе Огня	
9	Наиболее эффективны против противников, уязвимых к силе Воды	
10	Наиболее эффективны против противников, уязвимых к силе Земли	
11	Наиболее эффективны против бронированных противников.	
12	Наиболее эффективны против противников, уязвимых к силе Воздуха	
13	Наиболее эффективны против противников, уязвимых к силе Огня	
14	Используется в энергооружии	
15	Используется в энергооружии	
16	Стандартные стрелы	
17	Наиболее эффективны против противников, уязвимых к силе Огня	
18	Наиболее эффективны против противников, уязвимых к силе Воды	
19	Наиболее эффективны против противников, уязвимых к силе Земли	
20	Наиболее эффективны против бронированных противников.	
21	Наиболее эффективны против противников, уязвимых к силе Воздуха	
22	Наиболее эффективны против противников, уязвимых к силе Огня	
23	Стандартные болты	
24	Наиболее эффективны против противников, уязвимых к силе Огня	
25	Наиболее эффективны против противников, уязвимых к силе Воды	
26	Наиболее эффективны против противников, уязвимых к силе Земли	
27	Наиболее эффективны против бронированных противников.	
28	Наиболее эффективны против противников, уязвимых к силе Воздуха	
29	Наиболее эффективны против противников, уязвимых к силе Огня	
30	Используется в энергооружии	
31	Используется в энергооружии	
32	Стандартные стрелы	
33	Наиболее эффективны против противников, уязвимых к силе Огня	
34	Наиболее эффективны против противников, уязвимых к силе Воды	
35	Наиболее эффективны против противников, уязвимых к силе Земли	
36	Наиболее эффективны против бронированных противников.	
37	Наиболее эффективны против противников, уязвимых к силе Воздуха	
38	Наиболее эффективны против противников, уязвимых к силе Огня	
39	Стандартные болты	
40	Наиболее эффективны против противников, уязвимых к силе Огня	
41	Наиболее эффективны против противников, уязвимых к силе Воды	
42	Наиболее эффективны против противников, уязвимых к силе Земли	
43	Наиболее эффективны против бронированных противников.	
44	Наиболее эффективны против противников, уязвимых к силе Воздуха	
45	Наиболее эффективны против противников, уязвимых к силе Огня	
46	Используется в энергооружии	
47	Используется в энергооружии	
48	Заряд1	
49	Заряд1	
50	Заряд1	
51	Заряд1	
52	Заряд1	
53	Заряд1	
54	Заряд1	
55	Заряд1	
56	Заряд1	
57	Заряд1	
58	Заряд1	
59	Заряд1	
60	Заряд1	
61	Заряд1	
62	Заряд1	
63	Заряд1	
64	Заряд1	
65	Заряд1	
66	Заряд1	
67	Заряд1	
68	Заряд1	
69	Заряд1	
70	Заряд1	
71	Заряд1	
72	Заряд1	
73	Заряд1	
74	Заряд1	
75	Заряд1	
76	Заряд1	
77	Заряд1	
78	Заряд1	
79	Заряд1	
80	Заряд1	
81	Заряд1	
82	Заряд1	
83	Заряд1	
84	Заряд1	
85	Заряд1	
86	Заряд1	
87	Заряд1	
88	Заряд1	
89	Заряд1	
90	Заряд1	
91	Заряд1	
92	Заряд1	
93	Заряд1	
94	Заряд1	
95	Заряд1	
96	Заряд1	
97	Заряд1	
98	Заряд1	
99	Специальные стрелы предназначенные для новичков. Вы не можете продать их или обменяться с другими игроками	
100	Используется в огнестрельном оружии	
101	Наиболее эффективен против противников, уязвимых к силе Воздуха	
102	Используется в энергооружии	
103	Используется в энергооружии	
104	Используется в огнестрельном оружии	
105	Наиболее эффективен против противников, уязвимых к силе Земли	
106	Наиболее эффективен против противников, уязвимых к силе Огня	
107	Наносит урон выбранной цели, а также всем врагам вокруг	
108	Наносит урон выбранной цели, а также всем врагам вокруг	
109	Наносит урон выбранной цели, а также всем врагам вокруг	
110	Наносит урон выбранной цели, а также всем врагам вокруг	
111	Наносит урон выбранной цели, а также всем врагам вокруг	
112	Наносит существенный урон выбранной цели	
113	Наносит существенный урон выбранной цели	
