string[64]	dword	string[64]	dword	string[64]	dword	dword	string[64]	string[64]	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	dword	float	float	float	float	float	string[64]	dword	dword	dword	dword	dword	dword	string[64]	dword	dword	dword	END
Code	IsExist	Model	Icon	Name	KindClt	FixPart	Civil	BulletType	EffBulletType	LvLim	UpLvLim	Money	StdPrice	StdPoint	GoldPoint	KillPoint	ProcPoint	StorePrice	DurUnit	EquipSpeed	EffectGroup	Property	fire	water	soil	wind	GAAF	EffectIndex	IsSell	IsExchange	IsGround	IsStore	IsNormAcc	Upgarde	ToolTip	IsCash	UsePCCash	IsTime	
ibbow01	1	A20400	1	Стрела	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1	-1	1	1	1	1	1	0	tibbow01	0	0	0	
ibbow02	1	A20401	2	Огненная Стрела	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	0	0	0	0	0	1	-1	1	1	1	1	1	0	tibbow02	0	0	0	
ibbow03	1	A20402	3	Ледяная Стрела	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	1	0	0	0	0	1	-1	1	1	1	1	1	0	tibbow03	0	0	0	
ibbow04	1	A20403	4	Сланцевая Стрела	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	2	0	0	0	0	1	-1	1	1	1	1	1	0	tibbow04	0	0	0	
ibbow05	1	A20404	5	Керамитовая Стрела	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1	-1	1	1	1	1	1	0	tibbow05	0	0	0	
ibbow06	1	A20405	6	Ураганная Стрела	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	3	0	0	0	0	1	-1	1	1	1	1	1	0	tibbow06	0	0	0	
ibbow07	1	A20406	7	Взрывная Стрела	204	200	11111	A	-1	1	-1	0	500	0	0	0	0	25	100	1	6	0	0	0	0	0	1	-1	1	1	1	1	1	0	tibbow07	0	0	0	
ibbow08	1	A20407	8	Болт	204	200	11111	B	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1	-1	1	1	1	1	1	0	tibbow08	0	0	0	
ibbow09	1	A20408	9	Огненный Болт	204	200	11111	B	-1	1	-1	0	400	0	0	0	0	20	100	1	0	0	0	0	0	0	1	-1	1	1	1	1	1	0	tibbow09	0	0	0	
ibbow10	1	A20409	10	Ледяной Болт	204	200	11111	B	-1	1	-1	0	400	0	0	0	0	20	100	1	0	1	0	0	0	0	1	-1	1	1	1	1	1	0	tibbow10	0	0	0	
ibbow11	1	A2040A	11	Сланцевый Болт	204	200	11111	B	-1	1	-1	0	400	0	0	0	0	20	100	1	0	2	0	0	0	0	1	-1	1	1	1	1	1	0	tibbow11	0	0	0	
ibbow12	1	A2040B	12	Керамитовый Болт	204	200	11111	B	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1	-1	1	1	1	1	1	0	tibbow12	0	0	0	
ibbow13	1	A2040C	13	Ураганный Болт	204	200	11111	B	-1	1	-1	0	400	0	0	0	0	20	100	1	0	3	0	0	0	0	1	-1	1	1	1	1	1	0	tibbow13	0	0	0	
ibbow14	1	A2040D	14	Взрывной Болт	204	200	11111	B	-1	1	-1	0	500	0	0	0	0	25	100	1	6	0	0	0	0	0	1	-1	1	1	1	1	1	0	tibbow14	0	0	0	
ibbow15	1	A2040E	15	Энергоэлемент	204	200	11111	CD	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1	-1	1	1	1	1	1	0	tibbow15	0	0	0	
ibbow16	1	A2040F	16	Энергоэлемент Mk.II	204	200	11111	CD	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	1	1	0	tibbow16	0	0	0	
ibbow17	1	A20410	1	Колчан Стрел	204	200	11111	A	-1	1	-1	0	2000	0	0	0	0	100	500	1	0	-1	0	0	0	0	1	-1	1	1	1	1	1	0	tibbow17	0	0	0	
ibbow18	1	A20411	2	Колчан Огненных Стрел	204	200	11111	A	-1	1	-1	0	2000	0	0	0	0	100	500	1	0	0	0	0	0	0	1	-1	1	1	1	1	1	0	tibbow18	0	0	0	
ibbow19	1	A20412	3	Колчан Ледяных Стрел	204	200	11111	A	-1	1	-1	0	2000	0	0	0	0	100	500	1	0	1	0	0	0	0	1	-1	1	1	1	1	1	0	tibbow19	0	0	0	
ibbow20	1	A20413	4	Колчан Сланцевых Стрел	204	200	11111	A	-1	1	-1	0	2000	0	0	0	0	100	500	1	0	2	0	0	0	0	1	-1	1	1	1	1	1	0	tibbow20	0	0	0	
ibbow21	1	A20414	5	Колчан Керамитовых Стрел	204	200	11111	A	-1	1	-1	0	2000	0	0	0	0	100	500	1	0	-1	0	0	0	0	1	-1	1	1	1	1	1	0	tibbow21	0	0	0	
ibbow22	1	A20415	6	Колчан Ураганных Стрел	204	200	11111	A	-1	1	-1	0	2000	0	0	0	0	100	500	1	0	3	0	0	0	0	1	-1	1	1	1	1	1	0	tibbow22	0	0	0	
ibbow23	1	A20416	7	Колчан Взрывных Стрел	204	200	11111	A	-1	1	-1	0	2500	0	0	0	0	125	500	1	6	0	0	0	0	0	1	-1	1	1	1	1	1	0	tibbow23	0	0	0	
ibbow24	1	A20417	8	Колчан Болтов	204	200	11111	B	-1	1	-1	0	2000	0	0	0	0	100	500	1	0	-1	0	0	0	0	1	-1	1	1	1	1	1	0	tibbow24	0	0	0	
ibbow25	1	A20418	9	Колчан Огненных Болтов	204	200	11111	B	-1	1	-1	0	2000	0	0	0	0	100	500	1	0	0	0	0	0	0	1	-1	1	1	1	1	1	0	tibbow25	0	0	0	
ibbow26	1	A20419	10	Колчан Ледяных Болтов	204	200	11111	B	-1	1	-1	0	2000	0	0	0	0	100	500	1	0	1	0	0	0	0	1	-1	1	1	1	1	1	0	tibbow26	0	0	0	
ibbow27	1	A2041A	11	Колчан Сланцевых Болтов	204	200	11111	B	-1	1	-1	0	2000	0	0	0	0	100	500	1	0	2	0	0	0	0	1	-1	1	1	1	1	1	0	tibbow27	0	0	0	
ibbow28	1	A2041B	12	Колчан Керамитовых Болтов	204	200	11111	B	-1	1	-1	0	2000	0	0	0	0	100	500	1	0	-1	0	0	0	0	1	-1	1	1	1	1	1	0	tibbow28	0	0	0	
ibbow29	1	A2041C	13	Колчан Ураганных Болтов	204	200	11111	B	-1	1	-1	0	2000	0	0	0	0	100	500	1	0	3	0	0	0	0	1	-1	1	1	1	1	1	0	tibbow29	0	0	0	
ibbow30	1	A2041D	14	Колчан Взрывных Болтов	204	200	11111	B	-1	1	-1	0	2500	0	0	0	0	125	500	1	6	0	0	0	0	0	1	-1	1	1	1	1	1	0	tibbow30	0	0	0	
