clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	long	dword	dword	dword	stb	dword	dword	dword	xeh	dword	dword	dword	dword	END
Code	Name	Model	IconID	Civil	ListID	Money	none	StdPrice	StdPoint	GoldPoint	ProcPoint	KillPoint	StorePrice	IsExchange	IsSell	IsGround	IsStore	Descripton	IsExist	IsCash	IsTime	UpLevelLim	LevelLim	ActDelay	UseState	ActTarget	TargetEff	DelayType	UseRange	EffCode	EffArea	EffAreaVal			
ipbhp01	Целебная Микстура HP+100	720000	1	11000	13	0	0	40	0	0	0	0	4	1	1	1	1	0	1	0	0	-1	1	1600	0	10000	-1	0	0	1	0	0	0	0	
ipbhp02	Целебная Микстура HP+250	720001	2	11000	13	0	0	100	0	0	0	0	10	1	1	1	1	1	1	0	0	-1	1	1600	0	10000	-1	0	0	2	0	0	0	0	
ipbhp03	Целебная Микстура HP+500	720002	3	11000	13	0	0	220	0	0	0	0	22	1	1	1	1	2	1	0	0	-1	1	1600	0	10000	-1	0	0	3	0	0	0	0	
ipbhp04	Целебная Микстура HP+1000	720003	4	11000	13	0	0	500	0	0	0	0	50	1	1	1	1	3	1	0	0	-1	1	1800	0	10000	-1	0	0	4	0	0	0	0	
ipbhp05	Целебная Микстура HP+2000	720004	5	11000	13	0	0	1200	0	0	0	0	120	1	1	1	1	4	1	0	0	-1	1	2200	0	10000	-1	0	0	5	0	0	0	0	
ipbhp06	Целебная Микстура HP+3000	720005	6	11000	13	0	0	2250	0	0	0	0	225	1	1	1	1	5	1	0	0	-1	1	2500	0	10000	-1	0	0	6	0	0	0	0	
ipbhp07	Целебная Микстура HP+4000	720006	7	11000	13	0	0	5250	0	0	0	0	525	1	1	1	1	6	1	0	0	-1	1	2500	0	10000	-1	0	0	7	0	0	0	0	
ipbhp08	Целебная Микстура HP+5000	720007	8	11000	13	0	0	11257	0	0	0	0	1126	1	1	1	1	7	1	0	0	-1	1	2500	0	10000	-1	0	0	8	0	0	0	0	
ipchp01	Священное Зелье HP+100	820008	9	00110	13	0	0	40	0	0	0	0	4	1	1	1	1	8	1	0	0	-1	1	1600	0	10000	-1	0	0	9	0	0	0	0	
ipchp02	Священное Зелье HP+250	820009	10	00110	13	0	0	100	0	0	0	0	10	1	1	1	1	9	1	0	0	-1	1	1600	0	10000	-1	0	0	A	0	0	0	0	
ipchp03	Священное Зелье HP+500	82000A	11	00110	13	0	0	220	0	0	0	0	22	1	1	1	1	10	1	0	0	-1	1	1600	0	10000	-1	0	0	B	0	0	0	0	
ipchp04	Священное Зелье HP+1000	82000B	12	00110	13	0	0	500	0	0	0	0	50	1	1	1	1	11	1	0	0	-1	1	1800	0	10000	-1	0	0	C	0	0	0	0	
ipchp05	Священное Зелье HP+2000	82000C	13	00110	13	0	0	1200	0	0	0	0	120	1	1	1	1	12	1	0	0	-1	1	2200	0	10000	-1	0	0	D	0	0	0	0	
ipchp06	Священное Зелье HP+3000	82000D	14	00110	13	0	0	2250	0	0	0	0	225	1	1	1	1	13	1	0	0	-1	1	2500	0	10000	-1	0	0	E	0	0	0	0	
ipchp07	Священное Зелье HP+4000	82000E	15	00110	13	0	0	5250	0	0	0	0	525	1	1	1	1	14	1	0	0	-1	1	2500	0	10000	-1	0	0	F	0	0	0	0	
ipchp08	Священное Зелье HP+5000	82000F	16	00110	13	0	0	11257	0	0	0	0	1126	1	1	1	1	15	1	0	0	-1	1	2500	0	10000	-1	0	0	10	0	0	0	0	
ipahp01	Восстановитель HP+100	420010	17	00001	13	0	0	40	0	0	0	0	4	1	1	1	1	16	1	0	0	-1	1	1600	0	10000	-1	0	0	11	0	0	0	0	
ipahp02	Восстановитель HP+250	420011	18	00001	13	0	0	100	0	0	0	0	10	1	1	1	1	17	1	0	0	-1	1	1600	0	10000	-1	0	0	12	0	0	0	0	
ipahp03	Восстановитель HP+500	420012	19	00001	13	0	0	220	0	0	0	0	22	1	1	1	1	18	1	0	0	-1	1	1600	0	10000	-1	0	0	13	0	0	0	0	
ipahp04	Восстановитель HP+1000	420013	20	00001	13	0	0	500	0	0	0	0	50	1	1	1	1	19	1	0	0	-1	1	1800	0	10000	-1	0	0	14	0	0	0	0	
ipahp05	Восстановитель HP+2000	420014	21	00001	13	0	0	1200	0	0	0	0	120	1	1	1	1	20	1	0	0	-1	1	2200	0	10000	-1	0	0	15	0	0	0	0	
ipahp06	Восстановитель HP+3000	420015	22	00001	13	0	0	2250	0	0	0	0	225	1	1	1	1	21	1	0	0	-1	1	2500	0	10000	-1	0	0	16	0	0	0	0	
ipahp07	Восстановитель HP+4000	420016	23	00001	13	0	0	5250	0	0	0	0	525	1	1	1	1	22	1	0	0	-1	1	2500	0	10000	-1	0	0	17	0	0	0	0	
ipahp08	Восстановитель HP+5000	420017	24	00001	13	0	0	11257	0	0	0	0	1126	1	1	1	1	23	1	0	0	-1	1	2500	0	10000	-1	0	0	18	0	0	0	0	
ipbfp01	Магическая Микстура FP+50	720118	25	11000	13	0	0	40	0	0	0	0	1	1	1	1	1	24	1	0	0	-1	1	1600	0	10000	-1	1	0	19	0	0	0	0	
ipbfp02	Магическая Микстура FP+125	720119	26	11000	13	0	0	100	0	0	0	0	1	1	1	1	1	25	1	0	0	-1	1	1600	0	10000	-1	1	0	1A	0	0	0	0	
ipbfp03	Магическая Микстура FP+250	72011A	27	11000	13	0	0	220	0	0	0	0	1	1	1	1	1	26	1	0	0	-1	1	1600	0	10000	-1	1	0	1B	0	0	0	0	
ipbfp04	Магическая Микстура FP+500	72011B	28	11000	13	0	0	500	0	0	0	0	1	1	1	1	1	27	1	0	0	-1	1	1800	0	10000	-1	1	0	1C	0	0	0	0	
ipbfp05	Магическая Микстура FP+1000	72011C	29	11000	13	0	0	1200	0	0	0	0	1	1	1	1	1	28	1	0	0	-1	1	2200	0	10000	-1	1	0	1D	0	0	0	0	
ipbfp06	Магическая Микстура FP+1500	72011D	30	11000	13	0	0	2250	0	0	0	0	1	1	1	1	1	29	1	0	0	-1	1	2500	0	10000	-1	1	0	1E	0	0	0	0	
ipbfp07	Магическая Микстура FP+2000	72011E	31	11000	13	0	0	3900	0	0	0	0	1	1	1	1	1	30	1	0	0	-1	1	4000	0	10000	-1	1	0	1F	0	0	0	0	
ipbfp08	Магическая Микстура FP+2500	72011F	32	11000	13	0	0	6580	0	0	0	0	1	1	1	1	1	31	1	0	0	-1	1	5000	0	10000	-1	1	0	20	0	0	0	0	
ipcfp01	Благословенное Зелье FP+50	820120	33	00110	13	0	0	40	0	0	0	0	1	1	1	1	1	32	1	0	0	-1	1	1600	0	10000	-1	1	0	21	0	0	0	0	
ipcfp02	Благословенное Зелье FP+125	820121	34	00110	13	0	0	100	0	0	0	0	1	1	1	1	1	33	1	0	0	-1	1	1600	0	10000	-1	1	0	22	0	0	0	0	
ipcfp03	Благословенное Зелье FP+250	820122	35	00110	13	0	0	220	0	0	0	0	1	1	1	1	1	34	1	0	0	-1	1	1600	0	10000	-1	1	0	23	0	0	0	0	
ipcfp04	Благословенное Зелье FP+500	820123	36	00110	13	0	0	500	0	0	0	0	1	1	1	1	1	35	1	0	0	-1	1	1800	0	10000	-1	1	0	24	0	0	0	0	
ipcfp05	Благословенное Зелье FP+1000	820124	37	00110	13	0	0	1200	0	0	0	0	1	1	1	1	1	36	1	0	0	-1	1	2200	0	10000	-1	1	0	25	0	0	0	0	
ipcfp06	Благословенное Зелье FP+1500	820125	38	00110	13	0	0	2250	0	0	0	0	1	1	1	1	1	37	1	0	0	-1	1	2500	0	10000	-1	1	0	26	0	0	0	0	
ipcfp07	Благословенное Зелье FP+2000	820126	39	00110	13	0	0	3900	0	0	0	0	1	1	1	1	1	38	1	0	0	-1	1	4000	0	10000	-1	1	0	27	0	0	0	0	
ipcfp08	Благословенное Зелье FP+2500	820127	40	00110	13	0	0	6580	0	0	0	0	1	1	1	1	1	39	1	0	0	-1	1	5000	0	10000	-1	1	0	28	0	0	0	0	
ipafp01	Восстановитель FP+50	420128	41	00001	13	0	0	40	0	0	0	0	1	1	1	1	1	40	1	0	0	-1	1	1600	0	10000	-1	1	0	29	0	0	0	0	
ipafp02	Восстановитель FP+125	420129	42	00001	13	0	0	100	0	0	0	0	1	1	1	1	1	41	1	0	0	-1	1	1600	0	10000	-1	1	0	2A	0	0	0	0	
ipafp03	Восстановитель FP+250	42012A	43	00001	13	0	0	220	0	0	0	0	1	1	1	1	1	42	1	0	0	-1	1	1600	0	10000	-1	1	0	2B	0	0	0	0	
ipafp04	Восстановитель FP+500	42012B	44	00001	13	0	0	500	0	0	0	0	1	1	1	1	1	43	1	0	0	-1	1	1800	0	10000	-1	1	0	2C	0	0	0	0	
ipafp05	Восстановитель FP+1000	42012C	45	00001	13	0	0	1200	0	0	0	0	1	1	1	1	1	44	1	0	0	-1	1	2200	0	10000	-1	1	0	2D	0	0	0	0	
ipafp06	Восстановитель FP+1500	42012D	46	00001	13	0	0	2250	0	0	0	0	1	1	1	1	1	45	1	0	0	-1	1	2500	0	10000	-1	1	0	2E	0	0	0	0	
ipafp07	Восстановитель FP+2000	42012E	47	00001	13	0	0	3900	0	0	0	0	1	1	1	1	1	46	1	0	0	-1	1	4000	0	10000	-1	1	0	2F	0	0	0	0	
