dword	text	END
Count	desc	
0	Низкоуровневый предмет: восстанавливает HP на 100	
1	Низкоуровневый предмет: восстанавливает HP на 250	
2	Низкоуровневый предмет: восстанавливает HP на 500	
3	Среднеуровневый предмет: восстанавливает HP на 1000	
4	Среднеуровневый предмет: восстанавливает HP на 2000	
5	Среднеуровневый предмет: восстанавливает HP на 3000	
6	Высокоуровневый предмет: восстанавливает HP на 4000	
7	Высокоуровневый предмет: восстанавливает HP на 5000	
8	Низкоуровневый предмет: восстанавливает HP на 100	
9	Низкоуровневый предмет: восстанавливает HP на 250	
10	Низкоуровневый предмет: восстанавливает HP на 500	
11	Среднеуровневый предмет: восстанавливает HP на 1000	
12	Среднеуровневый предмет: восстанавливает HP на 2000	
13	Среднеуровневый предмет: восстанавливает HP на 3000	
14	Высокоуровневый предмет: восстанавливает HP на 4000	
15	Высокоуровневый предмет: восстанавливает HP на 5000	
16	Низкоуровневый предмет: восстанавливает HP на 100	
17	Низкоуровневый предмет: восстанавливает HP на 250	
18	Низкоуровневый предмет: восстанавливает HP на 500	
19	Среднеуровневый предмет: восстанавливает HP на 1000	
20	Среднеуровневый предмет: восстанавливает HP на 2000	
21	Среднеуровневый предмет: восстанавливает HP на 3000	
22	Высокоуровневый предмет: восстанавливает HP на 4000	
23	Высокоуровневый предмет: восстанавливает HP на 5000	
24	Низкоуровневый предмет: восстанавливает FP на 50	
25	Низкоуровневый предмет: восстанавливает FP на 125	
26	Низкоуровневый предмет: восстанавливает FP на 250	
27	Среднеуровневый предмет: восстанавливает FP на 500	
28	Среднеуровневый предмет: восстанавливает FP на 1000	
29	Среднеуровневый предмет: восстанавливает FP на 1500	
30	Высокоуровневый предмет: восстанавливает FP на 2000	
31	Высокоуровневый предмет: восстанавливает FP на 2500	
32	Низкоуровневый предмет: восстанавливает FP на 50	
33	Низкоуровневый предмет: восстанавливает FP на 125	
34	Низкоуровневый предмет: восстанавливает FP на 250	
35	Среднеуровневый предмет: восстанавливает FP на 500	
36	Среднеуровневый предмет: восстанавливает FP на 1000	
37	Среднеуровневый предмет: восстанавливает FP на 1500	
38	Высокоуровневый предмет: восстанавливает FP на 2000	
39	Высокоуровневый предмет: восстанавливает FP на 2500	
40	Низкоуровневый предмет: восстанавливает FP на 50	
41	Низкоуровневый предмет: восстанавливает FP на 125	
42	Низкоуровневый предмет: восстанавливает FP на 250	
43	Среднеуровневый предмет: восстанавливает FP на 500	
44	Среднеуровневый предмет: восстанавливает FP на 1000	
45	Среднеуровневый предмет: восстанавливает FP на 1500	
46	Высокоуровневый предмет: восстанавливает FP на 2000	
47	Высокоуровневый предмет: восстанавливает FP на 2500	
48	Низкоуровневый предмет: восстанавливает SP на 100	
49	Низкоуровневый предмет: восстанавливает SP на 200	
50	Среднеуровневый предмет: восстанавливает SP на 400	
51	Высокоуровневый предмет: восстанавливает SP на 800	
52	Низкоуровневый предмет: восстанавливает SP на 100	
53	Низкоуровневый предмет: восстанавливает SP на 200	
54	Среднеуровневый предмет: восстанавливает SP на 400	
55	Высокоуровневый предмет: восстанавливает SP на 800	
56	Низкоуровневый предмет: восстанавливает SP на 100	
57	Низкоуровневый предмет: восстанавливает SP на 200	
58	Среднеуровневый предмет: восстанавливает SP на 400	
59	Высокоуровневый предмет: восстанавливает SP на 800	
60	Увеличивает атаку и понижает защиту на 30 секунд	
61	Увеличивает атаку и понижает защиту на 30 секунд	
62	Увеличивает атаку и понижает защиту на 30 секунд	
63	Низкоуровневый предмет: восстанавливает HP на 100. Нельзя обмениваться с другими игроками	
64	Низкоуровневый предмет: восстанавливает HP на 100. Нельзя обмениваться с другими игроками	
65	Низкоуровневый предмет: восстанавливает HP на 100. Нельзя обмениваться с другими игроками	
66	Низкоуровневый предмет: восстанавливает FP на 50. Нельзя обмениваться с другими игроками	
67	Низкоуровневый предмет: восстанавливает FP на 50. Нельзя обмениваться с другими игроками	
68	Низкоуровневый предмет: восстанавливает FP на 50. Нельзя обмениваться с другими игроками	
69	Низкоуровневый предмет: восстанавливает SP на 100. Нельзя обмениваться с другими игроками	
70	Низкоуровневый предмет: восстанавливает SP на 100. Нельзя обмениваться с другими игроками	
71	Низкоуровневый предмет: восстанавливает SP на 100. Нельзя обмениваться с другими игроками	
72	Увеличивает сопротивляемость эффектам негативных Сил.	
73	Увеличивает сопротивляемость эффектам негативных Сил.	
74	Увеличивает сопротивляемость эффектам негативных Сил.	
75	Восстановитель, который уменьшает наполовину оставшееся время дебаффа.	
76	Целебная микстура исключительно для Беллато	
77	Целебная микстура исключительно для Беллато	
78	Целебная микстура исключительно для Беллато	
79	Целебная микстура исключительно для Беллато	
80	Целебная микстура исключительно для Беллато	
81	Целебная микстура исключительно для Беллато	
82	Целебная микстура исключительно для Беллато	
83	Целебная микстура исключительно для Беллато	
84	Священное зелье исключительно для Коры	
85	Священное зелье исключительно для Коры	
86	Священное зелье исключительно для Коры	
87	Священное зелье исключительно для Коры	
88	Священное зелье исключительно для Коры	
89	Священное зелье исключительно для Коры	
90	Священное зелье исключительно для Коры	
91	Священное зелье исключительно для Коры	
92	Восстановитель исключительно для Акретии	
93	Восстановитель исключительно для Акретии	
94	Восстановитель исключительно для Акретии	
95	Восстановитель исключительно для Акретии	
96	Восстановитель исключительно для Акретии	
97	Восстановитель исключительно для Акретии	
98	Восстановитель исключительно для Акретии	
99	Восстановитель исключительно для Акретии	
100	Низкоуровневый предмет: увеличивает HP на 100. Применяется быстрее, чем другие предметы	
101	Низкоуровневый предмет: увеличивает HP на 250. Применяется быстрее, чем другие предметы	
102	Низкоуровневый предмет: увеличивает HP на 500. Применяется быстрее, чем другие предметы	
103	Среднеуровневый предмет: увеличивает HP на 1000. Применяется быстрее, чем другие предметы	
104	Среднеуровневый предмет: увеличивает HP на 2000. Применяется быстрее, чем другие предметы	
105	Среднеуровневый предмет: увеличивает HP на 3000. Применяется быстрее, чем другие предметы	
106	Высокоуровневый предмет: увеличивает HP на 4000. Применяется быстрее, чем другие предметы	
107	Высокоуровневый предмет: увеличивает HP на 5000. Применяется быстрее, чем другие предметы	
108	Низкоуровневый предмет: увеличивает HP на 100. Применяется быстрее, чем другие предметы	
109	Низкоуровневый предмет: увеличивает HP на 250. Применяется быстрее, чем другие предметы	
110	Низкоуровневый предмет: увеличивает HP на 500. Применяется быстрее, чем другие предметы	
111	Среднеуровневый предмет: увеличивает HP на 1000. Применяется быстрее, чем другие предметы	
112	Среднеуровневый предмет: увеличивает HP на 2000. Применяется быстрее, чем другие предметы	
113	Среднеуровневый предмет: увеличивает HP на 3000. Применяется быстрее, чем другие предметы	
114	Высокоуровневый предмет: увеличивает HP на 4000. Применяется быстрее, чем другие предметы	
115	Высокоуровневый предмет: увеличивает HP на 5000. Применяется быстрее, чем другие предметы	
116	Низкоуровневый предмет: увеличивает HP на 100. Применяется быстрее, чем другие предметы	
117	Низкоуровневый предмет: увеличивает HP на 250. Применяется быстрее, чем другие предметы	
118	Низкоуровневый предмет: увеличивает HP на 500. Применяется быстрее, чем другие предметы	
119	Среднеуровневый предмет: увеличивает HP на 1000. Применяется быстрее, чем другие предметы	
120	Среднеуровневый предмет: увеличивает HP на 2000. Применяется быстрее, чем другие предметы	
121	Среднеуровневый предмет: увеличивает HP на 3000. Применяется быстрее, чем другие предметы	
122	Высокоуровневый предмет: увеличивает HP на 4000. Применяется быстрее, чем другие предметы	
123	Высокоуровневый предмет: увеличивает HP на 5000. Применяется быстрее, чем другие предметы	
124	Предмет события: моментально увеличивает HP на 500	
125	Предмет события: моментально увеличивает HP на 500 и FP на 250	
126	Предмет события: моментально увеличивает HP на 1000 и FP с SP на 500	
127	Предмет события: моментально увеличивает HP на 1000 и FP с SP на 500. Увеличивает силу атаки на 20% в течение 60 секунд	
128	Предмет события: моментально увеличивает HP на 1000 и FP с SP на 500. Увеличивает силу атаки на 20% в течение 150 секунд	
129	Предмет события: моментально увеличивает HP на 6000 и увеличивает силу атаки на 55% в течение 30 секунд	
130	Увеличивает атаку на 300 секунд	
131	Увеличивает атаку на 300 секунд	
132	Увеличивает атаку на 300 секунд	
133	Моментально увеличивает HP на 1000, FP и SP на 500	
134	Моментально увеличивает HP на 1000, FP и SP на 500. На 60 секунд увеличивает силу атаки на 20%	
135	Моментально увеличивает HP на 1000, FP и SP на 500. На 150 секунд увеличивает силу атаки на 20%	
136	На 5 минут увеличивает атаку	
137	На 5 минут увеличивает атаку	
138	На 5 минут увеличивает атаку	
139	На 5 минут увеличивает защиту	
140	На 5 минут увеличивает защиту	
