string[64]	dword	string[64]	dword	string[64]	dword	dword	string[64]	string[64]	dword	dword	string[64]	float	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	dword	dword	END
Code	IsExist	Model	IconID	Name	KindClt	FixPart	Civil	ActTarget	PotionCheck	UseState	TargetEff	ActDelay	DelayType	UseRange	LevelLim	UpLevelLim	PotionLim	MapCode1	MapCode2	MapCode3	MapCode4	MapCode5	Money	StdPrice	StdPoint	GoldPoint	KillPoint	ProcPoint	StorePrice	IsAbr	EquipSpeed	EffCode	EffArea	EffAreaVal	IsSell	IsExchange	IsGround	IsStore	IsNormAcc	IsUpgrade	ToolTip	IsCash	UsePCCash	IsTime	
ipbhp01	1	720000	1	Целебная Микстура HP+100	200	250	11000	10000	-1	0	-1	1600	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	40	0	0	0	0	4	1	1	1	0	0	1	1	1	1	1	0	tipbhp01	0	0	0	
ipbhp02	1	720001	2	Целебная Микстура HP+250	200	250	11000	10000	-1	0	-1	1600	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	100	0	0	0	0	10	1	1	2	0	0	1	1	1	1	1	0	tipbhp02	0	0	0	
ipbhp03	1	720002	3	Целебная Микстура HP+500	200	250	11000	10000	-1	0	-1	1600	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	220	0	0	0	0	22	1	1	3	0	0	1	1	1	1	1	0	tipbhp03	0	0	0	
ipbhp04	1	720003	4	Целебная Микстура HP+1000	200	250	11000	10000	-1	0	-1	1800	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	50	1	1	4	0	0	1	1	1	1	1	0	tipbhp04	0	0	0	
ipbhp05	1	720004	5	Целебная Микстура HP+2000	200	250	11000	10000	-1	0	-1	2200	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	1200	0	0	0	0	120	1	1	5	0	0	1	1	1	1	1	0	tipbhp05	0	0	0	
ipbhp06	1	720005	6	Целебная Микстура HP+3000	200	250	11000	10000	-1	0	-1	2500	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	2250	0	0	0	0	225	1	1	6	0	0	1	1	1	1	1	0	tipbhp06	0	0	0	
ipbhp07	1	720006	7	Целебная Микстура HP+4000	200	250	11000	10000	-1	0	-1	2500	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	5250	0	0	0	0	525	1	1	7	0	0	1	1	1	1	1	0	tipbhp07	0	0	0	
ipbhp08	1	720007	8	Целебная Микстура HP+5000	200	250	11000	10000	-1	0	-1	2500	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	11257	0	0	0	0	1126	1	1	8	0	0	1	1	1	1	1	0	tipbhp08	0	0	0	
ipchp01	1	820008	9	Священное Зелье HP+100	200	250	00110	10000	-1	0	-1	1600	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	40	0	0	0	0	4	1	1	9	0	0	1	1	1	1	1	0	tipchp01	0	0	0	
ipchp02	1	820009	10	Священное Зелье HP+250	200	250	00110	10000	-1	0	-1	1600	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	100	0	0	0	0	10	1	1	A	0	0	1	1	1	1	1	0	tipchp02	0	0	0	
ipchp03	1	82000A	11	Священное Зелье HP+500	200	250	00110	10000	-1	0	-1	1600	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	220	0	0	0	0	22	1	1	B	0	0	1	1	1	1	1	0	tipchp03	0	0	0	
ipchp04	1	82000B	12	Священное Зелье HP+1000	200	250	00110	10000	-1	0	-1	1800	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	50	1	1	C	0	0	1	1	1	1	1	0	tipchp04	0	0	0	
ipchp05	1	82000C	13	Священное Зелье HP+2000	200	250	00110	10000	-1	0	-1	2200	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	1200	0	0	0	0	120	1	1	D	0	0	1	1	1	1	1	0	tipchp05	0	0	0	
ipchp06	1	82000D	14	Священное Зелье HP+3000	200	250	00110	10000	-1	0	-1	2500	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	2250	0	0	0	0	225	1	1	E	0	0	1	1	1	1	1	0	tipchp06	0	0	0	
ipchp07	1	82000E	15	Священное Зелье HP+4000	200	250	00110	10000	-1	0	-1	2500	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	5250	0	0	0	0	525	1	1	F	0	0	1	1	1	1	1	0	tipchp07	0	0	0	
ipchp08	1	82000F	16	Священное Зелье HP+5000	200	250	00110	10000	-1	0	-1	2500	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	11257	0	0	0	0	1126	1	1	10	0	0	1	1	1	1	1	0	tipchp08	0	0	0	
ipahp01	1	420010	17	Восстановитель HP+100	200	250	00001	10000	-1	0	-1	1600	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	40	0	0	0	0	4	1	1	11	0	0	1	1	1	1	1	0	tipahp01	0	0	0	
ipahp02	1	420011	18	Восстановитель HP+250	200	250	00001	10000	-1	0	-1	1600	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	100	0	0	0	0	10	1	1	12	0	0	1	1	1	1	1	0	tipahp02	0	0	0	
ipahp03	1	420012	19	Восстановитель HP+500	200	250	00001	10000	-1	0	-1	1600	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	220	0	0	0	0	22	1	1	13	0	0	1	1	1	1	1	0	tipahp03	0	0	0	
ipahp04	1	420013	20	Восстановитель HP+1000	200	250	00001	10000	-1	0	-1	1800	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	50	1	1	14	0	0	1	1	1	1	1	0	tipahp04	0	0	0	
ipahp05	1	420014	21	Восстановитель HP+2000	200	250	00001	10000	-1	0	-1	2200	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	1200	0	0	0	0	120	1	1	15	0	0	1	1	1	1	1	0	tipahp05	0	0	0	
