clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	byte	byte	word	dword	dword	dword	END
Code	Name	Model	Icon	Civil	ListID	Money	none	StdPrice	StdPoint	GoldPoint	ProcPoint	KillPoint	StorePrice	IsExchange	IsSell	IsGround	IsStore	Descript	IsExist	IsCash	IsTime	UpLvLim	MinCRandom	MaxCRandom	none	ProcessPrice	OreList	hz	
ioblu03	Синяя Руда+3	A30000	1	11111	16	0	0	1200	0	0	0	0	120	1	1	0	0	0	1	0	0	0	1	4	0	2680	0	0	
ioblu02	Синяя Руда+2	A30001	2	11111	16	0	0	960	0	0	0	0	96	1	1	0	0	1	1	0	0	0	1	3	0	2140	0	0	
ioblu01	Синяя Руда+1	A30002	3	11111	16	0	0	720	0	0	0	0	72	1	1	0	0	2	1	0	0	0	1	2	0	1610	0	0	
iored03	Красная Руда+3	A30003	4	11111	16	0	0	1200	0	0	0	0	120	1	1	0	0	3	1	0	0	0	1	4	0	2680	1	0	
iored02	Красная Руда+2	A30004	5	11111	16	0	0	960	0	0	0	0	96	1	1	0	0	4	1	0	0	0	1	3	0	2140	1	0	
iored01	Красная Руда+1	A30005	6	11111	16	0	0	720	0	0	0	0	72	1	1	0	0	5	1	0	0	0	1	2	0	1610	1	0	
ioyel03	Желтая Руда+3	A30006	7	11111	16	0	0	1200	0	0	0	0	120	1	1	0	0	6	1	0	0	0	1	4	0	2680	2	0	
ioyel02	Желтая руда+2	A30007	8	11111	16	0	0	960	0	0	0	0	96	1	1	0	0	7	1	0	0	0	1	3	0	2140	2	0	
ioyel01	Желтая Руда+1	A30008	9	11111	16	0	0	720	0	0	0	0	72	1	1	0	0	8	1	0	0	0	1	2	0	1610	2	0	
iogre03	Зеленая Руда+3	A30009	10	11111	16	0	0	1200	0	0	0	0	120	1	1	0	0	9	1	0	0	0	1	4	0	2680	3	0	
iogre02	Зеленая Руда+2	A3000A	11	11111	16	0	0	960	0	0	0	0	96	1	1	0	0	10	1	0	0	0	1	3	0	2140	3	0	
iogre01	Зеленая Руда+1	A3000B	12	11111	16	0	0	720	0	0	0	0	72	1	1	0	0	11	1	0	0	0	1	2	0	1610	3	0	
iobla03	Черная Руда+3	A3000C	13	11111	16	0	0	1200	0	0	0	0	120	1	1	0	0	12	1	0	0	0	1	4	0	2680	4	0	
iobla02	Черная Руда+2	A3000D	14	11111	16	0	0	960	0	0	0	0	96	1	1	0	0	13	1	0	0	0	1	3	0	2140	4	0	
iobla01	Черная Руда+1	A3000E	15	11111	16	0	0	720	0	0	0	0	72	1	1	0	0	14	1	0	0	0	1	2	0	1610	4	0	
ioblu04	Синяя Руда+4	A3000F	16	11111	16	0	0	1	0	0	0	0	0	1	1	0	0	15	1	0	0	0	1	3	0	6850	0	0	
iored04	Красная Руда+4	A30010	17	11111	16	0	0	1	0	0	0	0	0	1	1	0	0	16	1	0	0	0	1	3	0	6850	1	0	
ioyel04	Желтая Руда+4	A30011	18	11111	16	0	0	1	0	0	0	0	0	1	1	0	0	17	1	0	0	0	1	3	0	6850	2	0	
iogre04	Зеленая Руда+4	A30012	19	11111	16	0	0	1	0	0	0	0	0	1	1	0	0	18	1	0	0	0	1	3	0	6850	3	0	
iobla04	Черная Руда+4	A30013	20	11111	16	0	0	1	0	0	0	0	0	1	1	0	0	19	1	0	0	0	1	3	0	6850	4	0	
iogld01	Коробочка с  Купоном	A30012	21	11111	16	0	0	1	0	0	0	0	0	1	1	0	0	20	1	0	0	0	0	0	0	6850	5	0	
iogld02	Сверкающая Золотая Коробочка	A30012	22	11111	16	0	0	1	0	0	0	0	0	1	1	0	0	21	1	0	0	0	0	0	0	6850	5	0	
