dword	text	END
Count	Desc	
0	Добытую руду можно либо продать, либо очистить. В последнем случае из нее можно получить: производственные материалы, талики и драгоценные камни для модификации, изумруды.	
1	Добытую руду можно либо продать, либо очистить. В последнем случае из нее можно получить: производственные материалы, талики и драгоценные камни для модификации, изумруды.	
2	Добытую руду можно либо продать, либо очистить. В последнем случае из нее можно получить: производственные материалы, талики и драгоценные камни для модификации, изумруды.	
3	Добытую руду можно либо продать, либо очистить. В последнем случае из нее можно получить: производственные материалы, талики и драгоценные камни для модификации, изумруды.	
4	Добытую руду можно либо продать, либо очистить. В последнем случае из нее можно получить: производственные материалы, талики и драгоценные камни для модификации, изумруды.	
5	Добытую руду можно либо продать, либо очистить. В последнем случае из нее можно получить: производственные материалы, талики и драгоценные камни для модификации, изумруды.	
6	Добытую руду можно либо продать, либо очистить. В последнем случае из нее можно получить: производственные материалы, талики и драгоценные камни для модификации, изумруды.	
7	Добытую руду можно либо продать, либо очистить. В последнем случае из нее можно получить: производственные материалы, талики и драгоценные камни для модификации, изумруды.	
8	Добытую руду можно либо продать, либо очистить. В последнем случае из нее можно получить: производственные материалы, талики и драгоценные камни для модификации, изумруды.	
9	Добытую руду можно либо продать, либо очистить. В последнем случае из нее можно получить: производственные материалы, талики и драгоценные камни для модификации, изумруды.	
10	Добытую руду можно либо продать, либо очистить. В последнем случае из нее можно получить: производственные материалы, талики и драгоценные камни для модификации, изумруды.	
11	Добытую руду можно либо продать, либо очистить. В последнем случае из нее можно получить: производственные материалы, талики и драгоценные камни для модификации, изумруды.	
12	Добытую руду можно либо продать, либо очистить. В последнем случае из нее можно получить: производственные материалы, талики и драгоценные камни для модификации, изумруды.	
13	Добытую руду можно либо продать, либо очистить. В последнем случае из нее можно получить: производственные материалы, талики и драгоценные камни для модификации, изумруды.	
14	Добытую руду можно либо продать, либо очистить. В последнем случае из нее можно получить: производственные материалы, талики и драгоценные камни для модификации, изумруды.	
15	Очистив руду у Кладовщика, можно получить: производственные материалы, талики и драгоценные камни для модификации, изумруды, куски стружки, Т4 камни.	
16	Очистив руду у Кладовщика, можно получить: производственные материалы, талики и драгоценные камни для модификации, изумруды, куски стружки, Т4 камни.	
17	Очистив руду у Кладовщика, можно получить: производственные материалы, талики и драгоценные камни для модификации, изумруды, куски стружки, Т4 камни.	
18	Очистив руду у Кладовщика, можно получить: производственные материалы, талики и драгоценные камни для модификации, изумруды, куски стружки, Т4 камни.	
19	Очистив руду у Кладовщика, можно получить: производственные материалы, талики и драгоценные камни для модификации, изумруды, куски стружки, Т4 камни.	
20	Руда с золотым сиянием	
21	Коробочка разными золотыми капсулами.	
