string[64]	string[64]	dword	END
OreType	ItemCode	Chanse	
ioblu03	irriu01	1028886665	
ioblu03	irrio01	342962221	
ioblu03	irrus01	342962221	
ioblu03	irria01	342962221	
ioblu03	irtal01	644235	
ioblu03	irtal02	214745	
ioblu03	irtal03	644235	
ioblu03	irtal04	644235	
ioblu03	irtal05	214745	
ioblu03	irtal06	644235	
ioblu03	irtal07	214745	
ioblu03	irtal08	214745	
ioblu03	irtal09	214745	
ioblu03	irtal10	214745	
ioblu03	irtal11	214745	
ioblu03	irtal12	644235	
ioblu03	irtal13	644235	
ioblu03	irtal14	644235	
ioblu03	irgef01	4294901	
ioblu03	irgef02	2147450	
ioblu03	irgef03	515388	
ioblu03	irgea01	4294901	
ioblu03	irgea02	2147450	
ioblu03	irgea03	515388	
ioblu03	irget01	4294901	
ioblu03	irget02	2147450	
ioblu03	irget03	515388	
ioblu03	irgew01	4294901	
ioblu03	irgew02	2147450	
ioblu03	irgew03	515388	
ioblu03	irres01	644235	
ioblu03	irmap01	644235	
ioblu03	irmap03	644235	
ioblu03	ircry02	214745	
ioblu03	irhst02	0	
ioblu03	irhst03	0	
ioblu03	irhst04	0	
ioblu03	irhst05	0	
ioblu03	irhst06	15032156	
ioblu03	irhst07	15032156	
ioblu03	irhst08	15032156	
ioblu03	irwav01	8589803	
ioblu02	irriu01	1027104280	
ioblu02	irrio01	342368093	
ioblu02	irrus01	342368093	
ioblu02	irria01	342368093	
ioblu02	irtal01	644235	
ioblu02	irtal02	214745	
ioblu02	irtal03	644235	
ioblu02	irtal04	644235	
ioblu02	irtal05	214745	
ioblu02	irtal06	644235	
ioblu02	irtal07	214745	
ioblu02	irtal08	214745	
ioblu02	irtal09	214745	
ioblu02	irtal10	214745	
ioblu02	irtal11	214745	
ioblu02	irtal12	644235	
ioblu02	irtal13	644235	
ioblu02	irtal14	644235	
ioblu02	irgef01	4294901	
ioblu02	irgef02	2147450	
ioblu02	irgef03	515388	
ioblu02	irgea01	4294901	
ioblu02	irgea02	2147450	
ioblu02	irgea03	515388	
ioblu02	irget01	4294901	
ioblu02	irget02	2147450	
ioblu02	irget03	515388	
ioblu02	irgew01	4294901	
ioblu02	irgew02	2147450	
ioblu02	irgew03	515388	
ioblu02	irbls01	2061552	
ioblu02	irmap01	644235	
ioblu02	irmap03	644235	
ioblu02	ircry02	214745	
ioblu02	irhst05	0	
ioblu02	irhst06	15032156	
ioblu02	irhst07	15032156	
ioblu02	irhst08	15032156	
ioblu02	irwav01	10737254	
ioblu01	irriu01	1012029175	
ioblu01	irrio01	337343058	
ioblu01	irrus01	337343058	
ioblu01	irria01	337343058	
ioblu01	irtal01	644235	
ioblu01	irtal02	214745	
ioblu01	irtal03	644235	
ioblu01	irtal04	644235	
ioblu01	irtal05	214745	
ioblu01	irtal06	644235	
ioblu01	irtal07	214745	
ioblu01	irtal08	214745	
ioblu01	irtal09	214745	
ioblu01	irtal10	214745	
ioblu01	irtal11	214745	
ioblu01	irtal12	644235	
ioblu01	irtal13	644235	
ioblu01	irtal14	644235	
ioblu01	irgef01	4294901	
ioblu01	irgef02	2147450	
ioblu01	irgef03	515388	
ioblu01	irgea01	4294901	
ioblu01	irgea02	2147450	
ioblu01	irgea03	515388	
ioblu01	irget01	4294901	
ioblu01	irget02	2147450	
ioblu01	irget03	515388	
ioblu01	irgew01	4294901	
ioblu01	irgew02	2147450	
ioblu01	irgew03	515388	
ioblu01	irmap01	644235	
ioblu01	irmap03	644235	
ioblu01	ircry02	214745	
ioblu01	irhst05	0	
ioblu01	irhst06	19327057	
ioblu01	irhst07	19327057	
ioblu01	irhst08	19327057	
ioblu01	irwav01	15032156	
ioblu01	ircht01	15032156	
iored03	irriu02	1028886665	
iored03	irrio02	342962221	
iored03	irrus02	342962221	
iored03	irria02	342962221	
iored03	irtal01	644235	
iored03	irtal02	214745	
iored03	irtal03	644235	
iored03	irtal04	644235	
iored03	irtal05	214745	
iored03	irtal06	644235	
iored03	irtal07	214745	
iored03	irtal08	214745	
iored03	irtal09	214745	
iored03	irtal10	214745	
iored03	irtal11	214745	
iored03	irtal12	644235	
iored03	irtal13	644235	
iored03	irtal14	644235	
iored03	irgef01	4294901	
iored03	irgef02	2147450	
iored03	irgef03	515388	
iored03	irgea01	4294901	
iored03	irgea02	2147450	
iored03	irgea03	515388	
iored03	irget01	4294901	
iored03	irget02	2147450	
iored03	irget03	515388	
iored03	irgew01	4294901	
iored03	irgew02	2147450	
iored03	irgew03	515388	
iored03	irres01	644235	
iored03	irmap01	644235	
iored03	irmap03	644235	
iored03	ircry02	214745	
iored03	irhst02	0	
iored03	irhst03	0	
iored03	irhst04	0	
iored03	irhst05	0	
iored03	irhst06	15032156	
iored03	irhst07	15032156	
iored03	irhst08	15032156	
iored03	irwav01	8589803	
iored02	irriu02	1027104280	
iored02	irrio02	342368093	
iored02	irrus02	342368093	
iored02	irria02	342368093	
iored02	irtal01	644235	
iored02	irtal02	214745	
iored02	irtal03	644235	
iored02	irtal04	644235	
iored02	irtal05	214745	
iored02	irtal06	644235	
iored02	irtal07	214745	
iored02	irtal08	214745	
iored02	irtal09	214745	
iored02	irtal10	214745	
iored02	irtal11	214745	
iored02	irtal12	644235	
iored02	irtal13	644235	
iored02	irtal14	644235	
iored02	irgef01	4294901	
iored02	irgef02	2147450	
iored02	irgef03	515388	
iored02	irgea01	4294901	
iored02	irgea02	2147450	
iored02	irgea03	515388	
iored02	irget01	4294901	
iored02	irget02	2147450	
iored02	irget03	515388	
iored02	irgew01	4294901	
iored02	irgew02	2147450	
iored02	irgew03	515388	
iored02	irbls01	2061552	
iored02	irmap01	644235	
iored02	irmap03	644235	
iored02	ircry02	214745	
iored02	irhst05	0	
iored02	irhst06	15032156	
iored02	irhst07	15032156	
iored02	irhst08	15032156	
iored02	irwav01	10737254	
iored01	irriu02	1012029175	
iored01	irrio02	337343058	
iored01	irrus02	337343058	
iored01	irria02	337343058	
iored01	irtal01	644235	
iored01	irtal02	214745	
iored01	irtal03	644235	
iored01	irtal04	644235	
iored01	irtal05	214745	
iored01	irtal06	644235	
iored01	irtal07	214745	
iored01	irtal08	214745	
iored01	irtal09	214745	
iored01	irtal10	214745	
iored01	irtal11	214745	
iored01	irtal12	644235	
iored01	irtal13	644235	
iored01	irtal14	644235	
iored01	irgef01	4294901	
iored01	irgef02	2147450	
iored01	irgef03	515388	
iored01	irgea01	4294901	
iored01	irgea02	2147450	
iored01	irgea03	515388	
iored01	irget01	4294901	
iored01	irget02	2147450	
iored01	irget03	515388	
iored01	irgew01	4294901	
iored01	irgew02	2147450	
iored01	irgew03	515388	
iored01	irmap01	644235	
iored01	irmap03	644235	
iored01	ircry02	214745	
iored01	irhst05	0	
iored01	irhst06	19327057	
iored01	irhst07	19327057	
iored01	irhst08	19327057	
iored01	irwav01	15032156	
iored01	ircht01	15032156	
ioyel03	irriu03	1028886665	
ioyel03	irrio03	342962221	
ioyel03	irrus03	342962221	
ioyel03	irria03	342962221	
ioyel03	irtal01	644235	
ioyel03	irtal02	214745	
ioyel03	irtal03	644235	
ioyel03	irtal04	644235	
ioyel03	irtal05	214745	
ioyel03	irtal06	644235	
ioyel03	irtal07	214745	
ioyel03	irtal08	214745	
ioyel03	irtal09	214745	
ioyel03	irtal10	214745	
ioyel03	irtal11	214745	
ioyel03	irtal12	644235	
ioyel03	irtal13	644235	
ioyel03	irtal14	644235	
ioyel03	irgef01	4294901	
ioyel03	irgef02	2147450	
ioyel03	irgef03	515388	
ioyel03	irgea01	4294901	
ioyel03	irgea02	2147450	
ioyel03	irgea03	515388	
ioyel03	irget01	4294901	
ioyel03	irget02	2147450	
ioyel03	irget03	515388	
ioyel03	irgew01	4294901	
ioyel03	irgew02	2147450	
ioyel03	irgew03	515388	
ioyel03	irres01	644235	
ioyel03	irmap01	644235	
ioyel03	irmap03	644235	
ioyel03	ircry02	214745	
ioyel03	irhst02	0	
ioyel03	irhst03	0	
ioyel03	irhst04	0	
ioyel03	irhst05	0	
ioyel03	irhst06	15032156	
ioyel03	irhst07	15032156	
ioyel03	irhst08	15032156	
ioyel03	irwav01	8589803	
ioyel02	irriu03	1027104280	
ioyel02	irrio03	342368093	
ioyel02	irrus03	342368093	
ioyel02	irria03	342368093	
ioyel02	irtal01	644235	
ioyel02	irtal02	214745	
ioyel02	irtal03	644235	
ioyel02	irtal04	644235	
ioyel02	irtal05	214745	
ioyel02	irtal06	644235	
ioyel02	irtal07	214745	
ioyel02	irtal08	214745	
ioyel02	irtal09	214745	
ioyel02	irtal10	214745	
ioyel02	irtal11	214745	
ioyel02	irtal12	644235	
ioyel02	irtal13	644235	
ioyel02	irtal14	644235	
ioyel02	irgef01	4294901	
ioyel02	irgef02	2147450	
ioyel02	irgef03	515388	
ioyel02	irgea01	4294901	
ioyel02	irgea02	2147450	
ioyel02	irgea03	515388	
ioyel02	irget01	4294901	
ioyel02	irget02	2147450	
ioyel02	irget03	515388	
ioyel02	irgew01	4294901	
ioyel02	irgew02	2147450	
ioyel02	irgew03	515388	
ioyel02	irbls01	2061552	
ioyel02	irmap01	644235	
ioyel02	irmap03	644235	
ioyel02	ircry02	214745	
ioyel02	irhst05	0	
ioyel02	irhst06	15032156	
ioyel02	irhst07	15032156	
ioyel02	irhst08	15032156	
ioyel02	irwav01	10737254	
ioyel01	irriu03	1012029175	
ioyel01	irrio03	337343058	
ioyel01	irrus03	337343058	
ioyel01	irria03	337343058	
ioyel01	irtal01	644235	
ioyel01	irtal02	214745	
ioyel01	irtal03	644235	
ioyel01	irtal04	644235	
ioyel01	irtal05	214745	
ioyel01	irtal06	644235	
ioyel01	irtal07	214745	
ioyel01	irtal08	214745	
ioyel01	irtal09	214745	
ioyel01	irtal10	214745	
ioyel01	irtal11	214745	
ioyel01	irtal12	644235	
ioyel01	irtal13	644235	
ioyel01	irtal14	644235	
ioyel01	irgef01	4294901	
ioyel01	irgef02	2147450	
ioyel01	irgef03	515388	
ioyel01	irgea01	4294901	
ioyel01	irgea02	2147450	
ioyel01	irgea03	515388	
ioyel01	irget01	4294901	
ioyel01	irget02	2147450	
ioyel01	irget03	515388	
ioyel01	irgew01	4294901	
ioyel01	irgew02	2147450	
ioyel01	irgew03	515388	
ioyel01	irmap01	644235	
ioyel01	irmap03	644235	
ioyel01	ircry02	214745	
ioyel01	irhst05	0	
ioyel01	irhst06	19327057	
ioyel01	irhst07	19327057	
ioyel01	irhst08	19327057	
ioyel01	irwav01	15032156	
ioyel01	ircht01	15032156	
iogre03	irriu04	1028886665	
iogre03	irrio04	342962221	
iogre03	irrus04	342962221	
iogre03	irria04	342962221	
