clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	byte	byte	word	float	float	byte	byte	word	float	float	byte	byte	word	float	float	byte	byte	word	float	float	byte	byte	word	float	float	res	dword	dword	dword	dword	dword	dword	END
Code	Name	Model	Icon	Civil	ListID	Money	none	AncStdPrice	StdPoint	GoldPoint	ProcPoint	KillPoint	StorePrice	IsExchange	IsSell	IsGround	IsStore	Descript	IsExist	IsCash	IsTime	UpLvLim	EffNum	Eff1	none	none	Val1	ValMax1	Eff2	none	none	Val2	ValMax2	Eff3	none	none	Val3	ValMax3	Eff4	none	none	Val4	ValMax4	Eff5	none	none	Val5	ValMax5	resmodule	Efftype1	UIPrint	ItemUiTip	hz	ItemSerise	hz	
irriu01	Феталиум	A30100	1	11111	17	1	0	1	0	0	0	0	10	1	1	1	1	0	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	1	0	
irriu02	Литалиум	A30101	2	11111	17	1	0	1	0	0	0	0	10	1	1	1	1	1	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	2	0	
irriu03	Осталиум	A30102	3	11111	17	1	0	1	0	0	0	0	10	1	1	1	1	2	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	3	0	
irriu04	Хаталиум	A30103	4	11111	17	1	0	1	0	0	0	0	10	1	1	1	1	3	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	4	0	
irriu05	Перлалиум	A30104	5	11111	17	1	0	1	0	0	0	0	10	1	1	1	1	4	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	5	0	
irrio01	Котарио	A30105	6	11111	17	1	0	3	0	0	0	0	10	1	1	1	1	5	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	6	0	
irrio02	Лотарио	A30106	7	11111	17	1	0	3	0	0	0	0	10	1	1	1	1	6	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	7	0	
irrio03	Иритарио	A30107	8	11111	17	1	0	3	0	0	0	0	10	1	1	1	1	7	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	8	0	
irrio04	Митарио	A30108	9	11111	17	1	0	3	0	0	0	0	10	1	1	1	1	8	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	9	0	
irrio05	Утарио	A30109	10	11111	17	1	0	3	0	0	0	0	10	1	1	1	1	9	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	10	0	
irrus01	Байталит	A3010A	11	11111	17	1	0	3	0	0	0	0	10	1	1	1	1	10	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	11	0	
irrus02	Ниоталит	A3010B	12	11111	17	1	0	3	0	0	0	0	10	1	1	1	1	11	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	12	0	
irrus03	Теиталит	A3010C	13	11111	17	1	0	3	0	0	0	0	10	1	1	1	1	12	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	13	0	
irrus04	Деиталит	A3010D	14	11111	17	1	0	3	0	0	0	0	10	1	1	1	1	13	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	14	0	
irrus05	Проталит	A3010E	15	11111	17	1	0	3	0	0	0	0	10	1	1	1	1	14	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	15	0	
irria01	Слоталан	A3010F	16	11111	17	1	0	3	0	0	0	0	10	1	1	1	1	15	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	16	0	
irria02	Моталан	A30110	17	11111	17	1	0	3	0	0	0	0	10	1	1	1	1	16	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	17	0	
irria03	Титалан	A30111	18	11111	17	1	0	3	0	0	0	0	10	1	1	1	1	17	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	18	0	
irria04	Сеталан	A30112	19	11111	17	1	0	3	0	0	0	0	10	1	1	1	1	18	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	19	0	
irria05	Новотолан	A30113	20	11111	17	1	0	3	0	0	0	0	10	1	1	1	1	19	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	20	0	
irtal01	Талика Невежества	A30114	21	11111	17	1	0	24	0	0	0	0	100	1	1	1	1	20	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	21	0	
irtal02	Талика Разрушения	A30115	22	11111	17	1	0	34	0	0	0	0	100	1	1	1	1	21	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	22	0	
irtal03	Талика Тьмы	A30116	23	11111	17	1	0	24	0	0	0	0	100	1	1	1	1	22	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	23	0	
irtal04	Талика Хаоса	A30117	24	11111	17	1	0	24	0	0	0	0	100	1	1	1	1	23	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	24	0	
irtal05	Талика Ненависти	A30118	25	11111	17	1	0	34	0	0	0	0	100	1	1	1	1	24	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	25	0	
irtal06	Талика Покровительства	A30119	26	11111	17	1	0	24	0	0	0	0	100	1	1	1	1	25	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	26	0	
irtal07	Талика Мудрости	A3011A	27	11111	17	1	0	34	0	0	0	0	100	1	1	1	1	26	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	27	0	
irtal08	Талика Святого Пламени	A3011B	28	11111	17	1	0	34	0	0	0	0	100	1	1	1	1	27	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	28	0	
irtal09	Талика Веры	A3011C	29	11111	17	1	0	34	0	0	0	0	100	1	1	1	1	28	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	29	0	
irtal10	Талика Святого Алтаря	A3011D	30	11111	17	1	0	34	0	0	0	0	100	1	1	1	1	29	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	30	0	
irtal11	Талика Славы	A3011E	31	11111	17	1	0	34	0	0	0	0	100	1	1	1	1	30	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	31	0	
irtal12	Талика Милосердия	A3011F	32	11111	17	1	0	24	0	0	0	0	100	1	1	1	1	31	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	32	0	
irtal13	Талика Грации	A30120	33	11111	17	1	0	24	0	0	0	0	100	1	1	1	1	32	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	33	0	
irtal14	Талика Забвения	A30121	34	11111	17	0	0	3	0	0	0	0	100	1	1	1	1	33	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	34	0	
irgef01	Рубин	A30122	35	11111	17	1	0	6	0	0	0	0	50	1	1	1	1	34	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	35	0	
irgef02	Потухший Рубин	A30123	36	11111	17	1	0	6	0	0	0	0	50	1	1	1	1	35	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	36	0	
irgef03	Пламенный Рубин	A30124	37	11111	17	1	0	10	0	0	0	0	50	1	1	1	1	36	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	37	0	
irgea01	Алмаз	A30125	38	11111	17	1	0	6	0	0	0	0	50	1	1	1	1	37	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	38	0	
irgea02	Аквамарин	A30126	39	11111	17	1	0	6	0	0	0	0	50	1	1	1	1	38	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	39	0	
irgea03	Матовый Бриллиант	A30127	40	11111	17	1	0	10	0	0	0	0	50	1	1	1	1	39	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	40	0	
irget01	Топаз	A30128	41	11111	17	1	0	6	0	0	0	0	50	1	1	1	1	40	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	41	0	
irget02	Обожженый Топаз	A30129	42	11111	17	1	0	6	0	0	0	0	50	1	1	1	1	41	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	42	0	
irget03	Токсичный Топаз	A3012A	43	11111	17	1	0	10	0	0	0	0	50	1	1	1	1	42	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	43	0	
irgew01	Обсидиан	A3012B	44	11111	17	1	0	6	0	0	0	0	50	1	1	1	1	43	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	44	0	
irgew02	Освященный Обсидиан	A3012C	45	11111	17	1	0	6	0	0	0	0	50	1	1	1	1	44	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	45	0	
irgew03	Духовный Обсидиан	A3012D	46	11111	17	1	0	10	0	0	0	0	50	1	1	1	1	45	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	46	0	
irjad01	Изумруд Удачи	A3012E	47	11111	17	1	0	1	0	0	0	0	500	1	1	1	1	46	1	0	0	0	1	0	0	0	0,100000001	0,100000001	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	0	3	3699	0	47	0	
irjad02	Изумруд Сделки	A3012F	48	11111	17	1	0	1	0	0	0	0	500	1	1	1	1	47	1	0	0	0	1	1	0	0	0,100000001	0,5	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	0	3	3674	0	48	0	
irjad03	Изумруд Боевого Опыта	A30130	49	11111	17	1	0	1	0	0	0	0	500	1	1	1	1	48	1	0	0	0	1	2	0	0	0,200000003	1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	0	3	3667	0	49	0	
irjad04	Поющий Изумруд	A30131	50	11111	17	1	0	1	0	0	0	0	500	1	1	1	1	49	1	0	0	0	1	3	0	0	1	1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	0	3	3700	0	50	0	
irjad05	Изумруд Поддержки	A30132	51	11111	17	1	0	1	0	0	0	0	500	1	1	1	1	50	1	0	0	0	1	4	0	0	5	25	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	0	3	3668	0	51	0	
irebl01	Кусок Черной Стружки	A30133	52	11111	17	1	0	1	0	0	0	0	500	1	1	1	1	51	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	52	0	
irere01	Кусок Красной Стружки	A30134	53	11111	17	1	0	1	0	0	0	0	500	1	1	1	1	52	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	53	0	
irebu01	Кусок Синей Стружки	A30135	54	11111	17	1	0	1	0	0	0	0	500	1	1	1	1	53	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	54	0	
iregr01	Кусок Зеленой Стружки	A30136	55	11111	17	1	0	1	0	0	0	0	500	1	1	1	1	54	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	55	0	
ireyl01	Кусок Желтой Стружки	A30137	56	11111	17	1	0	1	0	0	0	0	500	1	1	1	1	55	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	56	0	
irepu01	Кусок Лиловой Стружки	A30138	57	11111	17	1	0	1	0	0	0	0	500	1	1	1	1	56	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	57	0	
irewh01	Кусок Белой Стружки	A30139	58	11111	17	1	0	1	0	0	0	0	500	1	1	1	1	57	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	58	0	
irebw01	Кусок Бархатной Стружки	A3013A	59	11111	17	1	0	1	0	0	0	0	500	1	1	1	1	58	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	59	0	
ireol01	Кусок Оливковой Стружки	A3013B	60	11111	17	1	0	1	0	0	0	0	500	1	1	1	1	59	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	60	0	
irena01	Кусок Морской Стружки	A3013C	61	11111	17	1	0	1	0	0	0	0	500	1	1	1	1	60	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	61	0	
irchr01	Праздничный Изумруд Изобилия	A3013D	62	11111	17	1	0	1	0	0	0	0	1000	0	1	0	0	61	1	0	0	0	1	2	0	0	0,200000003	1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	0	3	3667	0	62	0	
irchr02	Праздничный Изумруд Утешения	A3013E	63	11111	17	1	0	1	0	0	0	0	1000	0	1	0	0	62	1	0	0	0	1	4	0	0	5	25	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	0	3	3668	0	63	0	
