dword	text	END
Count	desc	
0	Обработанный ресурс. Используется для изготовления посохов и элементов защиты ног.	
1	Обработанный ресурс. Используется для изготовления огнестрельного оружия и элементов защиты головы.	
2	Обработанный ресурс. Используется для изготовления щитов, пусковых установок и элементов защиты торса.	
3	Обработанный ресурс. Используется для изготовления стрелкового оружия и элементов защиты рук.	
4	Обработанный ресурс. Используется для изготовления оружия ближнего боя и элементов защиты ступней.	
5	Обработанный ресурс. Используется для изготовления посохов.	
6	Обработанный ресурс. Используется для изготовления огнестрельного оружия.	
7	Обработанный ресурс. Используется для изготовления щитов и пусковых установок.	
8	Обработанный ресурс. Используется для изготовления стрелкового оружия.	
9	Обработанный ресурс. Используется для изготовления оружия ближнего боя.	
10	Обработанный ресурс. Используется для изготовления посохов.	
11	Обработанный ресурс. Используется для изготовления огнестрельного оружия.	
12	Обработанный ресурс. Используется для изготовления щитов и пусковых установок.	
13	Обработанный ресурс. Используется для изготовления стрелкового оружия.	
14	Обработанный ресурс. Используется для изготовления оружия ближнего боя.	
15	Обработанный ресурс. Используется для изготовления посохов и элементов защиты ног.	
16	Обработанный ресурс. Используется для изготовления огнестрельного оружия и элементов защиты головы.	
17	Обработанный ресурс. Используется для изготовления щитов, пусковых установок и элементов защиты торса.	
18	Обработанный ресурс. Используется для изготовления стрелкового оружия и элементов защиты рук.	
19	Обработанный ресурс. Используется для изготовления оружия ближнего боя и элементов защиты ступней.	
20	Данная талика может использоваться для модификации оружия. Эффект - увеличивает силу атаки.	
21	Данная талика может использоваться для модификации оружия. Эффект - определенный процент нанесенного вами урона трансформируется в HP.	
22	Данная талика может использоваться для модификации брони рук. Эффект - увеличивается шанс пробить блок противника.	
23	Данная талика может использоваться для модификации оружия. Эффект - повышает шанс нанести противнику критический удар.	
24	Данная талика может использоваться для модификации оружия. Эффект - увеличивается дистанция атаки для всего дальнобойного оружия, кроме гранатометов.	
25	Данная талика может использоваться для модификации брони головы, торса, рук, ног, ступней, а также щитов. Эффект - увеличивает защиту.	
26	Данная талика может использоваться для модификации брони головы. Эффект - уменьшает шанс снятия положительных сил [баффов 	
27	"Служит для модификации оружия [ближнего боя, гранатометы, посохи , брони торса, ног, и щитов. Броня - увеличивает сопротивление к огню; Оружие - дополнительные повреждения огнем."	
28	"Служит для модификации оружия [ближнего боя, гранатометы, посохи , брони торса, ног, и щитов. Броня - увеличивает сопротивление к огню; Оружие - дополнительные повреждения огнем."	
29	"Служит для модификации оружия [ближнего боя, гранатометы, посохи , брони торса, ног, и щитов. Броня - увеличивает сопротивление к огню; Оружие - дополнительные повреждения огнем."	
30	"Служит для модификации оружия [ближнего боя, гранатометы, посохи , брони торса, ног, и щитов. Броня - увеличивает сопротивление к огню; Оружие - дополнительные повреждения огнем."	
31	Данная талика может использоваться для модификации брони рук. Эффект - увеличивается точность атак.	
32	Данная талика может использоваться для модификации брони ступней. Эффект - увеличивается шанс уклонения от атак.	
33	Используется в броне головы, торса, рук, ног, ступней, щитах и во всем оружии Эффект - вынимает из предмета последнюю вставленную талику. Также с ее помощью можно извлечь свойство.	
34	Вспомогательные камни, полученные обогащением руды, используются при модификации. [Незначительно увеличивает шанс удачной модификации 	
35	Вспомогательные камни, полученные обогащением руды, используются при модификации. [Значительно увеличивает шанс удачной модификации 	
36	Вспомогательные камни, полученные обогащением руды, используются при модификации. [Очень значительно увеличивает шанс удачной модификации 	
37	Вспомогательные камни, полученные обогащением руды, используются при модификации. [Незначительно увеличивает шанс удачной модификации 	
38	Вспомогательные камни, полученные обогащением руды, используются при модификации. [Значительно увеличивает шанс удачной модификации 	
39	Вспомогательные камни, полученные обогащением руды, используются при модификации. [Очень значительно увеличивает шанс удачной модификации 	
40	Вспомогательные камни, полученные обогащением руды, используются при модификации. [Незначительно увеличивает шанс удачной модификации 	
41	Вспомогательные камни, полученные обогащением руды, используются при модификации. [Значительно увеличивает шанс удачной модификации 	
42	Вспомогательные камни, полученные обогащением руды, используются при модификации. [Очень значительно увеличивает шанс удачной модификации 	
43	Вспомогательные камни, полученные обогащением руды, используются при модификации. [Незначительно увеличивает шанс удачной модификации 	
44	Вспомогательные камни, полученные обогащением руды, используются при модификации. [Значительно увеличивает шанс удачной модификации 	
45	Вспомогательные камни, полученные обогащением руды, используются при модификации. [Очень значительно увеличивает шанс удачной модификации 	
46	Изумруд Удачи [Загадочный материал, получаемый в процессе добычи руды : увеличивает вероятность выигрыша в азартных играх	
47	Изумруд Сделок [Загадочный материал, получаемый в процессе добычи руды : помогает получить скидки от торговцев NPCs	
48	Изумруд Боевого Опыта [Загадочный материал, получаемый в процессе добычи руды : увеличивает опыт, получаемый при убийстве монстров	
49	Поющий Изумруд [Загадочный материал, получаемый в процессе добычи руды : позволяет понимать речь других рас	
50	Изумруд Поддержки [Загадочный материал, получаемый в процессе добычи руды : позволяет использовать предметы, использование которых невозможно ввиду ограничения по уровню	
51	Куски и цельная стружка используются в производстве и сборке предметов. Из кусков можно собрать цельную стружку.	
52	Куски и цельная стружка используются в производстве и сборке предметов. Из кусков можно собрать цельную стружку.	
53	Куски и цельная стружка используются в производстве и сборке предметов. Из кусков можно собрать цельную стружку.	
54	Куски и цельная стружка используются в производстве и сборке предметов. Из кусков можно собрать цельную стружку.	
55	Куски и цельная стружка используются в производстве и сборке предметов. Из кусков можно собрать цельную стружку.	
56	Куски и цельная стружка используются в производстве и сборке предметов. Из кусков можно собрать цельную стружку.	
57	Куски и цельная стружка используются в производстве и сборке предметов. Из кусков можно собрать цельную стружку.	
58	Куски и цельная стружка используются в производстве и сборке предметов. Из кусков можно собрать цельную стружку.	
59	Куски и цельная стружка используются в производстве и сборке предметов. Из кусков можно собрать цельную стружку.	
60	Куски и цельная стружка используются в производстве и сборке предметов. Из кусков можно собрать цельную стружку.	
61	"Изумруд доступен только во время Нового Года. Увеличивает опыт, получаемый от убийства монстров. Нельзя выбросить или продать; исчезает после праздников."	
62	"Изумруд доступен только во время Нового Года. Снижает ограничения по уровням всех предметов. Нельзя выбросить или продать; исчезает после праздников."	
63	Увеличивает на 10% опыт,получаемый за охоту. Вовможно использовать с Изумрудами Изабилия.	
64	Драгоценный камень, предназначенный для увеличения шанса модификации. Может быть использовано до 4 камней одновременно [разных 	
65	Драгоценный камень, предназначенный для увеличения шанса модификации. Может быть использовано до 4 камней одновременно [разных 	
66	Драгоценный камень, предназначенный для увеличения шанса модификации. Может быть использовано до 4 камней одновременно [разных 	
67	Драгоценный камень, предназначенный для увеличения шанса модификации. Может быть использовано до 4 камней одновременно [разных 	
68	Драгоценный камень, предназначен для увеличения шанса модификации. Шанс удачной модификации увеличивается на 5% по сравнению с камнями более низкого уровня.	
69	Драгоценный камень, предназначен для увеличения шанса модификации. Шанс удачной модификации увеличивается на 5% по сравнению с камнями более низкого уровня.	
70	Драгоценный камень, предназначен для увеличения шанса модификации. Шанс удачной модификации увеличивается на 5% по сравнению с камнями более низкого уровня.	
71	Драгоценный камень, предназначен для увеличения шанса модификации. Шанс удачной модификации увеличивается на 5% по сравнению с камнями более низкого уровня.	
72	Недавно обнаруженный кристаллит улучшенного качества. Используется для производства брони С-класса.	
73	Недавно обнаруженный кристаллит улучшенного качества. Используется для производства брони С-класса. Может быть соединен с малыми и средними драгоценными камнями для создания средних и крупных драгоценных камней.	
74	Таинственный материал, получаемый в процессе очистки руды. Увеличивает получаемые очки боевого опыта на 10%. В совокупности не более 50% увеличения. Действует 24 часа.	
75	Таинственный материал, получаемый в процессе очистки руды. Увеличивает получаемые очки боевого опыта на 10%. В совокупности не более 50% увеличения. Действует 144 часа.	
76	Таинственный материал, получаемый в процессе очистки руды. Увеличивает получаемые очки боевого опыта на 10%. В совокупности не более 50% увеличения. Действует 336 часов.	
77	Таинственный материал, получаемый в процессе очистки руды. Увеличивает получаемые очки боевого опыта на 10%. В совокупности не более 50% увеличения. Действует 720 часов.	
78	Таинственный материал, получаемый в процессе очистки руды. Уменьшает требуемый предметом уровень персонажа на 1. В совокупности уменьшение не более 5 уровней. Эффект доступен после получения первой специализации. Эффект доступен после получения первой специализации. Действует 24 часа.	
79	Таинственный материал, получаемый в процессе очистки руды. Уменьшает требуемый предметом уровень персонажа на 1. В совокупности уменьшение не более 5 уровней. Эффект доступен после получения первой специализации. Действует 144 часа.	
80	Таинственный материал, получаемый в процессе очистки руды. Уменьшает требуемый предметом уровень персонажа на 1. В совокупности уменьшение не более 5 уровней. Эффект доступен после получения первой специализации. Действует 336 часа.	
