string[64]	string[64]	dword	float	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	float	float	float	float	float	float	END
Code	Name	JewelType	JewelValue	Upper	Lower	Gauntlet	Shoes	Helmet	Shield	Meele	Missile	Unit	Cloack	DataEffect	EffUnit	1	2	3	4	5	6	7	
irtal01	Талика Невежества	0	0	0	0	0	0	0	0	7	7	7	0	1	1	0,050000001	0,129999995	0,25	0,5	0,800000012	1,350000024	2	
irtal02	Талика Разрушения	0	0	0	0	0	0	0	0	7	7	0	0	2	1	0,100000001	0,200000003	0,300000012	0,449999988	0,600000024	0,75	1	
irtal03	Талика Тьмы	0	0	0	0	7	0	0	0	0	0	0	0	3	2	2	5	10	20	30	40	50	
irtal04	Талика Хаоса	0	0	0	0	0	0	0	0	7	7	0	7	4	2	10	15	20	25	30	35	50	
irtal05	Талика Ненависти	0	0	0	0	0	0	0	0	0	7	0	0	5	2	10	20	30	45	60	75	100	
irtal06	Талика Покровительства	0	0	7	7	7	7	7	7	0	0	7	0	6	1	0,050000001	0,129999995	0,25	0,5	0,800000012	1,350000024	2	
irtal07	Талика Мудрости	0	0	0	0	0	0	7	0	0	0	0	0	7	2	10	15	20	25	30	35	50	
irtal08	Талика Святого Пламени	0	0	7	7	0	0	0	7	1	0	0	7	8	2	4	8	12	16	20	24	28	
irtal09	Талика Веры	0	0	7	7	0	0	0	7	1	0	0	7	9	2	4	8	12	16	20	24	28	
irtal10	Талика Святого Алтаря	0	0	7	7	0	0	0	7	1	0	0	7	10	2	4	8	12	16	20	24	28	
irtal11	Талика Славы	0	0	7	7	0	0	0	7	1	0	0	7	11	2	4	8	12	16	20	24	28	
irtal12	Талика Милосердия	0	0	0	0	7	0	0	0	0	0	0	0	12	1	10	20	30	45	60	75	100	
irtal13	Талика Грации	0	0	0	0	0	7	0	0	0	0	0	0	13	1	10	20	30	45	60	75	100	
irtal14	Талика Забвения	0	0	1	1	1	1	1	1	1	1	1	1	14	0	0	0	0	0	0	0	0	
irgef01	Рубин	1	0,25	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	
irgef02	Потухший Рубин	1	0,5	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	
irgef03	Пламенный Рубин	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	
irgea01	Алмаз	2	0,25	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	
irgea02	Аквамарин	2	0,5	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	
irgea03	Матовый Бриллиант	2	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	
irget01	Топаз	4	0,25	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	
irget02	Обожженый Топаз	4	0,5	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	
irget03	Токсичный Топаз	4	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	
irgew01	Обсидиан	8	0,25	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	
irgew02	Освященный Обсидиан	8	0,5	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	
irgew03	Духовный Обсидиан	8	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	
irgef04	Искрящийся Рубин	1	1,5	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	
irgea04	Кристальный Алмаз	2	1,5	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	
irget04	Чайный Топаз	4	1,5	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	
irgew04	Черный Обсидиан	8	1,5	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	
ircsa01	Рубин Удачи	1	2	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	
ircsa02	Алмаз Удачи	2	2	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	
ircsa03	Топаз Удачи	4	2	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	
ircsa04	Обсидиан Удачи	8	2	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	
iruge01	Сверкающий Рубин Удачи	1	3	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	
iruge02	Сверкающий Алмаз Удачи	2	3	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	
iruge03	Сверкающий Топаз Удачи	4	3	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	
iruge04	Сверкающий Обсидиан Удачи	8	3	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	
