string[64]	dword	string[64]	dword	string[64]	dword	dword	dword	string[64]	dword	float	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	float	dword	float	float	dword	float	float	dword	float	float	dword	float	float	dword	dword	dword	dword	dword	string[64]	dword	dword	dword	END
Code	IsExist	Model	Icon	Name	KindClt	FixPart	ItemSerise	Civil	MixNum	NeedNum	LastItem	Money	AncStdPrice	ExStdPrice	MecaStdPrice	StdPoint	GoldPoint	KillPoint	ProcPoint	StorePrice	StartTime	EffContTime	Efftype1	UIPrint	ItemUiTip	EffNum	Eff1	Val1	ValMax1	Eff2	Val2	ValMax2	Eff3	Val3	ValMax3	Eff4	Val4	ValMax4	Eff5	Val5	ValMax5	IsSell	IsExchange	IsGround	IsStore	IsNormAcc	ToolTip	IsCash	UsePCCash	IsTime	
irriu01	1	A30100	1	Феталиум	301	300	1	11111	-1	-1	-1	1	1	1	1	0	0	0	0	10	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirriu01	0	0	0	
irriu02	1	A30101	2	Литалиум	301	300	2	11111	-1	-1	-1	1	1	1	1	0	0	0	0	10	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirriu02	0	0	0	
irriu03	1	A30102	3	Осталиум	301	300	3	11111	-1	-1	-1	1	1	1	1	0	0	0	0	10	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirriu03	0	0	0	
irriu04	1	A30103	4	Хаталиум	301	300	4	11111	-1	-1	-1	1	1	1	1	0	0	0	0	10	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirriu04	0	0	0	
irriu05	1	A30104	5	Перлалиум	301	300	5	11111	-1	-1	-1	1	1	1	1	0	0	0	0	10	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirriu05	0	0	0	
irrio01	1	A30105	6	Котарио	301	300	6	11111	-1	-1	-1	1	3	3	3	0	0	0	0	10	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirrio01	0	0	0	
irrio02	1	A30106	7	Лотарио	301	300	7	11111	-1	-1	-1	1	3	3	3	0	0	0	0	10	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirrio02	0	0	0	
irrio03	1	A30107	8	Иритарио	301	300	8	11111	-1	-1	-1	1	3	3	3	0	0	0	0	10	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirrio03	0	0	0	
irrio04	1	A30108	9	Митарио	301	300	9	11111	-1	-1	-1	1	3	3	3	0	0	0	0	10	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirrio04	0	0	0	
irrio05	1	A30109	10	Утарио	301	300	10	11111	-1	-1	-1	1	3	3	3	0	0	0	0	10	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirrio05	0	0	0	
irrus01	1	A3010A	11	Байталит	301	300	11	11111	-1	-1	-1	1	3	3	3	0	0	0	0	10	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirrus01	0	0	0	
irrus02	1	A3010B	12	Ниоталит	301	300	12	11111	-1	-1	-1	1	3	3	3	0	0	0	0	10	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirrus02	0	0	0	
irrus03	1	A3010C	13	Теиталит	301	300	13	11111	-1	-1	-1	1	3	3	3	0	0	0	0	10	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirrus03	0	0	0	
irrus04	1	A3010D	14	Деиталит	301	300	14	11111	-1	-1	-1	1	3	3	3	0	0	0	0	10	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirrus04	0	0	0	
irrus05	1	A3010E	15	Проталит	301	300	15	11111	-1	-1	-1	1	3	3	3	0	0	0	0	10	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirrus05	0	0	0	
