clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	long	xeh	dword	END
Code	Name	Model	Icon	Civil	ListID	Money	none	StdPrice	StdPoint	GoldPoint	ProcPoint	KillPoint	StorePrice	IsExchange	IsSell	IsGround	IsStore	Descript	IsExist	IsCash	IsTime	UpLvLim	ForceKey	hz	
icfla00	Тренировочный Призматический Луч	940218	25	11110	18	0	0	10	0	0	0	0	1	0	1	0	0	0	1	0	0	0	9200	0	
icala00	Тренировочный Ледяной Луч	940328	41	11110	18	0	0	10	0	0	0	0	1	0	1	0	0	1	1	0	0	0	9300	0	
ictla00	Тренировочный Земляной Ком	940438	57	11110	18	0	0	10	0	0	0	0	1	0	1	0	0	2	1	0	0	0	9400	0	
icwla00	Тренировочный Электрический Шар	940548	73	11110	18	0	0	10	0	0	0	0	1	0	1	0	0	3	1	0	0	0	9500	0	
icdls01	Бешенство	840000	1	00110	18	0	0	50000	0	0	0	0	500	1	1	1	1	4	1	0	0	0	8000	0	
icdls02	Жертвоприношение	840001	2	00110	18	0	0	50000	0	0	0	0	500	1	1	1	1	5	1	0	0	0	8001	0	
icdls03	Источник Силы	840002	3	00110	18	0	0	50000	0	0	0	0	500	1	1	1	1	6	1	0	0	0	8002	0	
icdms01	Мощь	840003	4	00110	18	0	0	200000	0	0	0	0	2000	1	1	1	1	7	1	0	0	0	8003	0	
icdms02	Обозрение	840004	5	00110	18	0	0	200000	0	0	0	0	2000	1	1	1	1	8	1	0	0	0	8004	0	
icdms03	Ускорение	840005	6	00110	18	0	0	200000	0	0	0	0	2000	1	1	1	1	9	1	0	0	0	8005	0	
icdhs01	Точность	840006	7	00110	18	0	0	800000	0	0	0	0	8000	1	1	1	1	10	1	0	0	0	8006	0	
icdhs02	Пытка	840007	8	00110	18	0	0	800000	0	0	0	0	8000	1	1	1	1	11	1	0	0	0	8007	0	
icdhs03	Практичность	840008	9	00110	18	0	0	800000	0	0	0	0	8000	1	1	1	1	12	1	0	0	0	8008	0	
icdts01	Поглощение	840009	10	00110	18	0	0	3200000	0	0	0	0	32000	1	1	1	1	13	1	0	0	0	8009	0	
icdts02	Сумрак	84000A	11	00110	18	0	0	3200000	0	0	0	0	32000	1	1	1	1	14	1	0	0	0	800A	0	
icdts03	Воскрешение	84000B	12	00110	18	0	0	3200000	0	0	0	0	32000	1	1	1	1	15	1	0	0	0	800B	0	
ichls01	Благословение	74010C	13	11000	18	0	0	50000	0	0	0	0	500	1	1	1	1	16	1	0	0	0	7100	0	
ichls02	Восстановление	74010D	14	11000	18	0	0	50000	0	0	0	0	500	1	1	1	1	17	1	0	0	0	7101	0	
ichls03	Душевная Баллада	74010E	15	11000	18	0	0	50000	0	0	0	0	500	1	1	1	1	18	1	0	0	0	7102	0	
ichms01	Щит Стихий	74010F	16	11000	18	0	0	200000	0	0	0	0	2000	1	1	1	1	19	1	0	0	0	7103	0	
ichms02	Лечение	740110	17	11000	18	0	0	200000	0	0	0	0	2000	1	1	1	1	20	1	0	0	0	7104	0	
ichms03	Ускорение	740111	18	11000	18	0	0	200000	0	0	0	0	2000	1	1	1	1	21	1	0	0	0	7105	0	
ichhs01	Уклонение	740112	19	11000	18	0	0	800000	0	0	0	0	8000	1	1	1	1	22	1	0	0	0	7106	0	
ichhs02	Щит Эгиды	740113	20	11000	18	0	0	800000	0	0	0	0	8000	1	1	1	1	23	1	0	0	0	7107	0	
ichhs03	Практичность	740114	21	11000	18	0	0	800000	0	0	0	0	8000	1	1	1	1	24	1	0	0	0	7108	0	
ichts01	Вампиризм	740115	22	11000	18	0	0	3200000	0	0	0	0	32000	1	1	1	1	25	1	0	0	0	7109	0	
ichts02	Мастер уклонения	740116	23	11000	18	0	0	3200000	0	0	0	0	32000	1	1	1	1	26	1	0	0	0	710A	0	
ichts03	Восстановление	740117	24	11000	18	0	0	3200000	0	0	0	0	32000	1	1	1	1	27	1	0	0	0	710B	0	
icfla01	Призматический Луч	940218	25	11110	18	0	0	50000	0	0	0	0	500	1	1	1	1	28	1	0	0	0	9200	0	
icfla02	Звезда Огня	940219	26	11110	18	0	0	50000	0	0	0	0	500	1	1	1	1	29	1	0	0	0	9201	0	
icfla03	Огненный Шар	94021A	27	11110	18	0	0	50000	0	0	0	0	500	1	1	1	1	30	1	0	0	0	9202	0	
icfla04	Луч Света	94021B	28	11110	18	0	0	50000	0	0	0	0	500	1	1	1	1	31	1	0	0	0	9203	0	
icfma01	Огненная Стрела	94021C	29	11110	18	0	0	200000	0	0	0	0	2000	1	1	1	1	32	1	0	0	0	9204	0	
icfma02	Огненный круг	94021D	30	11110	18	0	0	200000	0	0	0	0	2000	1	1	1	1	33	1	0	0	0	9205	0	
icfma03	Огненный шквал	94021E	31	11110	18	0	0	200000	0	0	0	0	2000	1	1	1	1	34	1	0	0	0	9206	0	
icfma04	Сила света	94021F	32	11110	18	0	0	200000	0	0	0	0	2000	1	1	1	1	35	1	0	0	0	9207	0	
icfha01	Огненный Дождь	940220	33	11110	18	0	0	800000	0	0	0	0	8000	1	1	1	1	36	1	0	0	0	9208	0	
icfha02	Солнечный Клинок	940221	34	11110	18	0	0	800000	0	0	0	0	8000	1	1	1	1	37	1	0	0	0	9209	0	
icfha03	Сияющее Копье	940222	35	11110	18	0	0	800000	0	0	0	0	8000	1	1	1	1	38	1	0	0	0	920A	0	
icfha04	Метеорит	940223	36	11110	18	0	0	800000	0	0	0	0	8000	1	1	1	1	39	1	0	0	0	920B	0	
icfta01	Вспышка света	940224	37	11110	18	0	0	3200000	0	0	0	0	32000	1	1	1	1	40	1	0	0	0	920C	0	
icfta02	Извержение	940225	38	11110	18	0	0	3200000	0	0	0	0	32000	1	1	1	1	41	1	0	0	0	920D	0	
icfta03	Огненная Птица	940226	39	11110	18	0	0	3200000	0	0	0	0	32000	1	1	1	1	42	1	0	0	0	920E	0	
icfta04	Священная вспышка	940227	40	11110	18	0	0	3200000	0	0	0	0	32000	1	1	1	1	43	1	0	0	0	920F	0	
icala01	Осколок Льда	940328	41	11110	18	0	0	50000	0	0	0	0	500	1	1	1	1	44	1	0	0	0	9300	0	
icala02	Гейзер	940329	42	11110	18	0	0	50000	0	0	0	0	500	1	1	1	1	45	1	0	0	0	9301	0	
icala03	Ослепление	94032A	43	11110	18	0	0	50000	0	0	0	0	500	1	1	1	1	46	1	0	0	0	9302	0	
icala04	Ослабление	94032B	44	11110	18	0	0	50000	0	0	0	0	500	1	1	1	1	47	1	0	0	0	9303	0	
icama01	Ледяная Стрела	94032C	45	11110	18	0	0	200000	0	0	0	0	2000	1	1	1	1	48	1	0	0	0	9304	0	
icama02	Ледяной клинок	94032D	46	11110	18	0	0	200000	0	0	0	0	2000	1	1	1	1	49	1	0	0	0	9305	0	
icama03	Стихийная немощь	94032E	47	11110	18	0	0	200000	0	0	0	0	2000	1	1	1	1	50	1	0	0	0	9306	0	
icama04	Поглощение Силы	94032F	48	11110	18	0	0	200000	0	0	0	0	2000	1	1	1	1	51	1	0	0	0	9307	0	
icaha01	Ледяная Ярость	940330	49	11110	18	0	0	800000	0	0	0	0	8000	1	1	1	1	52	1	0	0	0	9308	0	
icaha02	Ледяные шипы	940331	50	11110	18	0	0	800000	0	0	0	0	8000	1	1	1	1	53	1	0	0	0	9309	0	
icaha03	Растерянность	940332	51	11110	18	0	0	800000	0	0	0	0	8000	1	1	1	1	54	1	0	0	0	930A	0	
icaha04	Усталость	940333	52	11110	18	0	0	800000	0	0	0	0	8000	1	1	1	1	55	1	0	0	0	930B	0	
icata01	Облако пара	940334	53	11110	18	0	0	3200000	0	0	0	0	32000	1	1	1	1	56	1	0	0	0	930C	0	
icata02	Метель	940335	54	11110	18	0	0	3200000	0	0	0	0	32000	1	1	1	1	57	1	0	0	0	930D	0	
icata03	Ледяной Плен	940336	55	11110	18	0	0	3200000	0	0	0	0	32000	1	1	1	1	58	1	0	0	0	930E	0	
icata04	Оковы	940337	56	11110	18	0	0	3200000	0	0	0	0	32000	1	1	1	1	59	1	0	0	0	930F	0	
ictla01	Земляной Ком	940438	57	11110	18	0	0	50000	0	0	0	0	500	1	1	1	1	60	1	0	0	0	9400	0	
ictla02	Ядовитый газ	940439	58	11110	18	0	0	50000	0	0	0	0	500	1	1	1	1	61	1	0	0	0	9401	0	
ictla03	Безмолвие	94043A	59	11110	18	0	0	50000	0	0	0	0	500	1	1	1	1	62	1	0	0	0	9402	0	
ictla04	Слабодушие	94043B	60	11110	18	0	0	50000	0	0	0	0	500	1	1	1	1	63	1	0	0	0	9403	0	
ictma01	Каменный клинок	94043C	61	11110	18	0	0	200000	0	0	0	0	2000	1	1	1	1	64	1	0	0	0	9404	0	
ictma02	Ядовитое дыхание	94043D	62	11110	18	0	0	200000	0	0	0	0	2000	1	1	1	1	65	1	0	0	0	9405	0	
ictma03	Забытье	94043E	63	11110	18	0	0	200000	0	0	0	0	2000	1	1	1	1	66	1	0	0	0	9406	0	
ictma04	Зыбучие Пески	94043F	64	11110	18	0	0	200000	0	0	0	0	2000	1	1	1	1	67	1	0	0	0	9407	0	
ictha01	Отравление	940440	65	11110	18	0	0	800000	0	0	0	0	8000	1	1	1	1	68	1	0	0	0	9408	0	
ictha02	Песчаная Буря	940441	66	11110	18	0	0	800000	0	0	0	0	8000	1	1	1	1	69	1	0	0	0	9409	0	
ictha03	Путы	940442	67	11110	18	0	0	800000	0	0	0	0	8000	1	1	1	1	70	1	0	0	0	940A	0	
ictha04	Изоляция	940443	68	11110	18	0	0	800000	0	0	0	0	8000	1	1	1	1	71	1	0	0	0	940B	0	
ictta01	Болезненный вирус	940444	69	11110	18	0	0	3200000	0	0	0	0	32000	1	1	1	1	72	1	0	0	0	940C	0	
ictta02	Каменная лавина	940445	70	11110	18	0	0	3200000	0	0	0	0	32000	1	1	1	1	73	1	0	0	0	940D	0	
ictta03	Удушье	940446	71	11110	18	0	0	3200000	0	0	0	0	32000	1	1	1	1	74	1	0	0	0	940E	0	
ictta04	Сеть охотника	940447	72	11110	18	0	0	3200000	0	0	0	0	32000	1	1	1	1	75	1	0	0	0	940F	0	
icwla01	Электрический шар	940548	73	11110	18	0	0	50000	0	0	0	0	500	1	1	1	1	76	1	0	0	0	9500	0	
icwla02	Ураган	940549	74	11110	18	0	0	50000	0	0	0	0	500	1	1	1	1	77	1	0	0	0	9501	0	
icwla03	Усмирение	94054A	75	11110	18	0	0	50000	0	0	0	0	500	1	1	1	1	78	1	0	0	0	9502	0	
icwla04	Подавление	94054B	76	11110	18	0	0	50000	0	0	0	0	500	1	1	1	1	79	1	0	0	0	9503	0	
icwma01	Молния	94054C	77	11110	18	0	0	200000	0	0	0	0	2000	1	1	1	1	80	1	0	0	0	9504	0	
icwma02	Тайфун	94054D	78	11110	18	0	0	200000	0	0	0	0	2000	1	1	1	1	81	1	0	0	0	9505	0	
icwma03	Очищение	94054E	79	11110	18	0	0	200000	0	0	0	0	2000	1	1	1	1	82	1	0	0	0	9506	0	
icwma04	Взгляд Истины	94054F	80	11110	18	0	0	200000	0	0	0	0	2000	1	1	1	1	83	1	0	0	0	9507	0	
icwha01	Штормовой Ветер	940550	81	11110	18	0	0	800000	0	0	0	0	8000	1	1	1	1	84	1	0	0	0	9508	0	
icwha02	Цепная Молния	940551	82	11110	18	0	0	800000	0	0	0	0	8000	1	1	1	1	85	1	0	0	0	9509	0	
icwha03	Ревокация	940552	83	11110	18	0	0	800000	0	0	0	0	8000	1	1	1	1	86	1	0	0	0	950A	0	
icwha04	Вето	940553	84	11110	18	0	0	800000	0	0	0	0	8000	1	1	1	1	87	1	0	0	0	950B	0	
icwta01	Гравитационное поле	940554	85	11110	18	0	0	3200000	0	0	0	0	32000	1	1	1	1	88	1	0	0	0	950C	0	
icwta02	Крылья Бури	940555	86	11110	18	0	0	3200000	0	0	0	0	32000	1	1	1	1	89	1	0	0	0	950D	0	
icwta03	Удар Хаоса	940556	87	11110	18	0	0	3200000	0	0	0	0	32000	1	1	1	1	90	1	0	0	0	950E	0	
icwta04	Охранитель	940557	88	11110	18	0	0	3200000	0	0	0	0	32000	1	1	1	1	91	1	0	0	0	950F	0	
icaex00	Тренировочное Ослабление	94032B	89	11110	18	0	0	1	0	0	0	0	1	1	1	1	1	92	1	0	0	0	9303	0	
ictex00	Тренировочная Немая Душа	94043B	90	11110	18	0	0	1	0	0	0	0	1	1	1	1	1	93	1	0	0	0	9403	0	
