dword	text	END
Count	Desc	
0	Маяк силы огня. Нельзя продать или передать другому игроку. Кликните правой кнопкой мыши для того чтобы поместить маяк в окошко Сил	
1	Маяк силы воды. Нельзя продать или передать другому игроку. Кликните правой кнопкой мыши для того чтобы поместить маяк в окошко Сил	
2	Маяк силы земли. Нельзя продать или передать другому игроку. Кликните правой кнопкой мыши для того чтобы поместить маяк в окошко Сил	
3	Маяк силы ветра. Нельзя продать или передать другому игроку. Кликните правой кнопкой мыши для того чтобы поместить маяк в окошко Сил	
4	Увеличивает скорость атаки в рукопашном бою	
5	Преобразует HP в FP	
6	Уменьшает время, затрачиваемое на восстановление Сил	
7	Увеличивает атаку магической Силой	
8	Увеличивает радиус действия магической Силы	
9	Увеличивает скорость передвижения	
10	Увеличивает точность атаки	
11	Постепенно отнимает HP/FP/SP/ выбранной цели	
12	Уменьшает затраты FP на использование Сил и Умений	
13	Преобразует урон, наносимый противнику, в FP атакующего	
14	Делает невидимым	
15	Оживляет павших союзников из расы применяющего Силу	
16	Увеличивает длительность воздействия Светлых Сил	
17	Восстанавливает SP объекта	
18	Увеличивает скорость восстановления HP/FP объекта	
19	Увеличивает сопротивляемость объекта элементам	
20	Восстанавливает НP объекта	
21	Увеличивает скорость передвижения	
22	Увеличивает способность объекта уклоняться от ударов	
23	Увеличивает защиту объекта	
24	Уменьшает затраты FP на использование Сил и Умений	
25	Преобразует урон, наносимый противнику, в FP атакующего	
26	Увеличивает способность объекта уклоняться от ударов	
27	Восстанавливает HP/FP объекта до максимума	
28	Поражает цель мощным лучом	
29	Массовое поражение огненной атакой	
30	Атакует цели сияющим огненным шаром	
31	Атакует цель световым лучом	
32	Поражает цель горящей стрелой	
33	Массовое поражение попавших в огненный круг врагов	
34	Поражает цели взрывным ударом адской силы	
35	Атакует цель множеством световых лучей	
36	Атакует цель дождем из огненных шаров	
37	Массовое поражение взрывом огненных клинков	
38	Массовое поражение огненным копьем	
39	Массовое поражение метеоритным дождем	
40	Поражает цель снопом испепеляющего пламени	
41	Раскаленная магма вырывается из под ног цели, повреждая всех противников в округе	
42	Атакует цель и окружающих врагов несущей смерть Огненной Птицей	
43	Атакует цель вспышкой ослепительного света	
44	Атакует цель осколком льда	
45	Атакует цели леденящей изморосью	
46	Ослепляет цель на время	
47	Уменьшает способность цели к защите	
48	Атакует цель Ледяной стрелой	
49	Атакует цели мощным ледяным клинком	
50	Уменьшает сопротивляемость объекта к элементальным атакам	
51	Уменьшает мощь атаки и Сил объекта	
52	Атакует цель множеством ледяных шаров	
53	Массовое поражение смертоносными ледяными шипами	
54	Уменьшает способность цели к уклонению от атак	
55	Уменьшает скорость атаки объекта	
56	Атакует цель паровым взрывом	
57	Атакует цель ледяной снежной метелью	
58	Уменьшает HP и FP объекта	
59	Уменьшает способность объекта атаковать	
60	Атакует цель мощным ударом Силы Земли	
61	Массовое поражение ядовитым газом	
62	Не позволяет объекту использовать Положительные Силы	
63	Не позволяет объекту использовать Отрицательные Силы	
64	Атакует цель сокрушительным осколком скалы	
65	Массовое поражение грибным ядом	
66	Не позволяет объекту использовать Положительные Умения	
67	Лишает объект способности бегать	
68	Атакует цель ядовитой взрывной волной	
69	Атакует цели мощной песчаной бурей	
70	Не позволяет объекту использовать атакующие Умения	
71	Не позволяет объекту использовать атакующие Силы	
72	Заражает цель вирусом	
73	Бьет по цели разрушительной каменной лавиной	
74	Уменьшает скорость восстановления HP/FP/SP объекта	
75	Обездвиживает объект	
76	Атакует цель сгустком энергии	
77	Массовое поражение бушующим ураганом	
78	Нейтрализует эффект последнего примененного к объекту Положительного Умения	
79	Нейтрализует эффект последней примененной к объекту Положительной Силы	
80	Поражает цель вспышкой молнии	
81	Массовое поражение рассекающим потоком воздуха	
82	Нейтрализует эффект всех примененных к объекту Отрицательных Сил	
83	Позволяет видеть невидимых врагов	
84	Атакует цель мощным порывом штормового ветра	
85	Массовое поражение цепной молнией	
86	Нейтрализует эффект всех Положительных Умений, примененных к объекту	
87	Нейтрализует эффект всех Положительных Сил, примененных к объекту	
88	Поражает цель гравитационным полем	
89	Поражает цель разрывным ударом электрического шока	
90	Нейтрализует эффект всех примененных к объекту Положительных Умений и Сил	
91	Нейтрализует эффект всех примененных к объекту Отрицательных Умений и Сил	
92	Уменьшает способность цели к защите	
93	Не позволяет объекту использовать Отрицательные Силы	
