string[64]	dword	string[64]	dword	string[64]	dword	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	dword	dword	dword	dword	string[64]	END
Code	IsExist	Model	Icon	Name	KindClt	FixPart	Civil	Money	StdPrice	StdPoint	GoldPoint	KillPoint	ProcPoint	StorePrice	ForceKey	IsSell	IsExchange	IsGround	IsStore	IsNormAcc	ToolTip	
icfla00	1	940218	25	Тренировочный Призматический Луч	402	300	11110	0	10	0	0	0	0	1	9200	1	0	0	0	1	ticfla00	
icala00	1	940328	41	Тренировочный Ледяной Луч	403	300	11110	0	10	0	0	0	0	1	9300	1	0	0	0	1	ticala00	
ictla00	1	940438	57	Тренировочный Земляной Ком	404	300	11110	0	10	0	0	0	0	1	9400	1	0	0	0	1	tictla00	
icwla00	1	940548	73	Тренировочный Электрический Шар	405	300	11110	0	10	0	0	0	0	1	9500	1	0	0	0	1	ticwla00	
icdls01	1	840000	1	Бешенство	400	300	00110	0	50000	0	0	0	0	500	8000	1	1	1	1	1	ticdls01	
icdls02	1	840001	2	Жертвоприношение	400	300	00110	0	50000	0	0	0	0	500	8001	1	1	1	1	1	ticdls02	
icdls03	1	840002	3	Источник Силы	400	300	00110	0	50000	0	0	0	0	500	8002	1	1	1	1	1	ticdls03	
icdms01	1	840003	4	Мощь	400	300	00110	0	200000	0	0	0	0	2000	8003	1	1	1	1	1	ticdms01	
icdms02	1	840004	5	Обозрение	400	300	00110	0	200000	0	0	0	0	2000	8004	1	1	1	1	1	ticdms02	
icdms03	1	840005	6	Ускорение	400	300	00110	0	200000	0	0	0	0	2000	8005	1	1	1	1	1	ticdms03	
icdhs01	1	840006	7	Точность	400	300	00110	0	800000	0	0	0	0	8000	8006	1	1	1	1	1	ticdhs01	
icdhs02	1	840007	8	Пытка	400	300	00110	0	800000	0	0	0	0	8000	8007	1	1	1	1	1	ticdhs02	
icdhs03	1	840008	9	Практичность	400	300	00110	0	800000	0	0	0	0	8000	8008	1	1	1	1	1	ticdhs03	
icdts01	1	840009	10	Поглощение	400	300	00110	0	3200000	0	0	0	0	32000	8009	1	1	1	1	1	ticdts01	
icdts02	1	84000A	11	Сумрак	400	300	00110	0	3200000	0	0	0	0	32000	800A	1	1	1	1	1	ticdts02	
icdts03	1	84000B	12	Воскрешение	400	300	00110	0	3200000	0	0	0	0	32000	800B	1	1	1	1	1	ticdts03	
ichls01	1	74010C	13	Благословение	401	300	11000	0	50000	0	0	0	0	500	7100	1	1	1	1	1	tichls01	
ichls02	1	74010D	14	Восстановление	401	300	11000	0	50000	0	0	0	0	500	7101	1	1	1	1	1	tichls02	
ichls03	1	74010E	15	Душевная Баллада	401	300	11000	0	50000	0	0	0	0	500	7102	1	1	1	1	1	tichls03	
ichms01	1	74010F	16	Щит Стихий	401	300	11000	0	200000	0	0	0	0	2000	7103	1	1	1	1	1	tichms01	
ichms02	1	740110	17	Лечение	401	300	11000	0	200000	0	0	0	0	2000	7104	1	1	1	1	1	tichms02	
ichms03	1	740111	18	Ускорение	401	300	11000	0	200000	0	0	0	0	2000	7105	1	1	1	1	1	tichms03	
ichhs01	1	740112	19	Уклонение	401	300	11000	0	800000	0	0	0	0	8000	7106	1	1	1	1	1	tichhs01	
ichhs02	1	740113	20	Щит Эгиды	401	300	11000	0	800000	0	0	0	0	8000	7107	1	1	1	1	1	tichhs02	
ichhs03	1	740114	21	Практичность	401	300	11000	0	800000	0	0	0	0	8000	7108	1	1	1	1	1	tichhs03	
ichts01	1	740115	22	Вампиризм	401	300	11000	0	3200000	0	0	0	0	32000	7109	1	1	1	1	1	tichts01	
ichts02	1	740116	23	Мастер уклонения	401	300	11000	0	3200000	0	0	0	0	32000	710A	1	1	1	1	1	tichts02	
ichts03	1	740117	24	Восстановление	401	300	11000	0	3200000	0	0	0	0	32000	710B	1	1	1	1	1	tichts03	
icfla01	1	940218	25	Призматический Луч	402	300	11110	0	50000	0	0	0	0	500	9200	1	1	1	1	1	ticfla01	
icfla02	1	940219	26	Звезда Огня	402	300	11110	0	50000	0	0	0	0	500	9201	1	1	1	1	1	ticfla02	
icfla03	1	94021A	27	Огненный Шар	402	300	11110	0	50000	0	0	0	0	500	9202	1	1	1	1	1	ticfla03	
icfla04	1	94021B	28	Луч Света	402	300	11110	0	50000	0	0	0	0	500	9203	1	1	1	1	1	ticfla04	
icfma01	1	94021C	29	Огненная Стрела	402	300	11110	0	200000	0	0	0	0	2000	9204	1	1	1	1	1	ticfma01	
icfma02	1	94021D	30	Огненный круг	402	300	11110	0	200000	0	0	0	0	2000	9205	1	1	1	1	1	ticfma02	
icfma03	1	94021E	31	Огненный шквал	402	300	11110	0	200000	0	0	0	0	2000	9206	1	1	1	1	1	ticfma03	
icfma04	1	94021F	32	Сила света	402	300	11110	0	200000	0	0	0	0	2000	9207	1	1	1	1	1	ticfma04	
icfha01	1	940220	33	Огненный Дождь	402	300	11110	0	800000	0	0	0	0	8000	9208	1	1	1	1	1	ticfha01	
icfha02	1	940221	34	Солнечный Клинок	402	300	11110	0	800000	0	0	0	0	8000	9209	1	1	1	1	1	ticfha02	
