clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	long	dword	END
Code	Name	Model	Icon	Civil	ListID	Money	none	StdPrice	StdPoint	GoldPoint	ProcPoint	KillPoint	StorePrice	IsExchange	IsSell	IsGround	IsStore	Dwscrypt	IsExist	IsCash	IsTime	UpLvLim	hz	
iyyyy01	Клинг	A30200	1	11111	20	0	0	90	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	
iyyyy02	Харен	A30201	2	11111	20	0	0	400	0	0	0	0	4	1	1	1	1	1	1	0	0	0	0	
iyyyy03	Гриф	A30202	3	11111	20	0	0	1880	0	0	0	0	18	1	1	1	1	2	1	0	0	0	0	
iyyyy04	Рина	A30203	4	11111	20	0	0	8770	0	0	0	0	87	1	1	1	1	3	1	0	0	0	0	
iyyyy05	Мика	A30204	5	11111	20	0	0	100	0	0	0	0	1	1	1	1	1	4	1	0	0	0	0	
iyyyy06	Луас Мика	A30205	6	11111	20	0	0	480	0	0	0	0	4	1	1	1	1	5	1	0	0	0	0	
iyyyy07	Мид Мика	A30206	7	11111	20	0	0	2260	0	0	0	0	22	1	1	1	1	6	1	0	0	0	0	
iyyyy08	Вииф	A30207	8	11111	20	0	0	50	0	0	0	0	1	1	1	1	1	7	1	0	0	0	0	
iyyyy09	Цел Вииф	A30208	9	11111	20	0	0	270	0	0	0	0	2	1	1	1	1	8	1	0	0	0	0	
iyyyy10	Варт Вииф	A30209	10	11111	20	0	0	870	0	0	0	0	8	1	1	1	1	9	1	0	0	0	0	
iyyyy11	Лаки	A3020A	11	11111	20	0	0	4870	0	0	0	0	48	1	1	1	1	10	1	0	0	0	0	
iyyyy12	Рира	A3020B	12	11111	20	0	0	40	0	0	0	0	1	1	1	1	1	11	1	0	1	0	0	
iyyyy13	Демо Рира	A3020C	13	11111	20	0	0	220	0	0	0	0	2	1	1	1	1	12	1	0	0	0	0	
iyyyy14	Деме Рира	A3020D	14	11111	20	0	0	1250	0	0	0	0	12	1	1	1	1	13	1	0	0	0	0	
iyyyy15	Жим	A3020E	15	11111	20	0	0	4060	0	0	0	0	40	1	1	1	1	14	1	0	0	0	0	
iyyyy16	Зид	A3020F	16	11111	20	0	0	60	0	0	0	0	1	1	1	1	1	15	1	0	0	0	0	
