dword	text	END
Count	Desc	
0	Трофеи, используемые в производстве предметов	
1	Трофеи, используемые в производстве предметов	
2	Трофеи, используемые в производстве предметов	
3	Трофеи, используемые в производстве предметов	
4	Трофеи, используемые в производстве предметов	
5	Трофеи, используемые в производстве предметов	
6	Трофеи, используемые в производстве предметов	
7	Трофеи, используемые в производстве предметов	
8	Трофеи, используемые в производстве предметов	
9	Трофеи, используемые в производстве предметов	
10	Трофеи, используемые в производстве предметов	
11	Трофеи, используемые в производстве предметов	
12	Трофеи, используемые в производстве предметов	
13	Трофеи, используемые в производстве предметов	
14	Трофеи, используемые в производстве предметов	
15	Трофеи, используемые в производстве предметов	
16	Трофеи, используемые в производстве предметов	
17	Трофеи, используемые в производстве предметов	
18	Трофеи, используемые в производстве предметов	
19	Трофеи, используемые в производстве предметов	
20	Трофеи, используемые в производстве предметов	
21	Трофеи, используемые в производстве предметов	
22	Трофеи, используемые в производстве предметов	
23	Трофеи, используемые в производстве предметов	
24	Используется в соединительных операциях	
25	Используется в соединительных операциях	
26	Мобиблю	
27	Мобиблю	
28	Мобиблю	
29	Мобиблю	
30	Мобиблю	
31	Электронный магазин	
32	Электронный магазин	
33	Электронный магазин	
34	Электронный магазин	
35	Электронный магазин	
36	Электронный магазин	
37	Электронный магазин	
38	Электронный магазин	
39	Электронный магазин	
40	Электронный магазин	
41	Электронный магазин	
42	Электронный магазин	
43	Электронный магазин	
44	Электронный магазин	
45	Электронный магазин	
46	Электронный магазин	
47	Электронный магазин	
48	Электронный магазин	
49	Электронный магазин	
50	Электронный магазин	
51	Электронный магазин	
52	Электронный магазин	
53	Электронный магазин	
54	Электронный магазин	
55	Электронный магазин	
56	Тайский Праздник	
57	Тайский Праздник	
58	Черная Стружка (1)	
59	Черная Стружка (2)	
60	Черная Стружка (3)	
61	Красная Стружка (1)	
62	Красная Стружка (2)	
63	Красная Стружка (3)	
64	Синяя Стружка (1)	
65	Синяя Стружка (2)	
66	Синяя Стружка (3)	
67	Зеленая Стружка (1)	
68	Зеленая Стружка (2)	
69	Зеленая Стружка (3)	
70	Желтая Стружка (1)	
71	Желтая Стружка (2)	
72	Желтая Стружка (3)	
73	Лиловая Стружка (1)	
74	Лиловая Стружка (2)	
75	Лиловая Стружка (3)	
76	Белая Стружка (1)	
77	Белая Стружка (2)	
78	Белая Стружка (3)	
79	Бархатная Стружка (1)	
80	Бархатная Стружка (2)	
81	Бархатная Стружка (3)	
82	Оливковая Стружка (1)	
83	Оливковая Стружка (2)	
84	Оливковая Стружка (3)	
85	Морская Стружка (1)	
86	Морская Стружка (2)	
87	Морская Стружка (3)	
88	Легендарные красные чулки, которые носил Санта Клаус.	
89	Гравитационный мяч для Турниров Гильдий	
